date_time,United%20States%20Virgin%20Islands_maxtempC,United%20States%20Virgin%20Islands_mintempC,United%20States%20Virgin%20Islands_totalSnow_cm,United%20States%20Virgin%20Islands_sunHour,United%20States%20Virgin%20Islands_uvIndex,United%20States%20Virgin%20Islands_moon_illumination,United%20States%20Virgin%20Islands_moonrise,United%20States%20Virgin%20Islands_moonset,United%20States%20Virgin%20Islands_sunrise,United%20States%20Virgin%20Islands_sunset,United%20States%20Virgin%20Islands_DewPointC,United%20States%20Virgin%20Islands_FeelsLikeC,United%20States%20Virgin%20Islands_HeatIndexC,United%20States%20Virgin%20Islands_WindChillC,United%20States%20Virgin%20Islands_WindGustKmph,United%20States%20Virgin%20Islands_cloudcover,United%20States%20Virgin%20Islands_humidity,United%20States%20Virgin%20Islands_precipMM,United%20States%20Virgin%20Islands_pressure,United%20States%20Virgin%20Islands_tempC,United%20States%20Virgin%20Islands_visibility,United%20States%20Virgin%20Islands_winddirDegree,United%20States%20Virgin%20Islands_windspeedKmph,United%20States%20Virgin%20Islands_location
2020-01-11,26,26,0.0,5.7,6,100,07:04 PM,07:36 AM,06:53 AM,06:00 PM,21,28,28,26,69,76,73,3.4,1020,26,9,74,49,United%20States%20Virgin%20Islands
2020-01-12,26,20,0.0,10.1,6,83,08:07 PM,08:31 AM,06:53 AM,06:00 PM,21,26,26,24,65,62,74,2.3,1020,26,10,78,45,United%20States%20Virgin%20Islands
2020-01-13,26,25,0.0,5.7,6,76,09:10 PM,09:22 AM,06:53 AM,06:01 PM,20,27,27,25,72,76,71,4.4,1020,26,9,74,50,United%20States%20Virgin%20Islands
2020-01-14,25,22,0.0,7.2,5,69,10:10 PM,10:09 AM,06:53 AM,06:02 PM,20,26,26,25,64,67,74,15.4,1018,25,9,79,43,United%20States%20Virgin%20Islands
2020-01-15,26,21,0.0,10.1,6,61,11:10 PM,10:53 AM,06:54 AM,06:02 PM,21,27,27,25,57,62,76,21.9,1017,26,9,81,36,United%20States%20Virgin%20Islands
2020-01-16,26,20,0.0,7.2,6,54,No moonrise,11:36 AM,06:54 AM,06:03 PM,21,27,27,24,36,66,76,1.0,1018,26,10,74,26,United%20States%20Virgin%20Islands
2020-01-17,26,21,0.0,11.5,6,47,12:07 AM,12:17 PM,06:54 AM,06:03 PM,20,27,27,25,28,38,72,0.5,1018,26,10,70,21,United%20States%20Virgin%20Islands
2020-01-18,26,20,0.0,7.2,6,40,01:05 AM,01:00 PM,06:54 AM,06:04 PM,21,26,26,24,45,70,76,4.4,1019,26,10,56,34,United%20States%20Virgin%20Islands
2020-01-19,25,20,0.0,5.8,6,32,02:03 AM,01:44 PM,06:54 AM,06:05 PM,21,26,26,24,56,76,78,5.8,1018,25,10,77,42,United%20States%20Virgin%20Islands
2020-01-20,25,19,0.0,5.8,5,25,03:01 AM,02:31 PM,06:54 AM,06:05 PM,21,26,26,24,52,72,80,13.8,1017,25,10,96,35,United%20States%20Virgin%20Islands
2020-01-21,25,25,0.0,7.2,5,18,03:59 AM,03:22 PM,06:54 AM,06:06 PM,21,27,27,25,43,65,79,13.2,1015,25,9,115,28,United%20States%20Virgin%20Islands
2020-01-22,26,24,0.0,8.7,5,11,04:56 AM,04:14 PM,06:54 AM,06:06 PM,21,27,27,25,29,51,77,0.6,1013,26,10,129,22,United%20States%20Virgin%20Islands
2020-01-23,26,20,0.0,5.8,6,3,05:51 AM,05:09 PM,06:54 AM,06:07 PM,22,27,27,25,30,79,79,6.5,1012,26,9,197,22,United%20States%20Virgin%20Islands
2020-01-24,26,21,0.0,7.2,6,0,06:42 AM,06:03 PM,06:53 AM,06:08 PM,22,27,27,25,26,66,79,11.7,1014,26,9,156,18,United%20States%20Virgin%20Islands
2020-01-25,25,23,0.0,7.2,5,0,07:29 AM,06:56 PM,06:53 AM,06:08 PM,21,27,27,25,27,64,77,0.6,1015,25,10,44,19,United%20States%20Virgin%20Islands
2020-01-26,25,18,0.0,5.8,5,4,08:12 AM,07:49 PM,06:53 AM,06:09 PM,20,26,26,24,25,76,75,1.1,1015,25,10,39,18,United%20States%20Virgin%20Islands
2020-01-27,25,20,0.0,8.7,5,11,08:52 AM,08:38 PM,06:53 AM,06:09 PM,21,26,26,24,28,68,78,10.2,1015,25,9,74,19,United%20States%20Virgin%20Islands
2020-01-28,26,21,0.0,5.8,6,18,09:29 AM,09:27 PM,06:53 AM,06:10 PM,21,27,27,25,22,80,77,14.4,1014,26,9,158,14,United%20States%20Virgin%20Islands
2020-01-29,26,23,0.0,7.2,6,26,10:04 AM,10:14 PM,06:53 AM,06:11 PM,21,27,27,25,8,68,74,3.0,1014,26,10,232,6,United%20States%20Virgin%20Islands
2020-01-30,26,25,0.0,10.1,6,33,10:38 AM,11:02 PM,06:52 AM,06:11 PM,21,28,28,26,15,47,74,0.6,1015,26,10,82,11,United%20States%20Virgin%20Islands
2020-01-31,26,22,0.0,5.8,6,37,11:12 AM,11:50 PM,06:52 AM,06:12 PM,21,28,28,25,20,64,75,0.3,1017,26,10,93,15,United%20States%20Virgin%20Islands
2020-02-01,26,21,0.0,8.7,6,49,11:48 AM,No moonset,06:52 AM,06:12 PM,22,27,27,25,34,62,80,2.2,1017,26,10,77,26,United%20States%20Virgin%20Islands
2020-02-02,27,19,0.0,7.3,6,57,12:25 PM,12:39 AM,06:52 AM,06:13 PM,21,27,27,25,21,68,77,2.3,1016,27,10,134,16,United%20States%20Virgin%20Islands
2020-02-03,26,25,0.0,11.6,6,64,01:07 PM,01:30 AM,06:51 AM,06:13 PM,20,27,27,26,18,25,70,0.1,1018,26,10,102,13,United%20States%20Virgin%20Islands
2020-02-04,26,20,0.0,8.7,6,72,01:53 PM,02:24 AM,06:51 AM,06:14 PM,22,27,27,25,32,60,78,5.2,1019,26,10,83,24,United%20States%20Virgin%20Islands
2020-02-05,26,25,0.0,7.3,6,79,02:45 PM,03:21 AM,06:51 AM,06:14 PM,22,28,28,26,42,67,78,1.6,1018,26,10,85,31,United%20States%20Virgin%20Islands
2020-02-06,27,22,0.0,5.8,6,87,03:42 PM,04:19 AM,06:50 AM,06:15 PM,22,28,28,26,45,78,77,3.2,1018,27,9,99,33,United%20States%20Virgin%20Islands
2020-02-07,27,26,0.0,7.3,6,95,04:43 PM,05:19 AM,06:50 AM,06:15 PM,22,29,29,26,48,62,77,1.3,1019,27,10,102,35,United%20States%20Virgin%20Islands
2020-02-08,26,21,0.0,8.7,6,100,05:48 PM,06:15 AM,06:50 AM,06:16 PM,21,27,27,24,48,58,76,1.1,1019,26,10,82,37,United%20States%20Virgin%20Islands
2020-02-09,26,22,0.0,10.2,6,100,06:52 PM,07:09 AM,06:49 AM,06:16 PM,21,27,27,25,47,51,77,1.7,1019,26,10,86,34,United%20States%20Virgin%20Islands
2020-02-10,26,22,0.0,7.3,6,83,07:56 PM,08:00 AM,06:49 AM,06:17 PM,21,27,27,25,46,65,76,1.5,1020,26,10,89,32,United%20States%20Virgin%20Islands
2020-02-11,26,21,0.0,7.3,6,75,08:58 PM,08:46 AM,06:48 AM,06:17 PM,21,27,27,25,45,73,75,1.8,1019,26,10,86,32,United%20States%20Virgin%20Islands
2020-02-12,25,25,0.0,10.2,6,68,09:59 PM,09:31 AM,06:48 AM,06:18 PM,21,27,27,25,48,62,76,0.9,1019,25,10,80,34,United%20States%20Virgin%20Islands
2020-02-13,26,21,0.0,7.3,6,60,10:58 PM,10:14 AM,06:47 AM,06:18 PM,21,27,27,25,51,70,75,2.4,1018,26,10,78,37,United%20States%20Virgin%20Islands
2020-02-14,26,20,0.0,7.3,6,53,11:57 PM,10:58 AM,06:47 AM,06:19 PM,21,27,27,24,47,77,77,5.3,1019,26,10,82,34,United%20States%20Virgin%20Islands
2020-02-15,25,20,0.0,10.2,5,45,No moonrise,11:43 AM,06:46 AM,06:19 PM,21,26,26,24,49,64,78,12.0,1018,25,9,80,32,United%20States%20Virgin%20Islands
2020-02-16,26,21,0.0,5.9,6,38,12:56 AM,12:29 PM,06:46 AM,06:19 PM,21,27,27,25,47,81,77,14.5,1016,26,9,78,31,United%20States%20Virgin%20Islands
2020-02-17,26,19,0.0,8.7,6,30,01:54 AM,01:19 PM,06:45 AM,06:20 PM,21,27,27,24,45,66,77,5.1,1016,26,10,88,31,United%20States%20Virgin%20Islands
2020-02-18,26,25,0.0,7.3,6,22,02:51 AM,02:10 PM,06:45 AM,06:20 PM,21,27,27,25,49,68,76,1.7,1018,26,10,82,34,United%20States%20Virgin%20Islands
2020-02-19,26,21,0.0,8.7,6,15,03:46 AM,03:03 PM,06:44 AM,06:21 PM,21,26,26,24,47,72,76,3.2,1018,26,10,83,34,United%20States%20Virgin%20Islands
2020-02-20,26,20,0.0,11.6,6,7,04:38 AM,03:57 PM,06:43 AM,06:21 PM,20,27,27,25,44,48,74,1.0,1017,26,10,88,33,United%20States%20Virgin%20Islands
2020-02-21,26,25,0.0,10.2,6,0,05:26 AM,04:50 PM,06:43 AM,06:21 PM,20,27,27,25,33,45,74,1.8,1016,26,10,99,25,United%20States%20Virgin%20Islands
2020-02-22,25,24,0.0,7.3,5,0,06:10 AM,05:43 PM,06:42 AM,06:22 PM,19,26,26,25,16,54,69,0.3,1015,25,10,89,12,United%20States%20Virgin%20Islands
2020-02-23,25,24,0.0,11.6,6,0,06:50 AM,06:33 PM,06:42 AM,06:22 PM,20,27,27,25,21,33,73,0.3,1015,25,10,197,15,United%20States%20Virgin%20Islands
2020-02-24,26,25,0.0,8.8,6,0,07:28 AM,07:22 PM,06:41 AM,06:22 PM,19,27,27,25,13,45,71,1.4,1015,26,10,113,10,United%20States%20Virgin%20Islands
2020-02-25,26,25,0.0,10.2,6,8,08:03 AM,08:09 PM,06:40 AM,06:23 PM,21,27,27,25,28,53,78,1.1,1016,26,10,72,21,United%20States%20Virgin%20Islands
2020-02-26,25,25,0.0,7.3,5,15,08:37 AM,08:57 PM,06:40 AM,06:23 PM,21,27,27,25,36,54,80,0.3,1016,25,10,78,26,United%20States%20Virgin%20Islands
2020-02-27,26,25,0.0,5.9,6,23,09:12 AM,09:44 PM,06:39 AM,06:23 PM,21,27,27,25,36,72,80,2.9,1016,26,10,76,26,United%20States%20Virgin%20Islands
2020-02-28,25,24,0.0,11.6,5,30,09:47 AM,10:32 PM,06:38 AM,06:24 PM,21,27,27,25,36,57,81,3.1,1016,25,10,74,27,United%20States%20Virgin%20Islands
2020-02-29,26,25,0.0,7.3,6,38,10:22 AM,11:22 PM,06:38 AM,06:24 PM,21,28,28,25,20,59,76,2.0,1017,26,10,98,15,United%20States%20Virgin%20Islands
2020-03-01,26,25,0.0,5.9,6,44,11:02 AM,No moonset,06:37 AM,06:24 PM,21,27,27,25,27,78,79,15.8,1017,26,9,105,18,United%20States%20Virgin%20Islands
2020-03-02,26,25,0.0,10.2,6,51,11:45 AM,12:14 AM,06:36 AM,06:25 PM,20,27,27,25,29,60,74,6.2,1017,26,10,83,21,United%20States%20Virgin%20Islands
2020-03-03,26,25,0.0,7.4,6,58,12:32 PM,01:08 AM,06:35 AM,06:25 PM,21,27,27,25,34,64,76,1.5,1017,26,9,82,25,United%20States%20Virgin%20Islands
2020-03-04,25,23,0.0,7.4,5,65,01:26 PM,02:04 AM,06:35 AM,06:25 PM,21,27,27,25,35,67,78,1.0,1018,25,10,84,24,United%20States%20Virgin%20Islands
2020-03-05,25,20,0.0,8.8,5,73,02:23 PM,03:01 AM,06:34 AM,06:26 PM,21,26,26,23,37,65,79,0.9,1019,25,10,90,26,United%20States%20Virgin%20Islands
2020-03-06,25,25,0.0,7.4,6,80,03:26 PM,03:58 AM,06:33 AM,06:26 PM,20,27,27,25,32,50,76,1.9,1018,25,10,97,22,United%20States%20Virgin%20Islands
2020-03-07,26,23,0.0,6.0,6,87,04:29 PM,04:53 AM,06:32 AM,06:26 PM,21,27,27,25,27,64,77,2.7,1016,26,10,113,19,United%20States%20Virgin%20Islands
2020-03-08,25,20,0.0,6.0,5,95,05:34 PM,05:45 AM,06:32 AM,06:26 PM,20,26,26,24,33,73,76,10.1,1017,25,9,97,22,United%20States%20Virgin%20Islands
2020-03-09,25,20,0.0,6.0,5,100,06:38 PM,06:34 AM,06:31 AM,06:27 PM,21,26,26,24,73,87,80,26.4,1019,25,8,49,45,United%20States%20Virgin%20Islands
2020-03-10,26,20,0.0,7.4,6,100,07:41 PM,07:20 AM,06:30 AM,06:27 PM,20,26,26,24,46,63,74,7.1,1019,26,9,81,32,United%20States%20Virgin%20Islands
2020-03-11,26,21,0.0,11.6,6,84,08:43 PM,08:05 AM,06:29 AM,06:27 PM,20,26,26,25,30,52,76,0.8,1015,26,10,76,22,United%20States%20Virgin%20Islands
2020-03-12,26,25,0.0,10.2,6,76,09:45 PM,08:50 AM,06:28 AM,06:28 PM,21,27,27,25,28,49,76,0.1,1014,26,10,103,20,United%20States%20Virgin%20Islands
2020-03-13,26,21,0.0,8.8,6,69,10:46 PM,09:37 AM,06:28 AM,06:28 PM,21,27,27,25,30,64,77,2.8,1016,26,10,91,22,United%20States%20Virgin%20Islands
2020-03-14,25,25,0.0,11.6,5,62,11:47 PM,10:24 AM,06:27 AM,06:28 PM,21,27,27,25,30,52,78,0.4,1017,25,10,45,22,United%20States%20Virgin%20Islands
2020-03-15,25,24,0.0,8.8,5,55,No moonrise,11:14 AM,06:26 AM,06:28 PM,19,26,26,24,36,61,75,2.9,1016,25,10,23,28,United%20States%20Virgin%20Islands
2020-03-16,25,24,0.0,6.0,5,47,12:46 AM,12:06 PM,06:25 AM,06:28 PM,19,26,26,24,28,67,72,1.4,1015,25,10,90,22,United%20States%20Virgin%20Islands
2020-03-17,26,20,0.0,7.4,5,40,01:43 AM,12:59 PM,06:24 AM,06:29 PM,20,26,26,24,25,67,74,2.1,1015,26,10,73,18,United%20States%20Virgin%20Islands
2020-03-18,26,25,0.0,6.0,6,33,02:36 AM,01:53 PM,06:24 AM,06:29 PM,21,28,28,25,38,78,78,6.3,1017,26,9,77,27,United%20States%20Virgin%20Islands
2020-03-19,26,25,0.0,8.8,6,25,03:25 AM,02:46 PM,06:23 AM,06:29 PM,21,27,27,25,44,59,78,1.0,1018,26,10,60,33,United%20States%20Virgin%20Islands
2020-03-20,25,25,0.0,6.0,6,18,04:09 AM,03:39 PM,06:22 AM,06:29 PM,20,27,27,25,53,68,75,4.3,1019,25,10,62,37,United%20States%20Virgin%20Islands
2020-03-21,25,21,0.0,6.0,5,11,04:50 AM,04:29 PM,06:21 AM,06:30 PM,20,26,26,24,53,73,75,6.9,1018,25,9,61,37,United%20States%20Virgin%20Islands
2020-03-22,25,24,0.0,10.2,5,4,05:29 AM,05:19 PM,06:20 AM,06:30 PM,20,27,27,25,49,58,77,7.3,1018,25,10,73,35,United%20States%20Virgin%20Islands
2020-03-23,25,24,0.0,10.2,5,0,06:04 AM,06:06 PM,06:20 AM,06:30 PM,20,27,27,25,47,65,75,1.9,1020,25,10,69,34,United%20States%20Virgin%20Islands
2020-03-24,25,24,0.0,10.2,5,0,06:38 AM,06:54 PM,06:19 AM,06:30 PM,19,26,26,24,40,45,75,0.5,1018,25,10,70,28,United%20States%20Virgin%20Islands
2020-03-25,25,20,0.0,8.8,5,3,07:13 AM,07:41 PM,06:18 AM,06:31 PM,19,26,26,24,32,47,73,0.8,1016,25,10,84,22,United%20States%20Virgin%20Islands
2020-03-26,26,24,0.0,6.1,5,11,07:47 AM,08:29 PM,06:17 AM,06:31 PM,19,27,27,25,21,56,70,1.6,1014,26,10,111,14,United%20States%20Virgin%20Islands
2020-03-27,26,25,0.0,7.5,6,18,08:22 AM,09:18 PM,06:16 AM,06:31 PM,19,27,27,25,19,55,70,1.7,1013,26,10,83,14,United%20States%20Virgin%20Islands
2020-03-28,26,20,0.0,8.8,6,25,09:00 AM,10:09 PM,06:15 AM,06:31 PM,21,26,26,24,37,70,77,0.8,1015,26,10,71,27,United%20States%20Virgin%20Islands
2020-03-29,26,25,0.0,7.5,6,32,09:42 AM,11:02 PM,06:15 AM,06:31 PM,21,28,28,25,41,64,78,0.9,1018,26,10,69,30,United%20States%20Virgin%20Islands
2020-03-30,25,19,0.0,8.8,5,40,10:26 AM,11:56 PM,06:14 AM,06:32 PM,20,26,26,24,37,54,75,0.9,1016,25,10,57,28,United%20States%20Virgin%20Islands
2020-03-31,25,24,0.0,10.2,5,44,11:16 AM,No moonset,06:13 AM,06:32 PM,19,26,26,25,32,51,73,0.6,1014,25,10,74,23,United%20States%20Virgin%20Islands
2020-04-01,25,21,0.0,11.6,6,56,12:10 PM,12:51 AM,06:12 AM,06:32 PM,19,26,26,24,26,26,69,0.0,1013,25,10,118,18,United%20States%20Virgin%20Islands
2020-04-02,26,21,0.0,11.6,7,64,01:09 PM,01:47 AM,06:11 AM,06:32 PM,19,27,27,25,18,22,68,0.0,1014,26,10,153,13,United%20States%20Virgin%20Islands
2020-04-03,27,25,0.0,11.6,7,71,02:10 PM,02:40 AM,06:11 AM,06:33 PM,19,27,27,26,15,18,66,0.0,1013,27,10,172,11,United%20States%20Virgin%20Islands
2020-04-04,27,25,0.0,10.2,6,79,03:13 PM,03:32 AM,06:10 AM,06:33 PM,20,28,28,26,10,29,68,0.5,1012,27,10,209,7,United%20States%20Virgin%20Islands
2020-04-05,26,25,0.0,8.9,6,87,04:16 PM,04:20 AM,06:09 AM,06:33 PM,20,27,27,25,16,47,74,0.5,1014,26,10,123,11,United%20States%20Virgin%20Islands
2020-04-06,26,25,0.0,8.9,6,94,05:19 PM,05:07 AM,06:08 AM,06:33 PM,20,27,27,25,21,47,73,0.0,1016,26,10,44,15,United%20States%20Virgin%20Islands
2020-04-07,25,25,0.0,11.6,6,100,06:21 PM,05:53 AM,06:07 AM,06:33 PM,19,26,26,25,28,44,71,0.0,1016,25,10,39,19,United%20States%20Virgin%20Islands
2020-04-08,25,23,0.0,6.1,6,100,07:25 PM,06:38 AM,06:07 AM,06:34 PM,22,27,27,25,36,71,81,4.2,1015,25,10,65,25,United%20States%20Virgin%20Islands
2020-04-09,27,26,0.0,7.5,6,83,08:27 PM,07:24 AM,06:06 AM,06:34 PM,21,28,28,26,20,65,75,11.9,1013,27,9,155,13,United%20States%20Virgin%20Islands
2020-04-10,27,22,0.0,7.5,6,76,09:31 PM,08:12 AM,06:05 AM,06:34 PM,22,28,28,26,19,53,76,0.2,1014,27,10,139,14,United%20States%20Virgin%20Islands
2020-04-11,27,21,0.0,8.9,6,68,10:33 PM,09:03 AM,06:04 AM,06:34 PM,22,29,29,26,21,53,77,0.1,1016,27,10,124,16,United%20States%20Virgin%20Islands
2020-04-12,27,20,0.0,7.5,6,61,11:34 PM,09:56 AM,06:04 AM,06:35 PM,21,28,28,25,29,55,75,0.5,1018,27,10,90,20,United%20States%20Virgin%20Islands
2020-04-13,27,26,0.0,8.9,6,53,No moonrise,10:51 AM,06:03 AM,06:35 PM,22,29,29,26,40,56,78,1.7,1018,27,10,72,28,United%20States%20Virgin%20Islands
2020-04-14,26,26,0.0,11.6,6,46,12:30 AM,11:47 AM,06:02 AM,06:35 PM,22,28,28,26,42,56,78,0.7,1017,26,10,74,29,United%20States%20Virgin%20Islands
2020-04-15,27,26,0.0,7.5,6,38,01:22 AM,12:41 PM,06:01 AM,06:35 PM,22,28,28,26,38,69,78,1.7,1016,27,10,79,27,United%20States%20Virgin%20Islands
2020-04-16,27,26,0.0,8.9,6,30,02:08 AM,01:35 PM,06:01 AM,06:36 PM,22,29,29,26,32,70,76,1.8,1017,27,10,90,24,United%20States%20Virgin%20Islands
2020-04-17,27,26,0.0,10.4,6,23,02:51 AM,02:25 PM,06:00 AM,06:36 PM,22,29,29,26,31,51,77,1.5,1018,27,10,77,22,United%20States%20Virgin%20Islands
2020-04-18,27,20,0.0,10.6,6,15,03:30 AM,03:15 PM,05:59 AM,06:36 PM,22,29,29,26,34,56,78,2.5,1017,27,10,91,24,United%20States%20Virgin%20Islands
2020-04-19,27,26,0.0,12.8,6,8,04:06 AM,04:03 PM,05:59 AM,06:37 PM,22,29,29,27,34,48,78,0.1,1017,27,10,99,25,United%20States%20Virgin%20Islands
2020-04-20,27,26,0.0,10.6,6,0,04:40 AM,04:51 PM,05:58 AM,06:37 PM,22,29,29,26,33,64,76,1.4,1017,27,10,99,24,United%20States%20Virgin%20Islands
2020-04-21,27,26,0.0,12.8,6,0,05:14 AM,05:38 PM,05:57 AM,06:37 PM,22,29,29,26,34,55,77,0.9,1016,27,10,100,25,United%20States%20Virgin%20Islands
2020-04-22,27,21,0.0,11.9,6,0,05:48 AM,06:26 PM,05:57 AM,06:37 PM,22,29,29,26,29,57,79,1.4,1016,27,10,110,21,United%20States%20Virgin%20Islands
2020-04-23,27,26,0.0,12.8,6,0,06:23 AM,07:15 PM,05:56 AM,06:38 PM,22,29,29,26,32,43,78,0.3,1016,27,10,88,24,United%20States%20Virgin%20Islands
2020-04-24,27,20,0.0,9.3,6,7,07:00 AM,08:06 PM,05:55 AM,06:38 PM,22,27,27,25,43,62,77,2.2,1017,27,10,85,30,United%20States%20Virgin%20Islands
2020-04-25,27,21,0.0,11.9,6,15,07:41 AM,08:58 PM,05:55 AM,06:38 PM,22,29,29,26,44,38,75,1.6,1017,27,10,98,32,United%20States%20Virgin%20Islands
2020-04-26,27,26,0.0,10.6,6,22,08:24 AM,09:52 PM,05:54 AM,06:39 PM,22,29,29,27,41,52,75,1.5,1018,27,10,90,30,United%20States%20Virgin%20Islands
2020-04-27,27,26,0.0,9.3,6,30,09:13 AM,10:47 PM,05:54 AM,06:39 PM,22,29,29,26,39,57,78,3.5,1017,27,10,96,27,United%20States%20Virgin%20Islands
2020-04-28,26,26,0.0,11.9,6,37,10:05 AM,11:42 PM,05:53 AM,06:39 PM,21,28,28,26,32,53,76,1.6,1017,26,10,86,22,United%20States%20Virgin%20Islands
2020-04-29,27,20,0.0,10.6,6,45,11:01 AM,No moonset,05:52 AM,06:39 PM,22,28,28,25,33,55,76,1.5,1016,27,10,99,23,United%20States%20Virgin%20Islands
2020-04-30,27,20,0.0,10.6,6,52,12:00 PM,12:34 AM,05:52 AM,06:40 PM,22,29,29,26,36,55,78,0.6,1016,27,10,103,26,United%20States%20Virgin%20Islands
2020-05-01,27,24,0.0,10.6,6,58,01:00 PM,01:25 AM,05:51 AM,06:40 PM,22,28,28,26,40,61,77,0.9,1017,27,10,104,27,United%20States%20Virgin%20Islands
2020-05-02,27,20,0.0,8.1,6,65,02:00 PM,02:13 AM,05:51 AM,06:40 PM,22,29,29,26,36,77,78,4.1,1017,27,9,114,26,United%20States%20Virgin%20Islands
2020-05-03,27,26,0.0,12.9,6,72,03:01 PM,02:59 AM,05:50 AM,06:41 PM,22,29,29,26,29,47,80,0.2,1016,27,10,95,21,United%20States%20Virgin%20Islands
2020-05-04,27,26,0.0,9.4,6,80,04:02 PM,03:43 AM,05:50 AM,06:41 PM,23,29,29,26,30,75,81,1.0,1015,27,9,99,21,United%20States%20Virgin%20Islands
2020-05-05,27,22,0.0,11.9,6,87,05:04 PM,04:27 AM,05:49 AM,06:41 PM,23,28,28,26,32,55,79,2.1,1015,27,10,99,22,United%20States%20Virgin%20Islands
2020-05-06,28,22,0.0,12.9,6,94,06:06 PM,05:12 AM,05:49 AM,06:42 PM,23,29,29,26,40,57,78,1.0,1016,28,10,117,29,United%20States%20Virgin%20Islands
2020-05-07,28,21,0.0,8.1,6,100,07:10 PM,05:58 AM,05:48 AM,06:42 PM,23,28,28,26,43,74,78,0.6,1017,28,10,126,31,United%20States%20Virgin%20Islands
2020-05-08,27,21,0.0,9.4,6,100,08:14 PM,06:48 AM,05:48 AM,06:43 PM,22,28,28,25,35,69,76,0.0,1017,27,10,120,25,United%20States%20Virgin%20Islands
2020-05-09,27,26,0.0,13.0,6,84,09:17 PM,07:41 AM,05:47 AM,06:43 PM,22,29,29,26,37,57,77,0.0,1018,27,10,105,27,United%20States%20Virgin%20Islands
2020-05-10,26,22,0.0,8.1,6,77,10:17 PM,08:37 AM,05:47 AM,06:43 PM,22,28,28,25,44,67,78,1.0,1018,26,10,93,32,United%20States%20Virgin%20Islands
2020-05-11,27,21,0.0,8.1,6,70,11:13 PM,09:34 AM,05:46 AM,06:44 PM,22,29,29,26,43,78,77,3.3,1017,27,9,99,32,United%20States%20Virgin%20Islands
2020-05-12,27,26,0.0,13.0,6,62,No moonrise,10:31 AM,05:46 AM,06:44 PM,22,29,29,26,39,52,78,0.2,1016,27,10,103,27,United%20States%20Virgin%20Islands
2020-05-13,27,26,0.0,13.0,7,55,12:03 AM,11:27 AM,05:46 AM,06:44 PM,22,29,29,26,36,45,76,1.1,1016,27,10,94,25,United%20States%20Virgin%20Islands
2020-05-14,26,21,0.0,13.0,6,48,12:48 AM,12:19 PM,05:45 AM,06:45 PM,22,27,27,25,36,51,76,0.4,1016,26,10,96,26,United%20States%20Virgin%20Islands
