date_time,Hong%20Kong_maxtempC,Hong%20Kong_mintempC,Hong%20Kong_totalSnow_cm,Hong%20Kong_sunHour,Hong%20Kong_uvIndex,Hong%20Kong_moon_illumination,Hong%20Kong_moonrise,Hong%20Kong_moonset,Hong%20Kong_sunrise,Hong%20Kong_sunset,Hong%20Kong_DewPointC,Hong%20Kong_FeelsLikeC,Hong%20Kong_HeatIndexC,Hong%20Kong_WindChillC,Hong%20Kong_WindGustKmph,Hong%20Kong_cloudcover,Hong%20Kong_humidity,Hong%20Kong_precipMM,Hong%20Kong_pressure,Hong%20Kong_tempC,Hong%20Kong_visibility,Hong%20Kong_winddirDegree,Hong%20Kong_windspeedKmph,Hong%20Kong_location
2020-01-24,20,19,0.0,5.5,4,0,06:29 AM,05:33 PM,07:05 AM,06:06 PM,18,20,20,20,28,71,91,1.4,1017,20,9,74,19,Hong%20Kong
2020-01-25,20,19,0.0,8.6,4,0,07:18 AM,06:28 PM,07:04 AM,06:07 PM,16,19,19,19,43,77,84,2.7,1016,20,10,80,32,Hong%20Kong
2020-01-26,17,11,0.0,5.5,4,4,08:02 AM,07:22 PM,07:04 AM,06:07 PM,14,16,17,16,27,93,82,8.2,1015,17,9,70,20,Hong%20Kong
2020-01-27,17,13,0.0,5.5,3,11,08:42 AM,08:14 PM,07:04 AM,06:08 PM,8,14,15,14,18,50,64,1.4,1016,17,9,58,14,Hong%20Kong
2020-01-28,18,12,0.0,7.0,4,18,09:19 AM,09:05 PM,07:04 AM,06:09 PM,6,14,15,14,15,62,56,1.3,1018,18,7,31,12,Hong%20Kong
2020-01-29,17,13,0.0,11.1,5,26,09:54 AM,09:55 PM,07:03 AM,06:09 PM,4,14,15,14,24,18,48,0.0,1021,17,10,19,19,Hong%20Kong
2020-01-30,18,12,0.0,11.1,5,33,10:26 AM,10:43 PM,07:03 AM,06:10 PM,1,13,15,13,30,1,40,0.0,1022,18,10,23,23,Hong%20Kong
2020-01-31,17,14,0.0,11.1,5,37,10:59 AM,11:32 PM,07:03 AM,06:11 PM,4,15,15,15,20,2,48,0.0,1022,17,10,60,17,Hong%20Kong
2020-02-01,17,14,0.0,10.1,4,49,11:33 AM,No moonset,07:02 AM,06:11 PM,10,15,16,15,34,43,70,0.0,1022,17,10,81,25,Hong%20Kong
2020-02-02,18,16,0.0,11.1,4,57,12:07 PM,12:22 AM,07:02 AM,06:12 PM,13,17,17,17,32,55,79,0.1,1022,18,10,79,24,Hong%20Kong
2020-02-03,18,14,0.0,10.1,4,64,12:46 PM,01:14 AM,07:02 AM,06:13 PM,14,17,17,17,32,65,80,0.2,1020,18,10,79,24,Hong%20Kong
2020-02-04,18,14,0.0,5.6,4,72,01:28 PM,02:08 AM,07:01 AM,06:13 PM,14,17,17,17,29,87,80,0.6,1020,18,8,71,21,Hong%20Kong
2020-02-05,19,18,0.0,7.1,4,79,02:16 PM,03:04 AM,07:01 AM,06:14 PM,15,18,18,18,31,69,80,0.0,1020,19,10,81,23,Hong%20Kong
2020-02-06,18,16,0.0,5.6,4,87,03:10 PM,04:03 AM,07:00 AM,06:15 PM,14,17,17,17,40,80,81,0.5,1020,18,9,83,31,Hong%20Kong
2020-02-07,21,14,0.0,10.1,4,95,04:09 PM,05:02 AM,07:00 AM,06:15 PM,15,18,18,18,18,47,80,0.0,1020,21,10,76,13,Hong%20Kong
2020-02-08,20,17,0.0,7.2,4,100,05:13 PM,06:00 AM,06:59 AM,06:16 PM,14,18,18,18,19,72,77,0.3,1023,20,10,69,14,Hong%20Kong
2020-02-09,18,15,0.0,11.6,5,100,06:19 PM,06:54 AM,06:59 AM,06:16 PM,11,17,17,17,19,40,69,0.5,1025,18,9,70,15,Hong%20Kong
2020-02-10,18,16,0.0,8.7,4,83,07:26 PM,07:45 AM,06:58 AM,06:17 PM,12,17,17,17,26,65,74,0.4,1023,18,10,78,20,Hong%20Kong
2020-02-11,19,14,0.0,8.7,4,75,08:30 PM,08:31 AM,06:58 AM,06:17 PM,15,17,18,17,27,75,84,0.4,1021,19,8,80,20,Hong%20Kong
2020-02-12,22,18,0.0,11.6,5,68,09:34 PM,09:16 AM,06:57 AM,06:18 PM,18,20,21,20,21,50,87,0.1,1018,22,10,81,15,Hong%20Kong
2020-02-13,22,19,0.0,7.3,5,60,10:35 PM,09:57 AM,06:57 AM,06:19 PM,19,21,22,21,15,57,89,2.6,1015,22,9,101,11,Hong%20Kong
2020-02-14,23,18,0.0,5.8,5,53,11:36 PM,10:39 AM,06:56 AM,06:19 PM,20,21,23,21,21,84,92,17.2,1013,23,7,120,14,Hong%20Kong
2020-02-15,23,22,0.0,5.8,5,45,No moonrise,11:21 AM,06:55 AM,06:20 PM,20,25,25,22,21,82,88,4.1,1014,23,10,152,13,Hong%20Kong
2020-02-16,16,13,0.0,5.8,3,38,12:37 AM,12:05 PM,06:55 AM,06:20 PM,11,14,15,14,35,91,74,16.2,1020,16,6,58,27,Hong%20Kong
2020-02-17,16,7,0.0,10.2,3,30,01:37 AM,12:52 PM,06:54 AM,06:21 PM,3,11,13,11,29,48,51,0.0,1025,16,10,18,23,Hong%20Kong
2020-02-18,16,12,0.0,11.6,4,22,02:35 AM,01:42 PM,06:53 AM,06:21 PM,5,13,14,13,20,8,55,0.0,1026,16,10,58,16,Hong%20Kong
2020-02-19,18,12,0.0,11.6,5,15,03:32 AM,02:33 PM,06:53 AM,06:22 PM,10,15,16,15,25,12,66,0.0,1024,18,10,76,19,Hong%20Kong
2020-02-20,19,14,0.0,11.6,5,7,04:25 AM,03:28 PM,06:52 AM,06:22 PM,12,17,17,17,26,15,73,0.0,1024,19,10,79,20,Hong%20Kong
2020-02-21,20,15,0.0,11.6,5,0,05:15 AM,04:21 PM,06:51 AM,06:23 PM,14,18,18,18,28,10,77,0.0,1026,20,10,80,21,Hong%20Kong
2020-02-22,22,19,0.0,11.6,6,0,06:00 AM,05:16 PM,06:51 AM,06:23 PM,16,20,21,20,15,9,76,0.0,1025,22,10,73,12,Hong%20Kong
2020-02-23,20,17,0.0,10.2,4,0,06:41 AM,06:08 PM,06:50 AM,06:24 PM,14,18,18,18,34,27,76,0.0,1024,20,10,80,25,Hong%20Kong
2020-02-24,20,18,0.0,8.7,4,0,07:19 AM,06:59 PM,06:49 AM,06:24 PM,16,19,19,19,28,54,82,0.2,1020,20,10,82,20,Hong%20Kong
2020-02-25,25,15,0.0,11.6,5,8,07:53 AM,07:49 PM,06:48 AM,06:25 PM,19,23,23,21,18,36,84,0.0,1018,25,10,85,13,Hong%20Kong
2020-02-26,28,21,0.0,11.6,7,15,08:26 AM,08:38 PM,06:48 AM,06:25 PM,21,27,27,25,7,0,77,0.0,1017,28,10,97,6,Hong%20Kong
2020-02-27,19,17,0.0,8.7,4,23,08:59 AM,09:27 PM,06:47 AM,06:26 PM,16,19,20,19,32,44,83,0.1,1018,19,10,87,25,Hong%20Kong
2020-02-28,21,15,0.0,10.2,4,30,09:32 AM,10:16 PM,06:46 AM,06:26 PM,16,19,20,19,23,49,83,0.0,1018,21,10,84,18,Hong%20Kong
2020-02-29,23,20,0.0,11.6,6,38,10:06 AM,11:06 PM,06:45 AM,06:27 PM,19,23,23,22,14,26,84,0.0,1015,23,10,94,11,Hong%20Kong
2020-03-01,26,22,0.0,11.6,6,44,10:42 AM,11:58 PM,06:44 AM,06:27 PM,20,26,26,24,7,11,80,0.0,1013,26,10,215,5,Hong%20Kong
2020-03-02,21,19,0.0,5.9,5,51,11:22 AM,No moonset,06:44 AM,06:27 PM,17,21,21,21,29,66,82,0.5,1016,21,10,105,22,Hong%20Kong
2020-03-03,21,18,0.0,10.2,4,58,12:06 PM,12:53 AM,06:43 AM,06:28 PM,16,19,19,19,31,54,82,0.0,1017,21,10,84,25,Hong%20Kong
2020-03-04,20,16,0.0,5.9,4,65,12:55 PM,01:49 AM,06:42 AM,06:28 PM,17,19,19,19,30,78,84,1.2,1017,20,9,75,23,Hong%20Kong
2020-03-05,18,17,0.0,5.9,4,73,01:51 PM,02:46 AM,06:41 AM,06:29 PM,15,18,18,18,32,89,81,4.1,1019,18,9,75,25,Hong%20Kong
2020-03-06,20,14,0.0,8.8,4,80,02:51 PM,03:43 AM,06:40 AM,06:29 PM,15,18,18,18,29,64,82,0.0,1017,20,10,89,23,Hong%20Kong
2020-03-07,24,19,0.0,11.6,5,87,03:56 PM,04:38 AM,06:39 AM,06:29 PM,18,21,22,21,13,46,81,0.2,1015,24,10,117,10,Hong%20Kong
2020-03-08,23,21,0.0,8.8,5,95,05:02 PM,05:30 AM,06:38 AM,06:30 PM,20,22,23,22,16,56,89,0.0,1011,23,9,136,12,Hong%20Kong
2020-03-09,23,21,0.0,6.0,5,100,06:08 PM,06:19 AM,06:37 AM,06:30 PM,20,25,25,22,17,89,88,1.0,1009,23,10,127,12,Hong%20Kong
2020-03-10,25,22,0.0,10.2,5,100,07:13 PM,07:05 AM,06:36 AM,06:31 PM,17,25,25,23,21,57,70,7.2,1013,25,9,76,14,Hong%20Kong
2020-03-11,19,16,0.0,7.4,4,84,08:18 PM,07:48 AM,06:36 AM,06:31 PM,15,19,19,19,30,74,76,0.5,1017,19,10,72,23,Hong%20Kong
2020-03-12,22,16,0.0,6.0,5,76,09:22 PM,08:31 AM,06:35 AM,06:31 PM,19,20,21,20,32,88,89,2.1,1016,22,6,89,23,Hong%20Kong
2020-03-13,25,14,0.0,11.6,5,69,10:25 PM,09:15 AM,06:34 AM,06:32 PM,21,24,24,22,14,43,88,0.0,1015,25,7,128,11,Hong%20Kong
2020-03-14,22,20,0.0,8.8,5,62,11:28 PM,10:00 AM,06:33 AM,06:32 PM,18,21,23,21,19,67,79,0.5,1018,22,9,80,15,Hong%20Kong
2020-03-15,21,19,0.0,11.6,4,55,No moonrise,10:47 AM,06:32 AM,06:33 PM,15,20,20,20,21,42,75,0.2,1019,21,10,87,17,Hong%20Kong
2020-03-16,20,18,0.0,11.6,5,47,12:29 AM,11:37 AM,06:31 AM,06:33 PM,14,19,19,19,33,27,75,0.0,1020,20,10,89,25,Hong%20Kong
2020-03-17,21,19,0.0,7.4,4,40,01:28 AM,12:29 PM,06:30 AM,06:33 PM,16,20,20,20,24,78,82,0.0,1019,21,10,82,18,Hong%20Kong
2020-03-18,22,20,0.0,8.8,5,33,02:23 AM,01:23 PM,06:29 AM,06:34 PM,18,21,23,21,14,53,84,0.1,1016,22,10,85,10,Hong%20Kong
2020-03-19,24,21,0.0,7.4,5,25,03:14 AM,02:17 PM,06:28 AM,06:34 PM,19,24,24,22,8,66,82,0.4,1015,24,10,113,6,Hong%20Kong
2020-03-20,22,21,0.0,6.0,5,18,04:00 AM,03:11 PM,06:27 AM,06:34 PM,19,22,24,22,17,66,85,0.3,1015,22,10,132,13,Hong%20Kong
2020-03-21,22,21,0.0,7.4,5,11,04:41 AM,04:04 PM,06:26 AM,06:35 PM,20,21,23,21,18,79,89,0.2,1015,22,10,90,14,Hong%20Kong
2020-03-22,27,22,0.0,11.6,5,4,05:20 AM,04:55 PM,06:25 AM,06:35 PM,21,26,26,24,9,43,84,0.0,1014,27,10,181,7,Hong%20Kong
2020-03-23,28,23,0.0,11.6,7,0,05:55 AM,05:45 PM,06:24 AM,06:35 PM,21,27,27,25,11,9,82,0.0,1013,28,10,197,9,Hong%20Kong
2020-03-24,23,21,0.0,11.6,5,0,06:28 AM,06:34 PM,06:23 AM,06:36 PM,19,22,23,22,28,36,83,0.3,1014,23,10,92,22,Hong%20Kong
2020-03-25,23,21,0.0,8.8,5,3,07:01 AM,07:23 PM,06:22 AM,06:36 PM,19,24,24,22,22,63,85,0.6,1014,23,8,88,17,Hong%20Kong
2020-03-26,25,22,0.0,11.6,6,11,07:33 AM,08:12 PM,06:22 AM,06:36 PM,21,26,26,23,16,35,86,0.0,1013,25,10,99,13,Hong%20Kong
2020-03-27,27,23,0.0,11.6,7,18,08:06 AM,09:02 PM,06:21 AM,06:37 PM,22,27,27,25,9,23,84,0.0,1013,27,10,148,8,Hong%20Kong
2020-03-28,24,22,0.0,11.6,6,25,08:42 AM,09:54 PM,06:20 AM,06:37 PM,20,25,25,23,19,33,84,0.0,1014,24,10,91,15,Hong%20Kong
2020-03-29,21,20,0.0,6.1,5,32,09:20 AM,10:46 PM,06:19 AM,06:37 PM,17,20,21,20,38,87,83,0.7,1014,21,9,90,30,Hong%20Kong
2020-03-30,23,17,0.0,6.1,5,40,10:02 AM,11:41 PM,06:18 AM,06:38 PM,19,21,23,21,31,80,87,0.6,1013,23,8,93,24,Hong%20Kong
2020-03-31,23,18,0.0,8.9,5,44,10:48 AM,No moonset,06:17 AM,06:38 PM,21,24,24,22,23,67,91,1.2,1014,23,6,86,17,Hong%20Kong
2020-04-01,24,22,0.0,8.9,5,56,11:40 AM,12:36 AM,06:16 AM,06:38 PM,21,25,25,23,11,77,88,0.2,1015,24,10,73,9,Hong%20Kong
2020-04-02,21,18,0.0,7.5,5,64,12:36 PM,01:32 AM,06:15 AM,06:39 PM,18,20,21,20,34,82,84,0.8,1017,21,7,85,26,Hong%20Kong
2020-04-03,22,20,0.0,7.5,5,71,01:37 PM,02:26 AM,06:14 AM,06:39 PM,19,21,22,21,31,73,86,0.2,1017,22,10,83,23,Hong%20Kong
2020-04-04,23,21,0.0,7.5,5,79,02:40 PM,03:18 AM,06:13 AM,06:40 PM,19,23,23,22,28,75,83,0.2,1018,23,10,81,21,Hong%20Kong
2020-04-05,21,20,0.0,8.9,5,87,03:45 PM,04:07 AM,06:12 AM,06:40 PM,16,20,21,20,34,71,78,0.3,1019,21,9,81,27,Hong%20Kong
2020-04-06,20,15,0.0,6.1,4,94,04:50 PM,04:53 AM,06:11 AM,06:40 PM,16,19,19,19,19,97,84,11.2,1018,20,7,72,15,Hong%20Kong
2020-04-07,21,15,0.0,6.2,4,100,05:55 PM,05:37 AM,06:10 AM,06:41 PM,17,19,19,19,23,86,88,27.4,1016,21,7,69,18,Hong%20Kong
2020-04-08,21,19,0.0,8.9,5,100,07:00 PM,06:20 AM,06:10 AM,06:41 PM,17,20,21,20,26,60,78,0.3,1016,21,10,88,21,Hong%20Kong
2020-04-09,22,20,0.0,11.6,6,83,08:05 PM,07:03 AM,06:09 AM,06:41 PM,16,21,23,21,20,35,71,0.0,1017,22,10,88,16,Hong%20Kong
2020-04-10,22,20,0.0,11.6,6,76,09:10 PM,07:49 AM,06:08 AM,06:42 PM,18,21,22,21,26,33,80,0.0,1018,22,10,90,21,Hong%20Kong
2020-04-11,24,19,0.0,7.5,5,68,10:14 PM,08:36 AM,06:07 AM,06:42 PM,20,24,24,22,17,77,85,2.3,1015,24,9,90,13,Hong%20Kong
2020-04-12,22,18,0.0,11.6,6,61,11:17 PM,09:27 AM,06:06 AM,06:42 PM,11,20,20,20,41,23,57,5.7,1018,22,10,20,30,Hong%20Kong
2020-04-13,21,17,0.0,11.6,5,53,No moonrise,10:20 AM,06:05 AM,06:43 PM,6,19,19,19,25,24,43,0.0,1019,21,10,65,19,Hong%20Kong
2020-04-14,21,18,0.0,10.2,5,46,12:15 AM,11:16 AM,06:04 AM,06:43 PM,13,20,21,20,20,32,64,0.0,1018,21,10,94,16,Hong%20Kong
2020-04-15,26,18,0.0,11.6,6,38,01:10 AM,12:11 PM,06:03 AM,06:43 PM,18,25,25,23,10,10,73,0.0,1015,26,10,135,8,Hong%20Kong
2020-04-16,24,22,0.0,11.6,6,30,01:58 AM,01:06 PM,06:03 AM,06:44 PM,20,25,25,23,12,22,81,0.0,1014,24,10,135,10,Hong%20Kong
2020-04-17,25,21,0.0,11.6,5,23,02:41 AM,02:00 PM,06:02 AM,06:44 PM,19,25,25,23,12,33,79,0.2,1015,25,10,116,9,Hong%20Kong
2020-04-18,25,22,0.0,11.6,6,15,03:21 AM,02:51 PM,06:01 AM,06:45 PM,20,26,26,24,10,28,81,0.0,1014,25,10,137,9,Hong%20Kong
2020-04-19,27,23,0.0,12.5,7,8,03:57 AM,03:42 PM,06:00 AM,06:45 PM,22,27,27,25,10,32,84,0.0,1013,27,10,168,8,Hong%20Kong
2020-04-20,27,24,0.0,12.9,7,0,04:30 AM,04:31 PM,05:59 AM,06:45 PM,22,28,28,25,12,16,84,0.0,1012,27,10,215,10,Hong%20Kong
2020-04-21,25,24,0.0,8.0,5,0,05:03 AM,05:20 PM,05:59 AM,06:46 PM,22,27,27,24,16,71,86,0.4,1013,25,10,120,12,Hong%20Kong
2020-04-22,24,22,0.0,10.6,5,0,05:35 AM,06:09 PM,05:58 AM,06:46 PM,21,25,25,23,29,62,85,0.7,1015,24,10,89,22,Hong%20Kong
2020-04-23,23,21,0.0,8.1,5,0,06:08 AM,06:59 PM,05:57 AM,06:47 PM,18,22,23,22,35,89,81,0.9,1017,23,9,79,27,Hong%20Kong
2020-04-24,20,18,0.0,9.4,4,7,06:42 AM,07:50 PM,05:56 AM,06:47 PM,15,19,19,19,20,90,76,0.7,1019,20,8,41,15,Hong%20Kong
2020-04-25,23,21,0.0,9.4,5,15,07:20 AM,08:43 PM,05:56 AM,06:47 PM,17,22,23,22,11,76,74,1.1,1018,23,8,126,9,Hong%20Kong
2020-04-26,26,22,0.0,12.9,6,22,08:00 AM,09:37 PM,05:55 AM,06:48 PM,17,26,26,24,7,38,66,0.0,1017,26,10,198,5,Hong%20Kong
2020-04-27,24,23,0.0,12.9,6,30,08:45 AM,10:32 PM,05:54 AM,06:48 PM,18,25,25,24,16,41,72,0.0,1017,24,10,107,13,Hong%20Kong
2020-04-28,25,22,0.0,13.0,6,37,09:35 AM,11:28 PM,05:54 AM,06:49 PM,17,25,25,23,25,12,65,0.0,1017,25,10,84,19,Hong%20Kong
2020-04-29,25,21,0.0,13.0,6,45,10:29 AM,No moonset,05:53 AM,06:49 PM,18,25,25,23,27,24,75,0.0,1017,25,10,86,21,Hong%20Kong
2020-04-30,25,22,0.0,11.9,5,52,11:28 AM,12:21 AM,05:52 AM,06:49 PM,20,26,26,23,16,46,79,0.0,1015,25,10,93,13,Hong%20Kong
2020-05-01,26,23,0.0,10.7,6,58,12:28 PM,01:12 AM,05:51 AM,06:50 PM,21,27,27,25,12,56,83,0.0,1012,26,10,120,10,Hong%20Kong
2020-05-02,28,24,0.0,13.0,6,65,01:30 PM,02:00 AM,05:51 AM,06:50 PM,22,28,28,26,12,30,83,0.0,1010,28,10,158,10,Hong%20Kong
2020-05-03,28,25,0.0,13.0,7,72,02:32 PM,02:45 AM,05:50 AM,06:51 PM,23,29,29,26,15,17,84,0.0,1009,28,10,222,12,Hong%20Kong
2020-05-04,29,25,0.0,12.0,6,80,03:35 PM,03:29 AM,05:50 AM,06:51 PM,24,30,30,27,16,38,87,0.0,1010,29,9,220,13,Hong%20Kong
2020-05-05,28,25,0.0,13.0,6,87,04:38 PM,04:10 AM,05:49 AM,06:52 PM,24,30,30,27,19,41,87,0.0,1009,28,9,216,15,Hong%20Kong
2020-05-06,28,23,0.0,9.4,6,94,05:43 PM,04:52 AM,05:48 AM,06:52 PM,25,31,31,27,19,72,87,0.2,1008,28,9,203,14,Hong%20Kong
2020-05-07,29,26,0.0,8.2,6,100,06:47 PM,05:36 AM,05:48 AM,06:52 PM,25,32,32,27,22,75,86,1.0,1009,29,10,179,16,Hong%20Kong
2020-05-08,29,27,0.0,9.4,6,100,07:53 PM,06:22 AM,05:47 AM,06:53 PM,25,32,32,28,24,66,84,1.2,1008,29,10,183,16,Hong%20Kong
2020-05-09,29,26,0.0,9.4,6,84,08:58 PM,07:13 AM,05:47 AM,06:53 PM,25,32,32,28,20,61,84,0.7,1009,29,10,204,15,Hong%20Kong
2020-05-10,30,27,0.0,10.7,6,77,10:01 PM,08:06 AM,05:46 AM,06:54 PM,25,34,34,29,14,63,83,2.7,1010,30,10,226,11,Hong%20Kong
2020-05-11,29,26,0.0,9.4,6,70,10:59 PM,09:02 AM,05:46 AM,06:54 PM,24,32,32,28,9,52,76,10.5,1010,29,9,248,6,Hong%20Kong
2020-05-12,30,26,0.0,13.1,6,62,11:52 PM,09:59 AM,05:45 AM,06:55 PM,22,31,31,28,8,47,71,9.1,1011,30,9,274,6,Hong%20Kong
2020-05-13,26,23,0.0,8.2,6,55,No moonrise,10:56 AM,05:45 AM,06:55 PM,23,28,28,25,30,72,82,7.7,1012,26,10,99,22,Hong%20Kong
2020-05-14,27,25,0.0,8.2,6,48,12:38 AM,11:52 AM,05:44 AM,06:56 PM,23,28,28,25,26,77,87,1.3,1011,27,8,95,20,Hong%20Kong
2020-05-15,29,26,0.0,9.5,6,40,01:20 AM,12:45 PM,05:44 AM,06:56 PM,25,32,32,27,20,61,85,1.8,1008,29,10,131,15,Hong%20Kong
2020-05-16,30,27,0.0,13.1,7,33,01:57 AM,01:37 PM,05:43 AM,06:57 PM,25,34,34,28,11,16,82,0.0,1007,30,10,126,9,Hong%20Kong
2020-05-17,29,27,0.0,13.1,6,26,02:31 AM,02:26 PM,05:43 AM,06:57 PM,24,32,32,28,16,44,82,0.2,1006,29,10,199,13,Hong%20Kong
2020-05-18,29,27,0.0,8.2,6,19,03:04 AM,03:15 PM,05:43 AM,06:57 PM,24,32,32,28,32,72,82,50.5,1004,29,7,215,18,Hong%20Kong
2020-05-19,30,28,0.0,10.7,6,11,03:37 AM,04:04 PM,05:42 AM,06:58 PM,24,33,33,29,10,72,76,5.3,1005,30,9,179,7,Hong%20Kong
2020-05-20,29,27,0.0,10.7,6,4,04:09 AM,04:53 PM,05:42 AM,06:58 PM,25,33,33,28,16,68,83,10.3,1006,29,9,104,11,Hong%20Kong
2020-05-21,29,24,0.0,8.2,6,0,04:43 AM,05:45 PM,05:42 AM,06:59 PM,25,33,33,28,36,75,82,17.4,1004,29,9,201,23,Hong%20Kong
2020-05-22,29,24,0.0,8.2,6,0,05:19 AM,06:37 PM,05:41 AM,06:59 PM,25,32,32,27,49,76,86,81.2,1004,29,5,226,24,Hong%20Kong
2020-05-23,26,25,0.0,8.5,6,3,05:59 AM,07:32 PM,05:41 AM,07:00 PM,24,28,28,25,36,99,91,33.7,1006,26,7,84,21,Hong%20Kong
2020-05-24,27,25,0.0,12.1,6,10,06:43 AM,08:27 PM,05:41 AM,07:00 PM,23,29,29,26,23,62,85,0.5,1008,27,10,95,18,Hong%20Kong
2020-05-25,29,26,0.0,9.7,6,17,07:32 AM,09:24 PM,05:41 AM,07:01 PM,25,32,32,27,22,68,86,4.5,1008,29,10,117,16,Hong%20Kong
2020-05-26,31,24,0.0,8.5,6,25,08:25 AM,10:18 PM,05:40 AM,07:01 PM,25,34,34,28,18,75,80,10.4,1007,31,9,230,12,Hong%20Kong
2020-05-27,30,28,0.0,8.5,6,32,09:22 AM,11:10 PM,05:40 AM,07:02 PM,25,35,35,29,12,81,80,21.6,1008,30,8,162,8,Hong%20Kong
2020-05-28,28,26,0.0,10.9,6,39,10:22 AM,11:59 PM,05:40 AM,07:02 PM,24,30,30,26,27,70,87,0.1,1009,28,10,88,21,Hong%20Kong
