date_time,United%20States%2C%20Nevada_maxtempC,United%20States%2C%20Nevada_mintempC,United%20States%2C%20Nevada_totalSnow_cm,United%20States%2C%20Nevada_sunHour,United%20States%2C%20Nevada_uvIndex,United%20States%2C%20Nevada_moon_illumination,United%20States%2C%20Nevada_moonrise,United%20States%2C%20Nevada_moonset,United%20States%2C%20Nevada_sunrise,United%20States%2C%20Nevada_sunset,United%20States%2C%20Nevada_DewPointC,United%20States%2C%20Nevada_FeelsLikeC,United%20States%2C%20Nevada_HeatIndexC,United%20States%2C%20Nevada_WindChillC,United%20States%2C%20Nevada_WindGustKmph,United%20States%2C%20Nevada_cloudcover,United%20States%2C%20Nevada_humidity,United%20States%2C%20Nevada_precipMM,United%20States%2C%20Nevada_pressure,United%20States%2C%20Nevada_tempC,United%20States%2C%20Nevada_visibility,United%20States%2C%20Nevada_winddirDegree,United%20States%2C%20Nevada_windspeedKmph,United%20States%2C%20Nevada_location
2020-01-11,9,4,0.0,8.7,3,100,05:58 PM,07:44 AM,06:51 AM,04:45 PM,-9,6,6,6,7,1,33,0.0,1018,9,10,121,4,United%20States%2C%20Nevada
2020-01-12,9,3,0.0,8.7,3,83,07:08 PM,08:32 AM,06:51 AM,04:46 PM,-8,6,7,6,6,14,36,0.0,1017,9,10,91,3,United%20States%2C%20Nevada
2020-01-13,10,5,0.0,8.7,3,76,08:19 PM,09:15 AM,06:50 AM,04:47 PM,-4,8,8,8,5,8,46,0.0,1016,10,10,177,3,United%20States%2C%20Nevada
2020-01-14,11,5,0.0,8.7,3,69,09:29 PM,09:53 AM,06:50 AM,04:48 PM,-3,8,8,8,4,1,47,0.0,1017,11,10,228,2,United%20States%2C%20Nevada
2020-01-15,11,5,0.0,8.7,2,61,10:37 PM,10:27 AM,06:50 AM,04:49 PM,-2,8,8,8,4,31,49,0.0,1016,11,10,297,3,United%20States%2C%20Nevada
2020-01-16,15,6,0.0,8.7,4,54,11:45 PM,11:00 AM,06:50 AM,04:50 PM,-4,9,10,9,18,11,39,0.0,1013,15,10,199,12,United%20States%2C%20Nevada
2020-01-17,10,6,0.0,8.7,3,47,No moonrise,11:33 AM,06:49 AM,04:51 PM,-3,7,8,7,20,18,46,0.2,1020,10,10,213,13,United%20States%2C%20Nevada
2020-01-18,11,5,0.0,8.7,3,40,12:51 AM,12:07 PM,06:49 AM,04:52 PM,-8,7,8,7,10,19,32,0.0,1025,11,10,295,6,United%20States%2C%20Nevada
2020-01-19,12,6,0.0,8.7,3,32,01:57 AM,12:44 PM,06:49 AM,04:53 PM,-6,9,9,9,10,26,34,0.0,1024,12,10,215,5,United%20States%2C%20Nevada
2020-01-20,13,9,0.0,7.1,3,25,03:03 AM,01:25 PM,06:48 AM,04:54 PM,-4,11,11,11,9,45,37,0.0,1019,13,10,137,5,United%20States%2C%20Nevada
2020-01-21,14,8,0.0,8.7,4,18,04:06 AM,02:10 PM,06:48 AM,04:55 PM,-3,10,11,10,6,27,39,0.0,1017,14,10,227,4,United%20States%2C%20Nevada
2020-01-22,13,7,0.0,8.7,4,11,05:06 AM,03:02 PM,06:47 AM,04:56 PM,2,10,10,10,5,15,58,0.0,1020,13,10,189,3,United%20States%2C%20Nevada
2020-01-23,14,8,0.0,8.7,4,3,06:01 AM,03:57 PM,06:47 AM,04:57 PM,1,11,11,11,7,3,54,0.0,1020,14,10,208,4,United%20States%2C%20Nevada
2020-01-24,15,9,0.0,5.4,3,0,06:49 AM,04:55 PM,06:46 AM,04:58 PM,-0,12,12,12,6,28,44,0.0,1016,15,10,207,3,United%20States%2C%20Nevada
2020-01-25,16,9,0.0,8.7,4,0,07:31 AM,05:54 PM,06:46 AM,04:59 PM,0,13,13,13,5,12,43,0.0,1017,16,10,119,3,United%20States%2C%20Nevada
2020-01-26,19,10,0.0,8.7,4,4,08:07 AM,06:52 PM,06:45 AM,05:00 PM,1,14,14,14,16,22,42,0.3,1016,19,10,210,10,United%20States%2C%20Nevada
2020-01-27,15,10,0.0,8.7,4,11,08:39 AM,07:49 PM,06:44 AM,05:01 PM,-2,12,13,12,23,7,37,0.6,1020,15,10,197,14,United%20States%2C%20Nevada
2020-01-28,15,9,0.0,8.7,3,18,09:09 AM,08:45 PM,06:44 AM,05:02 PM,-3,12,12,12,6,16,34,0.0,1021,15,10,230,3,United%20States%2C%20Nevada
2020-01-29,14,10,0.0,8.7,4,26,09:36 AM,09:41 PM,06:43 AM,05:03 PM,-4,10,12,10,28,12,34,0.0,1016,14,10,159,18,United%20States%2C%20Nevada
2020-01-30,14,6,0.0,8.7,3,33,10:02 AM,10:35 PM,06:42 AM,05:04 PM,-4,9,10,9,15,13,38,0.0,1021,14,10,141,9,United%20States%2C%20Nevada
2020-01-31,13,7,0.0,8.7,4,37,10:29 AM,11:32 PM,06:41 AM,05:05 PM,-2,10,10,10,11,5,44,0.0,1027,13,10,194,6,United%20States%2C%20Nevada
2020-02-01,16,9,0.0,8.7,4,49,10:57 AM,No moonset,06:41 AM,05:07 PM,-4,12,12,12,7,1,34,0.0,1026,16,10,279,4,United%20States%2C%20Nevada
2020-02-02,21,9,0.0,8.7,4,57,11:29 AM,12:28 AM,06:40 AM,05:08 PM,-2,14,14,14,22,18,33,0.0,1010,21,10,183,14,United%20States%2C%20Nevada
2020-02-03,7,4,0.0,8.7,3,64,12:03 PM,01:28 AM,06:39 AM,05:09 PM,-15,1,6,1,56,3,21,0.0,1011,7,10,322,43,United%20States%2C%20Nevada
2020-02-04,7,2,0.0,8.7,2,72,12:45 PM,02:28 AM,06:38 AM,05:10 PM,-16,-1,4,-1,39,5,22,0.0,1020,7,10,208,27,United%20States%2C%20Nevada
2020-02-05,7,0,0.0,8.7,2,79,01:33 PM,03:30 AM,06:37 AM,05:11 PM,-13,2,4,2,10,5,28,0.0,1023,7,10,124,6,United%20States%2C%20Nevada
2020-02-06,13,5,0.0,8.7,3,87,02:30 PM,04:30 AM,06:36 AM,05:12 PM,-6,9,9,9,6,5,35,0.0,1017,13,10,91,3,United%20States%2C%20Nevada
2020-02-07,15,8,0.0,8.7,4,95,03:35 PM,05:28 AM,06:36 AM,05:13 PM,-1,12,11,12,4,0,42,0.0,1017,15,10,183,2,United%20States%2C%20Nevada
2020-02-08,18,8,0.0,8.7,4,100,04:45 PM,06:20 AM,06:35 AM,05:14 PM,-3,13,13,13,11,3,34,0.0,1014,18,10,142,6,United%20States%2C%20Nevada
2020-02-09,9,5,0.0,8.7,3,100,05:58 PM,07:07 AM,06:34 AM,05:15 PM,-2,6,9,6,38,21,45,0.0,1010,9,10,152,27,United%20States%2C%20Nevada
2020-02-10,12,6,0.0,5.6,2,83,07:11 PM,07:48 AM,06:33 AM,05:16 PM,-5,5,9,5,33,40,39,2.8,1013,12,10,208,25,United%20States%2C%20Nevada
2020-02-11,12,7,0.0,8.7,3,75,08:22 PM,08:24 AM,06:32 AM,05:17 PM,-11,7,10,7,37,1,24,0.0,1018,12,10,194,24,United%20States%2C%20Nevada
2020-02-12,13,5,0.0,8.7,3,68,09:33 PM,08:59 AM,06:31 AM,05:18 PM,-13,10,9,10,5,17,20,0.0,1016,13,10,101,3,United%20States%2C%20Nevada
2020-02-13,14,7,0.0,8.7,4,60,10:42 PM,09:33 AM,06:30 AM,05:19 PM,-8,10,10,10,6,1,28,0.0,1017,14,10,88,3,United%20States%2C%20Nevada
2020-02-14,15,7,0.0,8.7,4,53,11:50 PM,10:07 AM,06:28 AM,05:20 PM,-7,11,11,11,3,13,27,0.0,1017,15,10,144,2,United%20States%2C%20Nevada
2020-02-15,17,9,0.0,8.7,4,45,No moonrise,10:44 AM,06:27 AM,05:21 PM,-6,13,13,13,5,12,27,0.0,1019,17,10,128,2,United%20States%2C%20Nevada
2020-02-16,18,10,0.0,8.7,4,38,12:56 AM,11:24 AM,06:26 AM,05:22 PM,-2,14,14,14,8,5,33,0.0,1017,18,10,220,4,United%20States%2C%20Nevada
2020-02-17,18,11,0.0,8.7,4,30,02:01 AM,12:08 PM,06:25 AM,05:23 PM,-1,15,15,15,8,9,34,0.0,1013,18,10,209,5,United%20States%2C%20Nevada
2020-02-18,12,7,0.0,7.2,2,22,03:01 AM,12:57 PM,06:24 AM,05:24 PM,-8,9,10,9,18,48,28,0.0,1017,12,10,58,11,United%20States%2C%20Nevada
2020-02-19,15,8,0.0,8.7,4,15,03:57 AM,01:51 PM,06:23 AM,05:25 PM,-8,12,12,12,8,11,25,0.0,1017,15,10,200,5,United%20States%2C%20Nevada
2020-02-20,13,6,0.0,8.7,3,7,04:46 AM,02:47 PM,06:22 AM,05:26 PM,-9,8,10,8,16,0,25,0.0,1023,13,10,79,11,United%20States%2C%20Nevada
2020-02-21,17,8,0.0,8.7,4,0,05:30 AM,03:45 PM,06:20 AM,05:27 PM,-8,12,13,12,11,2,24,0.0,1020,17,10,176,7,United%20States%2C%20Nevada
2020-02-22,11,2,0.0,4.2,2,0,06:07 AM,04:43 PM,06:19 AM,05:28 PM,-1,8,10,8,11,59,51,18.3,1014,11,8,198,7,United%20States%2C%20Nevada
2020-02-23,16,9,0.0,8.7,4,0,06:40 AM,05:41 PM,06:18 AM,05:29 PM,4,12,12,12,7,28,59,0.5,1019,16,10,178,4,United%20States%2C%20Nevada
2020-02-24,19,11,0.0,8.7,5,0,07:11 AM,06:37 PM,06:17 AM,05:30 PM,-1,15,15,15,14,1,36,0.0,1020,19,10,191,8,United%20States%2C%20Nevada
2020-02-25,15,10,0.0,8.7,4,8,07:38 AM,07:33 PM,06:16 AM,05:31 PM,-7,13,13,13,21,0,25,0.0,1023,15,10,96,14,United%20States%2C%20Nevada
2020-02-26,15,8,0.0,8.7,4,15,08:05 AM,08:28 PM,06:14 AM,05:32 PM,-8,11,12,11,9,0,26,0.0,1024,15,10,138,5,United%20States%2C%20Nevada
2020-02-27,18,10,0.0,8.7,4,23,08:31 AM,09:24 PM,06:13 AM,05:33 PM,-6,14,14,14,10,17,26,0.0,1023,18,10,139,6,United%20States%2C%20Nevada
2020-02-28,18,12,0.0,5.7,4,30,08:58 AM,10:19 PM,06:12 AM,05:34 PM,-5,15,15,15,11,53,25,0.0,1023,18,10,135,6,United%20States%2C%20Nevada
2020-02-29,21,12,0.0,4.2,4,38,09:28 AM,11:17 PM,06:10 AM,05:35 PM,-4,17,16,17,21,58,25,0.0,1014,21,10,196,14,United%20States%2C%20Nevada
2020-03-01,14,10,0.0,8.7,4,44,10:00 AM,No moonset,06:09 AM,05:36 PM,-2,10,13,10,46,23,35,0.0,1006,14,10,212,33,United%20States%2C%20Nevada
2020-03-02,14,7,0.0,8.7,4,51,10:37 AM,12:15 AM,06:08 AM,05:37 PM,-3,8,10,8,26,21,42,0.1,1011,14,10,203,19,United%20States%2C%20Nevada
2020-03-03,18,9,0.0,8.7,4,58,11:22 AM,01:15 AM,06:06 AM,05:38 PM,-7,12,13,12,23,0,25,0.0,1015,18,10,210,15,United%20States%2C%20Nevada
2020-03-04,19,11,0.0,8.7,4,65,12:13 PM,02:15 AM,06:05 AM,05:38 PM,0,15,15,15,8,2,38,0.0,1018,19,10,132,5,United%20States%2C%20Nevada
2020-03-05,20,13,0.0,7.2,4,73,01:12 PM,03:13 AM,06:04 AM,05:39 PM,-2,17,17,17,5,36,29,0.0,1020,20,10,179,3,United%20States%2C%20Nevada
2020-03-06,22,15,0.0,7.2,4,80,02:19 PM,04:06 AM,06:02 AM,05:40 PM,-2,19,19,19,13,54,26,0.0,1016,22,10,154,8,United%20States%2C%20Nevada
2020-03-07,21,15,0.0,8.7,5,87,03:30 PM,04:55 AM,06:01 AM,05:41 PM,-1,17,18,17,27,24,29,0.0,1010,21,10,194,18,United%20States%2C%20Nevada
2020-03-08,17,13,0.0,11.4,4,95,04:43 PM,05:38 AM,06:00 AM,05:42 PM,-1,14,15,14,31,34,33,0.0,1011,17,10,216,24,United%20States%2C%20Nevada
2020-03-09,18,11,0.0,11.6,4,100,05:57 PM,06:17 AM,05:58 AM,05:43 PM,0,14,15,14,28,25,38,0.0,1017,18,10,173,20,United%20States%2C%20Nevada
2020-03-10,16,14,0.0,8.8,3,100,07:11 PM,06:53 AM,05:57 AM,05:44 PM,5,15,15,15,14,60,50,1.9,1018,16,10,139,10,United%20States%2C%20Nevada
2020-03-11,17,12,0.0,5.9,3,84,08:23 PM,07:29 AM,05:56 AM,05:45 PM,7,14,15,14,7,74,62,31.6,1017,17,8,153,4,United%20States%2C%20Nevada
2020-03-12,20,11,0.0,11.6,4,76,09:35 PM,08:04 AM,05:54 AM,05:46 PM,7,16,17,16,15,38,58,6.9,1012,20,9,95,11,United%20States%2C%20Nevada
2020-03-13,14,8,0.0,6.0,3,69,10:45 PM,08:40 AM,05:53 AM,05:46 PM,8,11,12,11,17,76,74,29.3,1008,14,8,165,11,United%20States%2C%20Nevada
2020-03-14,17,9,0.0,11.6,4,62,11:52 PM,09:21 AM,05:51 AM,05:47 PM,6,12,13,12,33,22,60,0.0,1015,17,10,177,23,United%20States%2C%20Nevada
2020-03-15,19,12,0.0,11.6,5,55,No moonrise,10:05 AM,05:50 AM,05:48 PM,3,14,15,14,25,6,47,0.0,1016,19,10,183,18,United%20States%2C%20Nevada
2020-03-16,18,12,0.0,11.6,5,47,12:56 AM,10:53 AM,05:49 AM,05:49 PM,4,15,15,15,26,14,47,0.0,1014,18,10,158,19,United%20States%2C%20Nevada
2020-03-17,13,10,0.0,11.6,4,40,01:54 AM,11:46 AM,05:47 AM,05:50 PM,-2,9,11,9,28,12,41,0.0,1011,13,10,219,20,United%20States%2C%20Nevada
2020-03-18,13,9,0.0,10.2,3,33,02:45 AM,12:42 PM,05:46 AM,05:51 PM,-2,10,11,10,10,28,41,0.1,1007,13,10,184,7,United%20States%2C%20Nevada
2020-03-19,12,6,0.0,10.2,3,25,03:30 AM,01:40 PM,05:44 AM,05:52 PM,-1,7,10,7,35,47,44,1.3,1014,12,10,202,26,United%20States%2C%20Nevada
2020-03-20,14,7,0.0,10.2,4,18,04:09 AM,02:37 PM,05:43 AM,05:52 PM,1,11,11,11,7,39,48,2.6,1022,14,10,173,5,United%20States%2C%20Nevada
2020-03-21,15,9,0.0,10.2,4,11,04:43 AM,03:35 PM,05:41 AM,05:53 PM,1,13,13,13,7,47,43,0.0,1020,15,10,201,5,United%20States%2C%20Nevada
2020-03-22,18,11,0.0,11.6,5,4,05:14 AM,04:31 PM,05:40 AM,05:54 PM,1,15,15,15,13,22,37,0.0,1017,18,10,100,9,United%20States%2C%20Nevada
2020-03-23,17,12,0.0,8.8,3,0,05:42 AM,05:27 PM,05:39 AM,05:55 PM,2,14,15,14,24,48,42,0.7,1014,17,9,228,18,United%20States%2C%20Nevada
2020-03-24,18,11,0.0,11.6,4,0,06:08 AM,06:22 PM,05:37 AM,05:56 PM,2,13,14,13,36,8,44,0.0,1015,18,10,210,28,United%20States%2C%20Nevada
2020-03-25,16,12,0.0,11.6,4,3,06:34 AM,07:18 PM,05:36 AM,05:57 PM,-1,12,14,12,41,12,37,0.0,1010,16,10,213,32,United%20States%2C%20Nevada
2020-03-26,12,7,0.0,11.6,3,11,07:01 AM,08:14 PM,05:34 AM,05:57 PM,-3,7,10,7,32,15,40,0.0,1010,12,10,235,26,United%20States%2C%20Nevada
2020-03-27,15,8,0.0,11.6,4,18,07:29 AM,09:11 PM,05:33 AM,05:58 PM,-6,10,12,10,18,32,33,0.0,1013,15,10,253,15,United%20States%2C%20Nevada
2020-03-28,17,10,0.0,10.2,3,25,08:00 AM,10:09 PM,05:31 AM,05:59 PM,-6,13,13,13,15,39,27,0.0,1017,17,10,208,11,United%20States%2C%20Nevada
2020-03-29,16,13,0.0,10.6,3,32,08:35 AM,11:08 PM,05:30 AM,06:00 PM,-1,15,15,15,14,72,34,0.0,1013,16,10,183,11,United%20States%2C%20Nevada
2020-03-30,19,11,0.0,12.7,5,40,09:16 AM,No moonset,05:28 AM,06:01 PM,0,15,15,15,7,7,39,0.1,1018,19,10,112,5,United%20States%2C%20Nevada
2020-03-31,23,15,0.0,12.8,5,44,10:03 AM,12:06 AM,05:27 AM,06:02 PM,-2,19,19,19,9,0,25,0.0,1014,23,10,207,6,United%20States%2C%20Nevada
2020-04-01,23,17,0.0,12.8,6,56,10:58 AM,01:03 AM,05:26 AM,06:02 PM,1,20,20,20,30,1,29,0.0,1005,23,10,217,22,United%20States%2C%20Nevada
2020-04-02,20,14,0.0,12.8,5,64,11:59 AM,01:56 AM,05:24 AM,06:03 PM,-3,17,17,17,28,5,27,0.0,1007,20,10,237,21,United%20States%2C%20Nevada
2020-04-03,20,13,0.0,12.8,5,71,01:07 PM,02:45 AM,05:23 AM,06:04 PM,-8,16,16,16,9,3,18,0.0,1010,20,10,127,6,United%20States%2C%20Nevada
2020-04-04,23,14,0.0,12.8,5,79,02:17 PM,03:30 AM,05:21 AM,06:05 PM,-3,18,18,18,23,4,23,0.0,1006,23,10,209,17,United%20States%2C%20Nevada
2020-04-05,20,14,0.0,12.9,5,87,03:30 PM,04:09 AM,05:20 AM,06:06 PM,3,17,17,17,36,12,39,0.0,1005,20,10,215,29,United%20States%2C%20Nevada
2020-04-06,16,11,0.0,10.6,3,94,04:43 PM,04:46 AM,05:18 AM,06:07 PM,3,13,15,13,28,55,46,0.3,1009,16,10,194,23,United%20States%2C%20Nevada
2020-04-07,13,7,0.0,8.1,3,100,05:56 PM,05:21 AM,05:17 AM,06:07 PM,3,10,11,10,14,84,58,10.5,1013,13,8,145,11,United%20States%2C%20Nevada
2020-04-08,17,9,0.0,11.9,3,100,07:10 PM,05:56 AM,05:16 AM,06:08 PM,3,13,14,13,20,45,50,0.1,1011,17,10,174,16,United%20States%2C%20Nevada
2020-04-09,14,8,0.0,10.7,3,83,08:23 PM,06:33 AM,05:14 AM,06:09 PM,1,10,11,10,16,60,51,1.8,1018,14,10,175,13,United%20States%2C%20Nevada
2020-04-10,13,10,0.0,10.7,3,76,09:35 PM,07:12 AM,05:13 AM,06:10 PM,3,11,12,11,9,64,57,3.5,1014,13,8,124,7,United%20States%2C%20Nevada
2020-04-11,22,8,0.0,13.0,5,68,10:43 PM,07:56 AM,05:11 AM,06:11 PM,3,16,16,16,14,15,41,0.0,1010,22,10,207,11,United%20States%2C%20Nevada
2020-04-12,21,16,0.0,13.0,5,61,11:46 PM,08:44 AM,05:10 AM,06:11 PM,3,18,18,18,12,22,37,0.0,1010,21,10,201,8,United%20States%2C%20Nevada
2020-04-13,20,15,0.0,13.0,5,53,No moonrise,09:38 AM,05:09 AM,06:12 PM,-2,18,18,18,15,34,32,3.2,1013,20,10,177,12,United%20States%2C%20Nevada
2020-04-14,18,12,0.0,13.1,5,46,12:41 AM,10:34 AM,05:07 AM,06:13 PM,-9,15,16,15,25,1,17,0.0,1019,18,10,66,20,United%20States%2C%20Nevada
2020-04-15,23,14,0.0,13.1,5,38,01:30 AM,11:32 AM,05:06 AM,06:14 PM,-9,19,19,19,14,1,15,0.0,1015,23,10,223,10,United%20States%2C%20Nevada
2020-04-16,22,17,0.0,13.1,6,30,02:10 AM,12:30 PM,05:05 AM,06:15 PM,-2,20,20,20,20,28,24,0.0,1010,22,10,89,14,United%20States%2C%20Nevada
2020-04-17,23,16,0.0,13.1,5,23,02:46 AM,01:29 PM,05:03 AM,06:16 PM,-4,20,20,20,14,17,20,0.0,1010,23,10,82,11,United%20States%2C%20Nevada
2020-04-18,21,16,0.0,12.0,4,15,03:18 AM,02:25 PM,05:02 AM,06:17 PM,4,19,19,19,21,33,38,0.0,1010,21,10,217,17,United%20States%2C%20Nevada
2020-04-19,24,16,0.0,13.2,6,8,03:46 AM,03:22 PM,05:01 AM,06:17 PM,2,20,20,20,25,5,34,0.0,1011,24,10,217,20,United%20States%2C%20Nevada
2020-04-20,23,17,0.0,13.2,5,0,04:12 AM,04:17 PM,05:00 AM,06:18 PM,2,20,20,20,20,44,31,0.2,1010,23,10,214,16,United%20States%2C%20Nevada
2020-04-21,25,16,0.0,13.6,6,0,04:38 AM,05:12 PM,04:58 AM,06:19 PM,4,21,21,21,16,30,37,1.0,1012,25,10,269,13,United%20States%2C%20Nevada
2020-04-22,28,19,0.0,13.6,7,0,05:05 AM,06:08 PM,04:57 AM,06:20 PM,0,23,23,24,21,4,22,0.0,1016,28,10,274,15,United%20States%2C%20Nevada
2020-04-23,30,22,0.0,13.7,7,0,05:32 AM,07:05 PM,04:56 AM,06:21 PM,2,25,25,26,18,4,21,0.0,1013,30,10,313,13,United%20States%2C%20Nevada
2020-04-24,27,21,0.0,13.7,6,7,06:02 AM,08:03 PM,04:55 AM,06:22 PM,-2,23,23,24,22,1,18,0.0,1014,27,10,72,17,United%20States%2C%20Nevada
2020-04-25,29,22,0.0,13.7,6,15,06:36 AM,09:03 PM,04:53 AM,06:22 PM,1,25,25,26,11,20,20,0.0,1013,29,10,51,8,United%20States%2C%20Nevada
2020-04-26,32,25,0.0,10.9,6,22,07:15 AM,10:01 PM,04:52 AM,06:23 PM,-0,27,27,28,23,38,17,0.0,1010,32,10,221,16,United%20States%2C%20Nevada
2020-04-27,32,22,0.0,13.7,7,30,08:00 AM,10:59 PM,04:51 AM,06:24 PM,-3,26,26,27,12,3,14,0.0,1010,32,10,224,7,United%20States%2C%20Nevada
2020-04-28,34,25,0.0,13.8,8,37,08:51 AM,11:53 PM,04:50 AM,06:25 PM,2,28,28,30,10,1,17,0.0,1013,34,10,146,7,United%20States%2C%20Nevada
2020-04-29,36,26,0.0,13.3,7,45,09:49 AM,No moonset,04:49 AM,06:26 PM,3,29,29,31,12,24,18,0.0,1012,36,10,181,9,United%20States%2C%20Nevada
2020-04-30,35,27,0.0,13.3,7,52,10:53 AM,12:41 AM,04:48 AM,06:27 PM,2,29,29,31,31,43,16,0.0,1008,35,10,213,23,United%20States%2C%20Nevada
2020-05-01,33,23,0.0,13.8,7,58,12:00 PM,01:26 AM,04:47 AM,06:28 PM,1,26,26,28,27,6,18,0.0,1007,33,10,219,20,United%20States%2C%20Nevada
2020-05-02,31,21,0.0,13.8,7,65,01:09 PM,02:06 AM,04:45 AM,06:28 PM,-3,25,25,26,20,0,15,0.0,1010,31,10,215,15,United%20States%2C%20Nevada
2020-05-03,31,22,0.0,13.9,7,72,02:20 PM,02:42 AM,04:44 AM,06:29 PM,-4,25,25,26,33,2,14,0.0,1010,31,10,215,26,United%20States%2C%20Nevada
2020-05-04,30,21,0.0,13.9,7,80,03:31 PM,03:17 AM,04:43 AM,06:30 PM,-5,25,25,26,18,2,14,0.0,1012,30,10,263,13,United%20States%2C%20Nevada
2020-05-05,32,22,0.0,13.9,7,87,04:43 PM,03:50 AM,04:42 AM,06:31 PM,-7,26,26,27,11,0,11,0.0,1013,32,10,149,7,United%20States%2C%20Nevada
2020-05-06,36,25,0.0,13.9,7,94,05:56 PM,04:25 AM,04:41 AM,06:32 PM,-8,29,29,30,22,32,8,0.0,1011,36,10,228,15,United%20States%2C%20Nevada
2020-05-07,32,23,0.0,13.3,7,100,07:10 PM,05:03 AM,04:40 AM,06:33 PM,-5,26,26,28,22,38,12,0.0,1011,32,10,46,16,United%20States%2C%20Nevada
2020-05-08,33,22,0.0,14.0,7,100,08:21 PM,05:44 AM,04:39 AM,06:34 PM,-9,26,26,28,11,22,8,0.0,1011,33,10,35,7,United%20States%2C%20Nevada
2020-05-09,35,26,0.0,11.0,7,84,09:29 PM,06:31 AM,04:38 AM,06:34 PM,-5,29,29,30,13,50,10,0.0,1010,35,10,175,9,United%20States%2C%20Nevada
2020-05-10,35,26,0.0,13.3,7,77,10:30 PM,07:24 AM,04:38 AM,06:35 PM,3,29,29,30,23,27,18,0.1,1009,35,10,199,18,United%20States%2C%20Nevada
2020-05-11,31,23,0.0,14.0,7,70,11:24 PM,08:20 AM,04:37 AM,06:36 PM,-7,25,25,27,37,4,11,0.0,1007,31,10,219,29,United%20States%2C%20Nevada
2020-05-12,27,20,0.0,14.0,6,62,No moonrise,09:20 AM,04:36 AM,06:37 PM,-1,23,23,23,48,3,21,0.0,1007,27,10,223,40,United%20States%2C%20Nevada
2020-05-13,27,16,0.0,14.0,6,55,12:08 AM,10:20 AM,04:35 AM,06:38 PM,3,21,21,22,22,3,31,0.0,1008,27,10,219,18,United%20States%2C%20Nevada
2020-05-14,28,18,0.0,14.1,6,48,12:47 AM,11:20 AM,04:34 AM,06:39 PM,0,22,22,23,18,2,23,0.0,1009,28,10,228,14,United%20States%2C%20Nevada
2020-05-15,30,21,0.0,14.1,7,40,01:20 AM,12:17 PM,04:33 AM,06:39 PM,1,25,25,26,13,5,22,0.0,1009,30,10,202,10,United%20States%2C%20Nevada
2020-05-16,32,24,0.0,13.4,6,33,01:49 AM,01:14 PM,04:33 AM,06:40 PM,1,27,27,28,16,24,19,0.0,1008,32,10,187,12,United%20States%2C%20Nevada
