date_time,Israel_maxtempC,Israel_mintempC,Israel_totalSnow_cm,Israel_sunHour,Israel_uvIndex,Israel_moon_illumination,Israel_moonrise,Israel_moonset,Israel_sunrise,Israel_sunset,Israel_DewPointC,Israel_FeelsLikeC,Israel_HeatIndexC,Israel_WindChillC,Israel_WindGustKmph,Israel_cloudcover,Israel_humidity,Israel_precipMM,Israel_pressure,Israel_tempC,Israel_visibility,Israel_winddirDegree,Israel_windspeedKmph,Israel_location
2020-01-25,27,18,0.0,10.1,5,0,07:20 AM,06:52 PM,06:41 AM,06:00 PM,19,23,23,22,7,64,88,4.3,1016,27,7,106,5,Israel
2020-01-26,28,18,0.0,11.6,5,4,08:03 AM,07:44 PM,06:41 AM,06:01 PM,20,24,24,22,11,27,86,0.8,1014,28,8,169,6,Israel
2020-01-27,28,20,0.0,5.8,5,11,08:43 AM,08:33 PM,06:41 AM,06:01 PM,20,24,24,23,8,63,87,3.3,1014,28,8,263,5,Israel
2020-01-28,28,19,0.0,10.2,5,18,09:21 AM,09:21 PM,06:41 AM,06:02 PM,20,24,24,23,6,50,86,0.3,1012,28,8,140,4,Israel
2020-01-29,28,20,0.0,5.8,5,26,09:56 AM,10:08 PM,06:40 AM,06:02 PM,21,24,24,23,10,76,90,6.6,1013,28,9,265,6,Israel
2020-01-30,27,20,0.0,7.3,5,33,10:30 AM,10:55 PM,06:40 AM,06:03 PM,21,25,25,23,8,70,89,2.2,1013,27,9,113,5,Israel
2020-01-31,28,20,0.0,10.2,5,37,11:05 AM,11:42 PM,06:40 AM,06:03 PM,21,25,25,23,13,31,86,0.2,1013,28,9,265,8,Israel
2020-02-01,24,19,0.0,5.8,5,49,11:42 AM,No moonset,06:40 AM,06:04 PM,20,22,22,21,19,81,95,29.3,1019,24,8,290,10,Israel
2020-02-02,23,17,0.0,7.3,5,57,12:20 PM,12:31 AM,06:39 AM,06:04 PM,17,20,20,20,10,78,86,8.8,1023,23,10,178,7,Israel
2020-02-03,27,15,0.0,11.6,5,64,01:02 PM,01:22 AM,06:39 AM,06:05 PM,17,20,21,20,10,11,82,0.0,1017,27,7,105,6,Israel
2020-02-04,29,19,0.0,11.6,6,72,01:49 PM,02:16 AM,06:39 AM,06:05 PM,20,25,25,24,13,6,80,0.0,1014,29,10,137,7,Israel
2020-02-05,31,20,0.0,11.6,7,79,02:41 PM,03:13 AM,06:39 AM,06:06 PM,21,28,28,25,10,2,78,0.0,1010,31,10,126,6,Israel
2020-02-06,30,20,0.0,11.6,7,87,03:39 PM,04:11 AM,06:38 AM,06:06 PM,19,26,26,25,12,20,73,0.3,1008,30,10,251,8,Israel
2020-02-07,23,20,0.0,5.8,5,95,04:40 PM,05:10 AM,06:38 AM,06:07 PM,20,21,23,21,10,90,94,21.6,1014,23,8,218,6,Israel
2020-02-08,28,20,0.0,5.8,5,100,05:45 PM,06:07 AM,06:38 AM,06:07 PM,21,25,25,23,10,73,89,4.9,1015,28,9,141,6,Israel
2020-02-09,31,20,0.0,11.6,6,100,06:49 PM,07:01 AM,06:37 AM,06:08 PM,20,26,26,25,21,23,78,0.4,1015,31,8,114,13,Israel
2020-02-10,30,20,0.0,11.6,7,83,07:52 PM,07:52 AM,06:37 AM,06:08 PM,19,27,27,25,24,24,71,0.0,1014,30,10,113,15,Israel
2020-02-11,31,20,0.0,11.6,7,75,08:53 PM,08:39 AM,06:36 AM,06:09 PM,19,28,28,25,17,9,72,0.0,1012,31,10,116,10,Israel
2020-02-12,33,21,0.0,11.6,7,68,09:53 PM,09:24 AM,06:36 AM,06:09 PM,20,29,29,27,18,13,68,0.0,1010,33,10,115,10,Israel
2020-02-13,30,20,0.0,11.6,7,60,10:52 PM,10:08 AM,06:36 AM,06:09 PM,19,28,28,26,17,20,71,0.4,1012,30,10,222,10,Israel
2020-02-14,26,21,0.0,5.9,5,53,11:50 PM,10:52 AM,06:35 AM,06:10 PM,21,24,24,23,12,82,91,14.4,1017,26,8,270,7,Israel
2020-02-15,30,19,0.0,10.2,6,45,No moonrise,11:38 AM,06:35 AM,06:10 PM,19,25,25,23,12,52,81,1.3,1018,30,9,141,7,Israel
2020-02-16,30,18,0.0,11.6,6,38,12:48 AM,12:25 PM,06:34 AM,06:10 PM,18,25,25,24,16,11,75,0.0,1015,30,10,106,10,Israel
2020-02-17,31,19,0.0,11.6,6,30,01:46 AM,01:15 PM,06:34 AM,06:11 PM,17,26,26,24,19,33,64,0.0,1013,31,10,110,12,Israel
2020-02-18,33,20,0.0,11.6,7,22,02:43 AM,02:06 PM,06:33 AM,06:11 PM,18,27,27,26,29,12,65,0.0,1012,33,10,115,19,Israel
2020-02-19,33,21,0.0,11.6,7,15,03:38 AM,03:00 PM,06:33 AM,06:12 PM,19,28,28,26,23,18,68,0.1,1015,33,10,98,15,Israel
2020-02-20,33,20,0.0,11.6,7,7,04:29 AM,03:53 PM,06:32 AM,06:12 PM,19,28,28,26,16,25,72,0.3,1016,33,10,102,11,Israel
2020-02-21,28,21,0.0,5.9,5,0,05:17 AM,04:46 PM,06:31 AM,06:12 PM,22,26,26,24,12,76,87,28.6,1019,28,8,198,6,Israel
2020-02-22,23,20,0.0,5.9,5,0,06:01 AM,05:38 PM,06:31 AM,06:13 PM,20,21,22,21,10,91,93,29.2,1021,23,8,210,6,Israel
2020-02-23,26,19,0.0,8.8,5,0,06:41 AM,06:27 PM,06:30 AM,06:13 PM,19,22,22,21,8,63,85,2.0,1018,26,9,164,5,Israel
2020-02-24,31,17,0.0,11.6,6,0,07:19 AM,07:16 PM,06:30 AM,06:13 PM,19,25,25,24,12,11,78,0.0,1012,31,7,101,7,Israel
2020-02-25,30,19,0.0,11.6,7,8,07:55 AM,08:03 PM,06:29 AM,06:14 PM,19,25,25,24,10,13,76,0.0,1011,30,10,264,7,Israel
2020-02-26,27,20,0.0,5.9,5,15,08:30 AM,08:50 PM,06:28 AM,06:14 PM,21,25,25,23,16,86,89,26.3,1015,27,8,268,9,Israel
2020-02-27,18,11,0.0,5.9,4,23,09:04 AM,09:37 PM,06:28 AM,06:14 PM,17,17,17,17,19,100,97,87.5,1022,18,7,258,12,Israel
2020-02-28,22,15,0.0,5.9,5,30,09:40 AM,10:25 PM,06:27 AM,06:14 PM,17,19,20,19,6,82,86,0.4,1022,22,9,140,4,Israel
2020-02-29,22,16,0.0,10.2,4,38,10:17 AM,11:14 PM,06:26 AM,06:15 PM,15,18,19,18,9,69,79,0.8,1024,22,10,107,6,Israel
2020-03-01,29,16,0.0,11.6,6,44,10:57 AM,No moonset,06:26 AM,06:15 PM,16,23,23,22,19,16,73,0.0,1018,29,10,109,11,Israel
2020-03-02,31,17,0.0,11.6,7,51,11:40 AM,12:06 AM,06:25 AM,06:15 PM,18,26,26,24,19,0,72,0.0,1012,31,10,109,11,Israel
2020-03-03,34,20,0.0,11.6,7,58,12:28 PM,01:00 AM,06:24 AM,06:16 PM,19,29,29,27,14,1,69,0.0,1010,34,10,117,8,Israel
2020-03-04,34,21,0.0,11.6,7,65,01:22 PM,01:56 AM,06:24 AM,06:16 PM,20,30,30,27,11,6,69,0.0,1010,34,10,143,6,Israel
2020-03-05,28,23,0.0,7.4,6,73,02:20 PM,02:53 AM,06:23 AM,06:16 PM,21,28,28,25,23,71,80,4.3,1015,28,7,266,16,Israel
2020-03-06,19,18,0.0,6.0,4,80,03:23 PM,03:50 AM,06:22 AM,06:16 PM,18,19,19,19,21,99,94,18.9,1023,19,7,265,13,Israel
2020-03-07,22,18,0.0,6.0,5,87,04:26 PM,04:44 AM,06:22 AM,06:16 PM,18,20,21,20,7,92,88,1.5,1022,22,9,237,4,Israel
2020-03-08,26,19,0.0,7.4,5,95,05:30 PM,05:37 AM,06:21 AM,06:17 PM,18,23,23,22,9,77,81,1.0,1020,26,10,143,6,Israel
2020-03-09,28,19,0.0,11.6,5,100,06:33 PM,06:26 AM,06:20 AM,06:17 PM,18,23,23,23,15,46,75,0.1,1020,28,10,97,10,Israel
2020-03-10,30,18,0.0,11.6,6,100,07:36 PM,07:13 AM,06:19 AM,06:17 PM,18,26,26,24,13,25,74,0.0,1020,30,9,117,9,Israel
2020-03-11,30,18,0.0,11.6,7,84,08:37 PM,07:59 AM,06:19 AM,06:17 PM,18,25,25,23,9,34,74,0.1,1018,30,10,172,5,Israel
2020-03-12,32,19,0.0,11.6,6,76,09:38 PM,08:44 AM,06:18 AM,06:18 PM,19,27,27,26,10,31,74,0.0,1013,32,7,143,7,Israel
2020-03-13,33,19,0.0,11.6,7,69,10:39 PM,09:31 AM,06:17 AM,06:18 PM,18,27,27,25,13,10,67,0.0,1013,33,10,108,8,Israel
2020-03-14,33,21,0.0,11.6,7,62,11:39 PM,10:19 AM,06:16 AM,06:18 PM,18,28,28,26,20,7,64,0.0,1016,33,10,99,13,Israel
2020-03-15,34,20,0.0,11.6,7,55,No moonrise,11:10 AM,06:16 AM,06:18 PM,17,28,28,27,18,13,59,0.0,1017,34,10,97,12,Israel
2020-03-16,34,20,0.0,11.6,7,47,12:37 AM,12:02 PM,06:15 AM,06:18 PM,17,28,28,27,16,25,61,0.0,1016,34,10,105,11,Israel
2020-03-17,34,19,0.0,11.6,7,40,01:34 AM,12:56 PM,06:14 AM,06:19 PM,17,28,28,27,18,21,61,0.0,1016,34,10,97,12,Israel
2020-03-18,35,19,0.0,11.6,7,33,02:26 AM,01:50 PM,06:13 AM,06:19 PM,17,28,28,27,19,8,58,0.0,1015,35,10,116,13,Israel
2020-03-19,36,22,0.0,11.6,7,25,03:16 AM,02:42 PM,06:13 AM,06:19 PM,18,30,30,28,24,6,56,0.0,1015,36,10,114,16,Israel
2020-03-20,36,22,0.0,11.6,8,18,04:00 AM,03:35 PM,06:12 AM,06:19 PM,18,31,31,29,24,6,57,0.0,1016,36,10,106,15,Israel
2020-03-21,36,21,0.0,11.6,7,11,04:41 AM,04:24 PM,06:11 AM,06:19 PM,17,29,29,28,19,18,56,0.0,1017,36,10,98,13,Israel
2020-03-22,35,19,0.0,11.6,6,4,05:20 AM,05:13 PM,06:10 AM,06:20 PM,17,28,28,27,16,39,63,1.7,1017,35,10,103,12,Israel
2020-03-23,36,20,0.0,11.6,8,0,05:56 AM,06:00 PM,06:09 AM,06:20 PM,16,29,29,28,18,14,54,0.0,1017,36,10,128,13,Israel
2020-03-24,38,19,0.0,11.6,8,0,06:30 AM,06:47 PM,06:09 AM,06:20 PM,14,29,29,28,18,2,49,0.0,1015,38,10,117,11,Israel
2020-03-25,39,20,0.0,11.6,8,3,07:05 AM,07:34 PM,06:08 AM,06:20 PM,15,31,31,30,14,5,50,0.0,1012,39,10,119,9,Israel
2020-03-26,39,20,0.0,11.6,8,11,07:40 AM,08:21 PM,06:07 AM,06:20 PM,14,31,31,30,14,2,45,0.0,1011,39,10,114,10,Israel
2020-03-27,40,20,0.0,11.6,8,18,08:16 AM,09:10 PM,06:06 AM,06:20 PM,14,31,31,30,17,2,44,0.0,1010,40,10,125,12,Israel
2020-03-28,39,22,0.0,11.6,8,25,08:55 AM,10:01 PM,06:06 AM,06:21 PM,17,33,33,31,22,4,50,0.0,1009,39,10,112,15,Israel
2020-03-29,39,22,0.0,11.6,8,32,09:37 AM,10:53 PM,06:05 AM,06:21 PM,16,32,32,31,22,2,49,0.0,1011,39,10,126,14,Israel
2020-03-30,38,21,0.0,11.6,8,40,10:22 AM,11:48 PM,06:04 AM,06:21 PM,16,31,31,30,15,21,52,0.0,1012,38,10,157,10,Israel
2020-03-31,37,21,0.0,10.2,8,44,11:13 AM,No moonset,06:03 AM,06:21 PM,17,31,31,30,11,30,53,0.0,1011,37,10,174,8,Israel
2020-04-01,35,22,0.0,11.6,6,56,12:07 PM,12:42 AM,06:03 AM,06:21 PM,19,30,30,28,12,56,64,4.6,1012,35,10,276,8,Israel
2020-04-02,38,21,0.0,11.6,8,64,01:06 PM,01:38 AM,06:02 AM,06:22 PM,19,32,32,29,11,38,61,3.0,1011,38,10,157,7,Israel
2020-04-03,40,22,0.0,11.6,8,71,02:07 PM,02:31 AM,06:01 AM,06:22 PM,17,32,32,31,17,21,53,1.3,1010,40,10,150,11,Israel
2020-04-04,41,22,0.0,12.2,8,79,03:09 PM,03:24 AM,06:00 AM,06:22 PM,13,33,33,32,15,6,39,0.0,1009,41,10,117,10,Israel
2020-04-05,40,22,0.0,12.2,8,87,04:11 PM,04:12 AM,06:00 AM,06:22 PM,14,33,33,32,14,5,42,0.0,1010,40,10,118,10,Israel
2020-04-06,40,22,0.0,12.6,8,94,05:14 PM,05:00 AM,05:59 AM,06:22 PM,17,32,32,31,12,8,53,0.0,1013,40,10,164,8,Israel
2020-04-07,40,22,0.0,12.6,8,100,06:16 PM,05:46 AM,05:58 AM,06:22 PM,15,32,32,31,18,1,45,0.0,1013,40,10,129,13,Israel
2020-04-08,42,22,0.0,12.7,8,100,07:18 PM,06:32 AM,05:57 AM,06:23 PM,14,34,34,32,16,1,41,0.0,1012,42,10,151,12,Israel
2020-04-09,42,23,0.0,12.7,8,83,08:20 PM,07:19 AM,05:57 AM,06:23 PM,14,34,34,33,15,3,40,0.0,1010,42,10,138,11,Israel
2020-04-10,42,23,0.0,12.7,9,76,09:24 PM,08:08 AM,05:56 AM,06:23 PM,13,35,35,33,12,3,39,0.0,1009,42,10,140,8,Israel
2020-04-11,42,23,0.0,12.7,8,68,10:25 PM,08:59 AM,05:55 AM,06:23 PM,16,34,34,33,17,7,46,0.0,1009,42,10,157,12,Israel
2020-04-12,44,23,0.0,12.7,9,61,11:25 PM,09:53 AM,05:54 AM,06:23 PM,13,36,36,34,14,5,34,0.0,1008,44,10,99,9,Israel
2020-04-13,41,25,0.0,12.7,9,53,No moonrise,10:48 AM,05:54 AM,06:24 PM,17,35,35,33,16,14,42,0.0,1011,41,10,231,11,Israel
2020-04-14,40,25,0.0,12.7,8,46,12:21 AM,11:43 AM,05:53 AM,06:24 PM,18,34,34,33,11,25,49,0.0,1012,40,10,132,8,Israel
2020-04-15,37,24,0.0,12.7,8,38,01:13 AM,12:37 PM,05:52 AM,06:24 PM,20,33,33,30,14,37,61,7.1,1012,37,9,267,9,Israel
2020-04-16,37,24,0.0,12.7,7,30,01:59 AM,01:31 PM,05:52 AM,06:24 PM,21,33,33,29,8,43,68,21.2,1013,37,8,201,5,Israel
2020-04-17,38,23,0.0,12.7,8,23,02:42 AM,02:21 PM,05:51 AM,06:25 PM,18,32,32,30,11,8,56,0.0,1013,38,10,161,7,Israel
2020-04-18,39,23,0.0,12.8,8,15,03:21 AM,03:10 PM,05:50 AM,06:25 PM,15,32,32,31,10,7,43,0.0,1012,39,10,197,5,Israel
2020-04-19,38,23,0.0,12.8,8,8,03:57 AM,03:58 PM,05:50 AM,06:25 PM,16,32,32,31,10,9,45,0.0,1010,38,10,239,6,Israel
2020-04-20,40,25,0.0,12.8,8,0,04:32 AM,04:44 PM,05:49 AM,06:25 PM,17,34,34,32,8,7,43,0.0,1009,40,10,254,5,Israel
2020-04-21,40,25,0.0,12.8,8,0,05:07 AM,05:31 PM,05:48 AM,06:25 PM,17,34,34,32,7,14,45,0.0,1010,40,10,111,5,Israel
2020-04-22,42,24,0.0,12.8,8,0,05:41 AM,06:18 PM,05:48 AM,06:26 PM,15,34,34,33,14,5,43,0.0,1010,42,10,125,9,Israel
2020-04-23,42,25,0.0,12.8,9,0,06:17 AM,07:07 PM,05:47 AM,06:26 PM,16,35,35,34,16,21,40,1.0,1008,42,10,136,9,Israel
2020-04-24,41,26,0.0,12.8,9,7,06:55 AM,07:57 PM,05:47 AM,06:26 PM,18,36,36,34,14,27,48,2.7,1009,41,10,132,10,Israel
2020-04-25,40,25,0.0,12.8,7,15,07:36 AM,08:49 PM,05:46 AM,06:27 PM,19,35,35,33,10,36,52,1.5,1010,40,10,122,7,Israel
2020-04-26,36,25,0.0,12.8,7,22,08:20 AM,09:44 PM,05:45 AM,06:27 PM,21,34,34,31,16,55,66,16.3,1013,36,9,258,11,Israel
2020-04-27,36,24,0.0,12.8,7,30,09:09 AM,10:38 PM,05:45 AM,06:27 PM,19,32,32,30,7,40,62,19.7,1015,36,9,195,5,Israel
2020-04-28,39,23,0.0,12.8,8,37,10:02 AM,11:33 PM,05:44 AM,06:27 PM,15,32,32,30,17,19,47,0.3,1014,39,10,129,11,Israel
2020-04-29,37,23,0.0,12.8,8,45,10:58 AM,No moonset,05:44 AM,06:28 PM,17,31,31,30,11,11,49,0.0,1011,37,10,130,6,Israel
2020-04-30,34,24,0.0,12.9,7,52,11:56 AM,12:25 AM,05:43 AM,06:28 PM,20,31,31,29,13,34,64,8.5,1013,34,10,249,10,Israel
2020-05-01,30,22,0.0,8.0,6,58,12:56 PM,01:16 AM,05:43 AM,06:28 PM,22,29,29,26,12,73,79,37.3,1015,30,7,266,7,Israel
2020-05-02,34,22,0.0,11.9,6,65,01:56 PM,02:05 AM,05:42 AM,06:28 PM,21,30,30,27,10,55,71,1.8,1015,34,10,131,7,Israel
2020-05-03,35,24,0.0,12.9,8,72,02:56 PM,02:51 AM,05:42 AM,06:29 PM,19,31,31,29,10,25,58,0.4,1013,35,10,125,7,Israel
2020-05-04,37,24,0.0,12.9,8,80,03:57 PM,03:36 AM,05:41 AM,06:29 PM,18,32,32,30,10,16,51,0.0,1011,37,10,115,7,Israel
2020-05-05,37,24,0.0,12.9,8,87,04:57 PM,04:20 AM,05:41 AM,06:29 PM,18,32,32,30,8,17,51,0.0,1010,37,10,168,5,Israel
2020-05-06,36,24,0.0,12.9,7,94,05:59 PM,05:06 AM,05:40 AM,06:30 PM,20,32,32,30,11,50,60,3.6,1012,36,9,113,7,Israel
2020-05-07,31,22,0.0,8.1,6,100,07:03 PM,05:53 AM,05:40 AM,06:30 PM,22,29,29,26,14,80,79,37.1,1015,31,7,137,9,Israel
2020-05-08,36,23,0.0,12.9,7,100,08:06 PM,06:44 AM,05:39 AM,06:30 PM,21,31,31,28,11,50,66,0.9,1013,36,10,105,8,Israel
2020-05-09,35,24,0.0,11.9,7,84,09:09 PM,07:38 AM,05:39 AM,06:31 PM,22,32,32,29,12,40,68,5.4,1012,35,9,208,7,Israel
2020-05-10,32,23,0.0,8.1,6,77,10:09 PM,08:33 AM,05:39 AM,06:31 PM,23,30,30,27,16,80,80,54.2,1015,32,7,272,9,Israel
2020-05-11,32,22,0.0,10.6,6,70,11:04 PM,09:31 AM,05:38 AM,06:31 PM,22,30,30,27,16,71,79,23.0,1015,32,8,287,10,Israel
2020-05-12,33,22,0.0,12.9,7,62,11:54 PM,10:27 AM,05:38 AM,06:32 PM,21,30,30,27,5,41,73,7.4,1015,33,10,156,3,Israel
2020-05-13,36,23,0.0,12.9,8,55,No moonrise,11:23 AM,05:38 AM,06:32 PM,20,32,32,29,7,18,63,0.0,1012,36,10,182,4,Israel
2020-05-14,37,24,0.0,13.0,8,48,12:39 AM,12:15 PM,05:37 AM,06:32 PM,21,33,33,30,9,21,60,0.0,1011,37,10,139,6,Israel
2020-05-15,38,24,0.0,13.0,8,40,01:20 AM,01:05 PM,05:37 AM,06:33 PM,20,34,34,31,7,21,59,0.6,1010,38,10,137,4,Israel
2020-05-16,38,24,0.0,13.0,8,33,01:58 AM,01:54 PM,05:37 AM,06:33 PM,20,34,34,31,10,24,58,1.2,1008,38,10,128,6,Israel
2020-05-17,39,24,0.0,13.0,8,26,02:33 AM,02:40 PM,05:36 AM,06:33 PM,21,34,34,31,10,26,61,3.5,1009,39,10,114,6,Israel
2020-05-18,34,23,0.0,13.0,7,19,03:07 AM,03:28 PM,05:36 AM,06:34 PM,19,31,31,28,16,35,63,4.0,1012,34,10,263,9,Israel
2020-05-19,36,23,0.0,13.0,7,11,03:42 AM,04:14 PM,05:36 AM,06:34 PM,21,33,33,29,9,51,68,5.8,1012,36,9,121,6,Israel
2020-05-20,37,23,0.0,13.0,8,4,04:17 AM,05:03 PM,05:36 AM,06:34 PM,21,33,33,30,9,32,66,3.7,1010,37,9,117,5,Israel
2020-05-21,38,23,0.0,13.0,8,0,04:54 AM,05:53 PM,05:35 AM,06:35 PM,21,34,34,30,11,25,62,2.2,1009,38,10,107,7,Israel
2020-05-22,38,23,0.0,13.0,8,0,05:34 AM,06:44 PM,05:35 AM,06:35 PM,21,33,33,30,14,25,63,1.6,1010,38,10,166,8,Israel
2020-05-23,38,24,0.0,13.0,8,3,06:17 AM,07:39 PM,05:35 AM,06:36 PM,20,34,34,31,13,28,59,1.0,1010,38,10,119,8,Israel
2020-05-24,38,22,0.0,13.0,8,10,07:06 AM,08:34 PM,05:35 AM,06:36 PM,19,33,33,30,11,27,59,4.4,1009,38,10,263,7,Israel
2020-05-25,40,24,0.0,13.0,8,17,07:58 AM,09:29 PM,05:35 AM,06:36 PM,18,34,34,32,12,31,52,2.5,1007,40,10,179,7,Israel
2020-05-26,42,24,0.0,13.0,9,25,08:53 AM,10:23 PM,05:34 AM,06:37 PM,18,35,35,33,16,35,50,4.3,1008,42,10,142,9,Israel
2020-05-27,38,22,0.0,13.0,8,32,09:51 AM,11:14 PM,05:34 AM,06:37 PM,19,32,32,30,11,27,58,3.0,1011,38,10,196,7,Israel
2020-05-28,36,24,0.0,13.0,7,39,10:50 AM,No moonset,05:34 AM,06:37 PM,21,33,33,30,14,43,68,18.4,1011,36,8,155,9,Israel
2020-05-29,35,23,0.0,13.0,8,47,11:49 AM,12:02 AM,05:34 AM,06:38 PM,20,31,31,29,14,37,63,4.9,1012,35,10,122,9,Israel
2020-05-30,29,23,0.0,10.7,6,54,12:47 PM,12:48 AM,05:34 AM,06:38 PM,21,28,28,26,10,66,78,12.8,1012,29,9,118,6,Israel
2020-05-31,27,22,0.0,9.4,5,58,01:45 PM,01:32 AM,05:34 AM,06:38 PM,21,26,26,24,16,82,85,4.5,1012,27,10,109,11,Israel
2020-06-01,28,22,0.0,8.2,6,71,02:43 PM,02:14 AM,05:34 AM,06:39 PM,23,28,28,24,6,86,91,16.9,1011,28,8,244,4,Israel
2020-06-02,28,23,0.0,8.2,6,79,03:43 PM,02:58 AM,05:34 AM,06:39 PM,23,28,28,25,7,74,91,16.6,1009,28,6,178,4,Israel
2020-06-03,29,22,0.0,8.2,6,86,04:44 PM,03:43 AM,05:34 AM,06:39 PM,23,29,29,25,6,84,90,53.3,1006,29,5,146,3,Israel
2020-06-04,28,22,0.0,8.2,6,94,05:47 PM,04:31 AM,05:34 AM,06:40 PM,23,28,28,25,24,83,93,44.2,1006,28,6,294,13,Israel
2020-06-05,28,23,0.0,8.2,6,100,06:50 PM,05:22 AM,05:34 AM,06:40 PM,23,28,28,25,28,80,89,14.6,1007,28,9,268,16,Israel
2020-06-06,30,22,0.0,10.7,6,100,07:52 PM,06:17 AM,05:34 AM,06:40 PM,23,29,29,26,17,71,84,7.1,1010,30,9,269,11,Israel
2020-06-07,32,23,0.0,12.0,6,84,08:50 PM,07:15 AM,05:34 AM,06:41 PM,23,30,30,26,9,54,84,11.0,1010,32,9,143,6,Israel
2020-06-08,33,23,0.0,13.1,6,76,09:44 PM,08:13 AM,05:34 AM,06:41 PM,24,33,33,28,6,55,80,4.0,1009,33,10,154,4,Israel
2020-06-09,34,24,0.0,13.1,7,69,10:32 PM,09:10 AM,05:34 AM,06:41 PM,25,35,35,29,6,46,81,8.0,1009,34,9,98,4,Israel
