date_time,Dominica_maxtempC,Dominica_mintempC,Dominica_totalSnow_cm,Dominica_sunHour,Dominica_uvIndex,Dominica_moon_illumination,Dominica_moonrise,Dominica_moonset,Dominica_sunrise,Dominica_sunset,Dominica_DewPointC,Dominica_FeelsLikeC,Dominica_HeatIndexC,Dominica_WindChillC,Dominica_WindGustKmph,Dominica_cloudcover,Dominica_humidity,Dominica_precipMM,Dominica_pressure,Dominica_tempC,Dominica_visibility,Dominica_winddirDegree,Dominica_windspeedKmph,Dominica_location
2020-01-11,27,26,0.0,4.2,6,100,06:56 PM,07:17 AM,06:35 AM,05:52 PM,21,28,28,26,50,80,74,3.5,1017,27,9,71,39,Dominica
2020-01-12,26,24,0.0,4.2,6,83,07:59 PM,08:12 AM,06:35 AM,05:53 PM,21,28,28,26,49,75,75,5.7,1018,26,9,75,38,Dominica
2020-01-13,26,21,0.0,4.2,6,76,09:00 PM,09:05 AM,06:35 AM,05:53 PM,20,26,26,25,50,80,74,7.9,1017,26,9,74,37,Dominica
2020-01-14,26,22,0.0,5.7,6,69,09:59 PM,09:53 AM,06:35 AM,05:54 PM,21,27,27,25,41,70,77,9.4,1016,26,10,80,31,Dominica
2020-01-15,26,22,0.0,4.2,6,61,10:57 PM,10:38 AM,06:35 AM,05:55 PM,21,27,27,25,32,76,78,4.2,1015,26,10,77,25,Dominica
2020-01-16,26,25,0.0,7.2,6,54,11:53 PM,11:22 AM,06:35 AM,05:55 PM,21,27,27,25,24,68,77,4.3,1016,26,9,67,19,Dominica
2020-01-17,26,25,0.0,5.7,6,47,No moonrise,12:05 PM,06:35 AM,05:56 PM,21,28,28,25,23,70,77,2.1,1016,26,10,72,18,Dominica
2020-01-18,26,25,0.0,4.2,6,40,12:49 AM,12:49 PM,06:36 AM,05:56 PM,20,27,27,25,26,60,76,3.5,1017,26,9,57,20,Dominica
2020-01-19,26,20,0.0,4.2,5,32,01:46 AM,01:35 PM,06:36 AM,05:57 PM,21,26,26,24,40,66,77,4.1,1016,26,10,74,30,Dominica
2020-01-20,26,24,0.0,4.2,6,25,02:42 AM,02:23 PM,06:36 AM,05:57 PM,21,27,27,25,32,70,76,1.8,1016,26,10,85,24,Dominica
2020-01-21,26,25,0.0,4.2,6,18,03:40 AM,03:14 PM,06:36 AM,05:58 PM,21,27,27,25,27,75,77,3.4,1014,26,9,89,21,Dominica
2020-01-22,26,24,0.0,4.2,6,11,04:36 AM,04:07 PM,06:36 AM,05:58 PM,21,27,27,25,26,73,80,4.9,1013,26,9,93,20,Dominica
2020-01-23,26,24,0.0,7.2,6,3,05:31 AM,05:01 PM,06:36 AM,05:59 PM,20,27,27,25,20,51,76,0.3,1013,26,10,96,16,Dominica
2020-01-24,26,24,0.0,11.6,7,0,06:23 AM,05:55 PM,06:36 AM,06:00 PM,20,27,27,25,17,11,73,0.0,1014,26,10,91,13,Dominica
2020-01-25,26,24,0.0,11.6,7,0,07:11 AM,06:48 PM,06:36 AM,06:00 PM,20,27,27,25,16,6,72,0.0,1015,26,10,91,12,Dominica
2020-01-26,26,24,0.0,11.6,7,4,07:55 AM,07:39 PM,06:36 AM,06:01 PM,20,27,27,25,15,13,72,0.0,1014,26,10,95,12,Dominica
2020-01-27,26,24,0.0,11.6,7,11,08:35 AM,08:28 PM,06:35 AM,06:01 PM,19,27,27,25,19,4,69,0.0,1015,26,10,99,15,Dominica
2020-01-28,26,24,0.0,8.7,6,18,09:14 AM,09:15 PM,06:35 AM,06:02 PM,21,27,27,25,20,42,76,0.3,1014,26,10,100,16,Dominica
2020-01-29,27,25,0.0,10.2,6,26,09:50 AM,10:02 PM,06:35 AM,06:02 PM,21,28,28,26,17,39,76,0.7,1014,27,10,100,13,Dominica
2020-01-30,27,24,0.0,7.3,6,33,10:25 AM,10:48 PM,06:35 AM,06:03 PM,21,27,27,25,21,50,78,1.0,1015,27,10,92,16,Dominica
2020-01-31,27,24,0.0,11.6,6,37,11:00 AM,11:35 PM,06:35 AM,06:03 PM,21,27,27,25,22,42,76,0.4,1016,27,10,84,16,Dominica
2020-02-01,26,25,0.0,5.8,6,49,11:37 AM,No moonset,06:35 AM,06:03 PM,21,27,27,25,27,77,78,2.0,1016,26,9,77,20,Dominica
2020-02-02,26,24,0.0,5.9,6,57,12:16 PM,12:22 AM,06:34 AM,06:04 PM,20,27,27,25,27,73,76,2.0,1016,26,10,99,20,Dominica
2020-02-03,26,24,0.0,11.6,6,64,12:58 PM,01:13 AM,06:34 AM,06:04 PM,20,27,27,25,23,16,74,0.1,1017,26,10,91,17,Dominica
2020-02-04,26,24,0.0,5.9,6,72,01:45 PM,02:06 AM,06:34 AM,06:05 PM,20,27,27,25,28,66,74,1.1,1017,26,10,79,22,Dominica
2020-02-05,26,25,0.0,8.7,6,79,02:37 PM,03:02 AM,06:34 AM,06:05 PM,21,27,27,25,29,65,76,1.5,1017,26,10,84,23,Dominica
2020-02-06,26,25,0.0,7.3,6,87,03:35 PM,04:00 AM,06:33 AM,06:06 PM,21,28,28,26,36,71,77,7.9,1017,26,10,89,28,Dominica
2020-02-07,27,22,0.0,5.9,6,95,04:36 PM,04:59 AM,06:33 AM,06:06 PM,21,28,28,25,43,79,74,1.6,1017,27,10,88,34,Dominica
2020-02-08,26,25,0.0,5.9,6,100,05:40 PM,05:57 AM,06:33 AM,06:07 PM,21,27,27,25,32,68,76,5.6,1017,26,10,78,25,Dominica
2020-02-09,26,25,0.0,5.9,6,100,06:43 PM,06:51 AM,06:33 AM,06:07 PM,21,27,27,25,34,69,77,8.7,1017,26,9,82,25,Dominica
2020-02-10,26,25,0.0,5.9,6,83,07:45 PM,07:43 AM,06:32 AM,06:07 PM,21,27,27,25,34,77,75,2.0,1018,26,9,83,27,Dominica
2020-02-11,26,25,0.0,5.9,6,75,08:46 PM,08:31 AM,06:32 AM,06:08 PM,21,27,27,25,34,79,76,6.4,1017,26,9,80,25,Dominica
2020-02-12,26,23,0.0,5.9,6,68,09:45 PM,09:18 AM,06:31 AM,06:08 PM,21,27,27,25,34,77,76,2.2,1017,26,10,73,26,Dominica
2020-02-13,26,24,0.0,8.7,6,60,10:43 PM,10:02 AM,06:31 AM,06:08 PM,20,27,27,25,41,64,75,2.1,1016,26,10,77,30,Dominica
2020-02-14,26,22,0.0,5.9,6,53,11:41 PM,10:47 AM,06:31 AM,06:09 PM,21,27,27,25,40,75,77,5.3,1016,26,9,84,29,Dominica
2020-02-15,26,25,0.0,8.7,6,45,No moonrise,11:33 AM,06:30 AM,06:09 PM,21,28,28,26,37,57,75,1.0,1016,26,10,84,27,Dominica
2020-02-16,26,23,0.0,5.9,6,38,12:38 AM,12:21 PM,06:30 AM,06:09 PM,21,28,28,25,29,72,78,3.5,1014,26,9,86,22,Dominica
2020-02-17,26,25,0.0,5.9,6,30,01:36 AM,01:11 PM,06:29 AM,06:10 PM,21,28,28,25,35,77,78,4.3,1014,26,10,80,26,Dominica
2020-02-18,26,25,0.0,8.8,6,22,02:32 AM,02:03 PM,06:29 AM,06:10 PM,21,27,27,25,38,68,78,3.2,1016,26,9,76,29,Dominica
2020-02-19,26,21,0.0,7.3,6,15,03:27 AM,02:56 PM,06:28 AM,06:10 PM,21,27,27,24,35,73,78,5.4,1016,26,10,84,26,Dominica
2020-02-20,26,25,0.0,5.9,6,7,04:18 AM,03:49 PM,06:28 AM,06:11 PM,20,27,27,25,34,76,74,2.2,1015,26,9,76,27,Dominica
2020-02-21,26,24,0.0,8.8,6,0,05:07 AM,04:42 PM,06:27 AM,06:11 PM,20,27,27,25,26,59,75,1.9,1014,26,9,79,20,Dominica
2020-02-22,26,24,0.0,11.6,6,0,05:52 AM,05:33 PM,06:27 AM,06:11 PM,20,27,27,25,15,37,74,1.3,1015,26,10,82,12,Dominica
2020-02-23,26,24,0.0,11.6,6,0,06:33 AM,06:22 PM,06:26 AM,06:12 PM,20,27,27,25,13,22,72,0.4,1015,26,10,76,10,Dominica
2020-02-24,26,25,0.0,5.9,6,0,07:12 AM,07:11 PM,06:26 AM,06:12 PM,22,28,28,26,15,74,78,12.6,1014,26,9,121,11,Dominica
2020-02-25,26,25,0.0,11.6,6,8,07:49 AM,07:57 PM,06:25 AM,06:12 PM,21,27,27,25,23,62,78,4.5,1015,26,10,94,18,Dominica
2020-02-26,26,24,0.0,8.8,6,15,08:24 AM,08:43 PM,06:25 AM,06:12 PM,21,27,27,25,23,54,76,1.9,1015,26,10,83,17,Dominica
2020-02-27,26,24,0.0,5.9,5,23,08:59 AM,09:30 PM,06:24 AM,06:13 PM,20,26,26,25,21,66,77,3.1,1015,26,10,77,15,Dominica
2020-02-28,26,24,0.0,11.6,6,30,09:35 AM,10:16 PM,06:23 AM,06:13 PM,20,27,27,25,20,41,74,1.0,1015,26,10,74,15,Dominica
2020-02-29,26,24,0.0,6.0,6,38,10:12 AM,11:05 PM,06:23 AM,06:13 PM,20,27,27,25,22,75,75,1.9,1017,26,10,85,17,Dominica
2020-03-01,26,24,0.0,11.6,6,44,10:53 AM,11:56 PM,06:22 AM,06:13 PM,20,27,27,25,18,54,72,1.1,1016,26,10,81,14,Dominica
2020-03-02,26,24,0.0,6.0,6,51,11:37 AM,No moonset,06:22 AM,06:13 PM,20,27,27,25,20,73,72,2.7,1015,26,10,66,16,Dominica
2020-03-03,26,25,0.0,8.8,6,58,12:25 PM,12:49 AM,06:21 AM,06:14 PM,20,27,27,25,25,66,75,2.5,1016,26,10,68,19,Dominica
2020-03-04,26,24,0.0,8.8,6,65,01:18 PM,01:45 AM,06:20 AM,06:14 PM,21,27,27,25,27,67,76,5.5,1017,26,10,82,19,Dominica
2020-03-05,26,25,0.0,6.0,6,73,02:16 PM,02:42 AM,06:20 AM,06:14 PM,20,27,27,25,32,77,73,1.7,1018,26,10,87,25,Dominica
2020-03-06,26,25,0.0,6.0,6,80,03:18 PM,03:39 AM,06:19 AM,06:14 PM,20,27,27,25,31,75,75,3.2,1017,26,10,91,24,Dominica
2020-03-07,26,25,0.0,8.8,6,87,04:20 PM,04:34 AM,06:18 AM,06:14 PM,20,27,27,25,29,65,75,2.7,1015,26,10,91,22,Dominica
2020-03-08,26,24,0.0,11.6,7,95,05:24 PM,05:28 AM,06:18 AM,06:15 PM,19,26,26,25,21,5,72,0.0,1016,26,10,79,16,Dominica
2020-03-09,26,24,0.0,6.0,6,100,06:26 PM,06:18 AM,06:17 AM,06:15 PM,20,27,27,25,25,80,73,2.4,1017,26,9,63,20,Dominica
2020-03-10,26,24,0.0,8.8,6,100,07:28 PM,07:06 AM,06:16 AM,06:15 PM,21,27,27,25,37,68,77,5.9,1017,26,10,74,27,Dominica
2020-03-11,26,23,0.0,10.2,6,84,08:28 PM,07:53 AM,06:16 AM,06:15 PM,20,27,27,25,28,43,73,0.8,1014,26,10,82,21,Dominica
2020-03-12,26,24,0.0,6.0,6,76,09:29 PM,08:39 AM,06:15 AM,06:15 PM,20,27,27,25,26,76,76,1.8,1013,26,9,92,19,Dominica
2020-03-13,26,24,0.0,11.6,6,69,10:28 PM,09:27 AM,06:14 AM,06:15 PM,21,27,27,25,26,61,76,2.5,1014,26,10,87,20,Dominica
2020-03-14,26,24,0.0,6.0,6,62,11:28 PM,10:15 AM,06:14 AM,06:16 PM,20,27,27,25,15,76,75,3.5,1015,26,9,68,11,Dominica
2020-03-15,26,25,0.0,6.0,6,55,No moonrise,11:06 AM,06:13 AM,06:16 PM,20,27,27,25,11,80,74,4.1,1014,26,9,73,9,Dominica
2020-03-16,26,24,0.0,11.6,7,47,12:26 AM,11:59 AM,06:12 AM,06:16 PM,18,27,27,25,10,17,66,0.0,1014,26,10,55,8,Dominica
2020-03-17,26,24,0.0,6.0,6,40,01:23 AM,12:52 PM,06:11 AM,06:16 PM,20,27,27,25,12,83,71,2.7,1014,26,10,85,9,Dominica
2020-03-18,26,25,0.0,6.0,6,33,02:16 AM,01:46 PM,06:11 AM,06:16 PM,21,27,27,25,19,83,74,4.0,1016,26,9,77,15,Dominica
2020-03-19,27,25,0.0,6.0,6,25,03:06 AM,02:38 PM,06:10 AM,06:16 PM,21,28,28,26,23,75,75,2.0,1016,27,10,66,18,Dominica
2020-03-20,26,25,0.0,6.0,6,18,03:51 AM,03:30 PM,06:09 AM,06:16 PM,21,27,27,25,26,71,75,4.8,1016,26,10,53,20,Dominica
2020-03-21,26,22,0.0,6.0,6,11,04:33 AM,04:19 PM,06:09 AM,06:17 PM,21,27,27,25,26,72,77,3.9,1015,26,9,63,20,Dominica
2020-03-22,26,25,0.0,6.0,6,4,05:12 AM,05:08 PM,06:08 AM,06:17 PM,21,27,27,25,26,79,78,7.2,1016,26,10,76,20,Dominica
2020-03-23,26,22,0.0,6.1,6,0,05:49 AM,05:54 PM,06:07 AM,06:17 PM,21,27,27,25,27,74,76,2.6,1017,26,10,74,21,Dominica
2020-03-24,26,25,0.0,6.1,6,0,06:24 AM,06:40 PM,06:06 AM,06:17 PM,21,27,27,25,24,73,76,3.9,1016,26,9,75,19,Dominica
2020-03-25,26,25,0.0,6.1,6,3,07:00 AM,07:27 PM,06:06 AM,06:17 PM,20,27,27,25,23,77,75,1.8,1015,26,10,79,18,Dominica
2020-03-26,26,24,0.0,10.2,6,11,07:36 AM,08:13 PM,06:05 AM,06:17 PM,20,27,27,25,20,50,74,0.9,1013,26,10,80,16,Dominica
2020-03-27,26,24,0.0,6.1,6,18,08:12 AM,09:01 PM,06:04 AM,06:17 PM,20,27,27,25,17,59,74,0.7,1012,26,10,78,13,Dominica
2020-03-28,27,25,0.0,6.1,6,25,08:51 AM,09:51 PM,06:03 AM,06:17 PM,21,28,28,26,23,75,76,1.1,1013,27,10,71,18,Dominica
2020-03-29,26,25,0.0,10.2,6,32,09:33 AM,10:43 PM,06:03 AM,06:18 PM,21,27,27,25,27,48,75,1.6,1016,26,10,64,22,Dominica
2020-03-30,26,25,0.0,10.2,6,40,10:19 AM,11:37 PM,06:02 AM,06:18 PM,20,27,27,25,23,57,72,2.4,1015,26,10,56,18,Dominica
2020-03-31,26,24,0.0,8.8,6,44,11:09 AM,No moonset,06:01 AM,06:18 PM,20,27,27,25,18,58,71,1.5,1012,26,10,72,14,Dominica
2020-04-01,26,25,0.0,11.6,6,56,12:03 PM,12:31 AM,06:01 AM,06:18 PM,20,27,27,25,21,36,74,1.6,1012,26,10,83,17,Dominica
2020-04-02,26,24,0.0,11.7,6,64,01:01 PM,01:27 AM,06:00 AM,06:18 PM,21,27,27,25,23,58,78,1.5,1013,26,10,99,18,Dominica
2020-04-03,27,25,0.0,12.6,6,71,02:02 PM,02:21 AM,05:59 AM,06:18 PM,21,28,28,26,18,34,78,1.4,1013,27,10,127,14,Dominica
2020-04-04,27,26,0.0,9.2,6,79,03:04 PM,03:14 AM,05:59 AM,06:18 PM,23,29,29,26,16,73,80,0.8,1012,27,10,133,13,Dominica
2020-04-05,27,26,0.0,11.9,6,87,04:05 PM,04:04 AM,05:58 AM,06:18 PM,22,29,29,26,17,54,79,0.4,1014,27,10,110,14,Dominica
2020-04-06,27,26,0.0,12.6,7,94,05:07 PM,04:52 AM,05:57 AM,06:19 PM,22,29,29,26,18,27,78,0.0,1015,27,10,94,14,Dominica
2020-04-07,27,26,0.0,11.9,6,100,06:07 PM,05:39 AM,05:56 AM,06:19 PM,22,29,29,26,21,50,78,0.4,1015,27,10,92,16,Dominica
2020-04-08,27,25,0.0,12.6,7,100,07:09 PM,06:26 AM,05:56 AM,06:19 PM,21,28,28,26,22,13,74,0.0,1014,27,10,91,17,Dominica
2020-04-09,27,25,0.0,12.6,6,83,08:11 PM,07:14 AM,05:55 AM,06:19 PM,21,28,28,26,23,32,77,0.1,1013,27,10,102,18,Dominica
2020-04-10,27,25,0.0,12.7,7,76,09:13 PM,08:03 AM,05:54 AM,06:19 PM,21,28,28,26,23,10,75,0.0,1014,27,10,100,19,Dominica
2020-04-11,27,25,0.0,12.7,7,68,10:14 PM,08:55 AM,05:54 AM,06:19 PM,21,28,28,26,23,17,74,0.0,1015,27,10,96,18,Dominica
2020-04-12,27,26,0.0,12.7,6,61,11:14 PM,09:49 AM,05:53 AM,06:20 PM,21,28,28,26,22,45,73,0.3,1017,27,10,75,17,Dominica
2020-04-13,27,26,0.0,7.9,6,53,No moonrise,10:44 AM,05:52 AM,06:20 PM,22,29,29,26,23,79,76,1.9,1016,27,10,69,18,Dominica
2020-04-14,27,26,0.0,7.9,6,46,12:10 AM,11:39 AM,05:52 AM,06:20 PM,22,29,29,26,22,73,76,3.6,1015,27,10,70,17,Dominica
2020-04-15,27,26,0.0,7.9,6,38,01:02 AM,12:33 PM,05:51 AM,06:20 PM,21,29,29,26,23,80,75,2.6,1014,27,9,72,18,Dominica
2020-04-16,27,25,0.0,7.9,6,30,01:50 AM,01:26 PM,05:51 AM,06:20 PM,21,28,28,26,22,78,76,2.2,1016,27,9,80,18,Dominica
2020-04-17,27,25,0.0,11.9,6,23,02:33 AM,02:16 PM,05:50 AM,06:20 PM,22,28,28,26,21,67,76,1.6,1016,27,10,82,17,Dominica
2020-04-18,27,26,0.0,8.0,6,15,03:13 AM,03:05 PM,05:49 AM,06:21 PM,22,29,29,26,26,72,77,3.7,1016,27,10,83,20,Dominica
2020-04-19,27,26,0.0,10.6,6,8,03:50 AM,03:52 PM,05:49 AM,06:21 PM,22,28,28,26,27,72,76,4.3,1016,27,9,81,20,Dominica
2020-04-20,27,24,0.0,12.7,6,0,04:26 AM,04:38 PM,05:48 AM,06:21 PM,20,28,28,26,27,51,73,0.6,1016,27,10,79,21,Dominica
2020-04-21,27,25,0.0,9.3,6,0,05:01 AM,05:24 PM,05:47 AM,06:21 PM,22,28,28,26,29,69,76,0.8,1016,27,10,92,23,Dominica
2020-04-22,27,26,0.0,9.3,6,0,05:36 AM,06:10 PM,05:47 AM,06:21 PM,22,29,29,26,26,58,77,1.6,1015,27,10,87,21,Dominica
2020-04-23,27,26,0.0,12.8,6,0,06:12 AM,06:58 PM,05:46 AM,06:21 PM,22,29,29,26,26,38,76,2.9,1015,27,10,78,21,Dominica
2020-04-24,27,26,0.0,12.8,6,7,06:51 AM,07:48 PM,05:46 AM,06:22 PM,22,29,29,27,33,45,76,2.9,1015,27,10,76,26,Dominica
2020-04-25,27,26,0.0,9.3,6,15,07:32 AM,08:39 PM,05:45 AM,06:22 PM,22,29,29,26,33,67,75,2.6,1016,27,10,86,26,Dominica
2020-04-26,27,26,0.0,8.0,6,22,08:16 AM,09:33 PM,05:45 AM,06:22 PM,22,29,29,26,31,73,76,4.5,1016,27,10,79,24,Dominica
2020-04-27,27,22,0.0,11.9,6,30,09:05 AM,10:27 PM,05:44 AM,06:22 PM,21,28,28,26,30,58,75,1.9,1016,27,10,81,23,Dominica
2020-04-28,27,25,0.0,10.6,6,37,09:58 AM,11:22 PM,05:44 AM,06:23 PM,21,28,28,26,24,69,75,5.0,1016,27,9,84,18,Dominica
2020-04-29,27,25,0.0,10.6,6,45,10:54 AM,No moonset,05:43 AM,06:23 PM,22,28,28,26,26,70,77,3.8,1015,27,10,91,20,Dominica
2020-04-30,27,26,0.0,10.6,6,52,11:52 AM,12:15 AM,05:43 AM,06:23 PM,22,29,29,26,30,57,78,4.6,1015,27,10,93,23,Dominica
2020-05-01,27,25,0.0,8.0,6,58,12:51 PM,01:07 AM,05:42 AM,06:23 PM,22,28,28,26,31,75,78,3.8,1016,27,10,94,24,Dominica
2020-05-02,28,25,0.0,11.9,6,65,01:50 PM,01:56 AM,05:42 AM,06:24 PM,22,29,29,26,30,63,77,1.7,1016,28,10,95,22,Dominica
2020-05-03,28,26,0.0,8.0,6,72,02:49 PM,02:43 AM,05:41 AM,06:24 PM,23,30,30,27,27,80,80,3.2,1015,28,10,94,20,Dominica
2020-05-04,28,24,0.0,12.8,6,80,03:49 PM,03:29 AM,05:41 AM,06:24 PM,23,29,29,26,25,61,78,1.6,1014,28,10,91,20,Dominica
2020-05-05,27,26,0.0,10.6,6,87,04:49 PM,04:14 AM,05:40 AM,06:24 PM,22,29,29,27,28,67,77,0.8,1014,27,10,96,22,Dominica
2020-05-06,28,25,0.0,11.9,6,94,05:50 PM,05:00 AM,05:40 AM,06:25 PM,22,29,29,27,30,59,75,0.7,1016,28,10,93,24,Dominica
2020-05-07,27,25,0.0,12.9,6,100,06:52 PM,05:49 AM,05:40 AM,06:25 PM,22,29,29,26,33,51,76,0.3,1016,27,10,96,26,Dominica
2020-05-08,27,26,0.0,12.9,6,100,07:55 PM,06:39 AM,05:39 AM,06:25 PM,22,29,29,27,28,47,75,0.2,1017,27,10,93,22,Dominica
2020-05-09,27,26,0.0,11.9,6,84,08:58 PM,07:34 AM,05:39 AM,06:25 PM,21,29,29,26,28,57,75,1.0,1018,27,10,85,23,Dominica
2020-05-10,27,26,0.0,12.9,6,77,09:58 PM,08:29 AM,05:38 AM,06:26 PM,21,28,28,26,33,43,74,1.0,1017,27,10,85,26,Dominica
2020-05-11,27,25,0.0,9.3,6,70,10:53 PM,09:27 AM,05:38 AM,06:26 PM,22,29,29,26,31,67,78,3.9,1016,27,10,89,24,Dominica
2020-05-12,27,23,0.0,10.6,6,62,11:44 PM,10:23 AM,05:38 AM,06:26 PM,22,29,29,26,32,64,77,4.0,1015,27,10,96,25,Dominica
2020-05-13,27,26,0.0,10.6,6,55,No moonrise,11:18 AM,05:38 AM,06:27 PM,22,29,29,26,28,66,78,2.9,1015,27,10,89,22,Dominica
2020-05-14,27,25,0.0,12.9,6,48,12:30 AM,12:10 PM,05:37 AM,06:27 PM,21,28,28,26,23,46,74,0.4,1016,27,10,86,19,Dominica
2020-05-15,27,25,0.0,10.6,6,40,01:12 AM,01:00 PM,05:37 AM,06:27 PM,22,29,29,26,26,67,76,0.8,1016,27,10,87,20,Dominica
2020-05-16,28,22,0.0,10.6,6,33,01:50 AM,01:48 PM,05:37 AM,06:28 PM,23,29,29,26,31,68,78,2.2,1016,28,10,92,24,Dominica
2020-05-17,27,26,0.0,9.4,6,26,02:26 AM,02:34 PM,05:36 AM,06:28 PM,22,29,29,27,29,74,77,1.1,1016,27,10,90,22,Dominica
2020-05-18,27,26,0.0,10.6,6,19,03:02 AM,03:21 PM,05:36 AM,06:28 PM,22,29,29,26,25,67,77,1.5,1016,27,10,90,20,Dominica
2020-05-19,27,26,0.0,8.1,6,11,03:37 AM,04:07 PM,05:36 AM,06:28 PM,22,29,29,26,24,79,77,1.9,1015,27,10,91,19,Dominica
2020-05-20,28,23,0.0,9.4,6,4,04:12 AM,04:54 PM,05:36 AM,06:29 PM,23,30,30,26,22,70,82,1.6,1015,28,10,92,17,Dominica
2020-05-21,28,26,0.0,8.1,6,0,04:50 AM,05:44 PM,05:36 AM,06:29 PM,24,31,31,27,25,84,83,3.4,1015,28,10,102,19,Dominica
2020-05-22,28,26,0.0,12.9,6,0,05:30 AM,06:34 PM,05:35 AM,06:29 PM,23,30,30,27,24,45,79,0.4,1015,28,10,105,19,Dominica
2020-05-23,27,26,0.0,10.7,6,3,06:14 AM,07:28 PM,05:35 AM,06:30 PM,22,29,29,26,24,64,79,0.9,1015,27,10,99,19,Dominica
2020-05-24,28,26,0.0,8.1,6,10,07:02 AM,08:23 PM,05:35 AM,06:30 PM,23,30,30,27,20,79,79,1.5,1015,28,10,91,16,Dominica
2020-05-25,27,25,0.0,10.7,6,17,07:54 AM,09:18 PM,05:35 AM,06:30 PM,22,29,29,26,25,63,79,1.1,1015,27,10,101,19,Dominica
2020-05-26,28,26,0.0,13.0,6,25,08:49 AM,10:12 PM,05:35 AM,06:31 PM,23,30,30,27,28,54,80,1.5,1015,28,10,108,21,Dominica
2020-05-27,28,26,0.0,8.1,6,32,09:47 AM,11:04 PM,05:35 AM,06:31 PM,23,30,30,27,30,75,81,10.7,1014,28,9,105,21,Dominica
2020-05-28,28,26,0.0,13.0,6,39,10:45 AM,11:53 PM,05:35 AM,06:31 PM,23,30,30,27,28,60,77,0.5,1014,28,10,102,21,Dominica
2020-05-29,28,26,0.0,9.4,6,47,11:43 AM,No moonset,05:35 AM,06:32 PM,22,30,30,27,28,67,77,1.8,1015,28,10,96,21,Dominica
2020-05-30,28,26,0.0,9.4,6,54,12:40 PM,12:39 AM,05:35 AM,06:32 PM,23,30,30,27,26,69,79,2.5,1015,28,10,88,20,Dominica
2020-05-31,28,27,0.0,10.7,6,58,01:38 PM,01:24 AM,05:34 AM,06:32 PM,23,30,30,27,28,70,77,2.6,1015,28,10,94,23,Dominica
2020-06-01,28,26,0.0,8.1,6,71,02:35 PM,02:08 AM,05:34 AM,06:33 PM,23,30,30,27,24,72,76,0.8,1015,28,10,89,19,Dominica
2020-06-02,28,26,0.0,10.7,6,79,03:34 PM,02:52 AM,05:34 AM,06:33 PM,23,30,30,27,23,61,78,1.4,1015,28,10,83,18,Dominica
2020-06-03,28,26,0.0,8.1,6,86,04:34 PM,03:38 AM,05:34 AM,06:33 PM,23,30,30,27,27,70,80,2.2,1015,28,10,87,21,Dominica
2020-06-04,28,26,0.0,8.1,6,94,05:36 PM,04:26 AM,05:34 AM,06:34 PM,23,30,30,27,29,70,79,1.7,1015,28,10,78,23,Dominica
2020-06-05,28,26,0.0,8.1,6,100,06:38 PM,05:18 AM,05:35 AM,06:34 PM,23,30,30,27,28,75,79,2.0,1016,28,10,78,21,Dominica
2020-06-06,28,23,0.0,9.4,6,100,07:41 PM,06:13 AM,05:35 AM,06:34 PM,23,29,29,26,22,64,78,2.1,1016,28,9,77,17,Dominica
