date_time,United%20States%2C%20Hawaii_maxtempC,United%20States%2C%20Hawaii_mintempC,United%20States%2C%20Hawaii_totalSnow_cm,United%20States%2C%20Hawaii_sunHour,United%20States%2C%20Hawaii_uvIndex,United%20States%2C%20Hawaii_moon_illumination,United%20States%2C%20Hawaii_moonrise,United%20States%2C%20Hawaii_moonset,United%20States%2C%20Hawaii_sunrise,United%20States%2C%20Hawaii_sunset,United%20States%2C%20Hawaii_DewPointC,United%20States%2C%20Hawaii_FeelsLikeC,United%20States%2C%20Hawaii_HeatIndexC,United%20States%2C%20Hawaii_WindChillC,United%20States%2C%20Hawaii_WindGustKmph,United%20States%2C%20Hawaii_cloudcover,United%20States%2C%20Hawaii_humidity,United%20States%2C%20Hawaii_precipMM,United%20States%2C%20Hawaii_pressure,United%20States%2C%20Hawaii_tempC,United%20States%2C%20Hawaii_visibility,United%20States%2C%20Hawaii_winddirDegree,United%20States%2C%20Hawaii_windspeedKmph,United%20States%2C%20Hawaii_location
2020-01-11,24,21,0.0,5.5,5,100,07:28 PM,08:08 AM,07:11 AM,06:07 PM,20,26,26,23,70,87,80,43.8,1012,24,7,86,41,United%20States%2C%20Hawaii
2020-01-12,24,20,0.0,5.5,5,83,08:32 PM,09:01 AM,07:11 AM,06:08 PM,21,25,25,23,46,70,81,15.2,1013,24,9,95,30,United%20States%2C%20Hawaii
2020-01-13,24,17,0.0,5.5,5,76,09:35 PM,09:50 AM,07:11 AM,06:08 PM,20,25,25,23,47,74,80,5.5,1015,24,10,91,32,United%20States%2C%20Hawaii
2020-01-14,24,24,0.0,8.5,5,69,10:37 PM,10:35 AM,07:11 AM,06:09 PM,20,26,26,24,57,58,77,1.8,1015,24,10,86,40,United%20States%2C%20Hawaii
2020-01-15,24,23,0.0,7.0,5,61,11:37 PM,11:17 AM,07:11 AM,06:10 PM,19,25,25,23,53,74,77,2.0,1014,24,10,81,38,United%20States%2C%20Hawaii
2020-01-16,23,23,0.0,7.0,5,54,No moonrise,11:58 AM,07:11 AM,06:10 PM,19,25,25,23,34,65,80,5.8,1012,23,10,68,25,United%20States%2C%20Hawaii
2020-01-17,23,22,0.0,7.0,5,47,12:36 AM,12:38 PM,07:11 AM,06:11 PM,19,25,25,23,34,74,78,1.8,1013,23,10,99,26,United%20States%2C%20Hawaii
2020-01-18,22,20,0.0,8.6,5,40,01:35 AM,01:20 PM,07:11 AM,06:12 PM,17,22,24,22,45,70,77,1.2,1017,22,10,41,35,United%20States%2C%20Hawaii
2020-01-19,22,21,0.0,8.6,5,32,02:33 AM,02:04 PM,07:11 AM,06:12 PM,17,24,24,22,49,51,74,0.4,1019,22,10,60,38,United%20States%2C%20Hawaii
2020-01-20,23,18,0.0,7.0,5,25,03:33 AM,02:51 PM,07:11 AM,06:13 PM,19,24,24,22,47,66,77,2.6,1019,23,10,74,36,United%20States%2C%20Hawaii
2020-01-21,24,22,0.0,11.0,5,18,04:31 AM,03:42 PM,07:11 AM,06:14 PM,18,25,25,23,14,42,72,0.4,1018,24,10,130,11,United%20States%2C%20Hawaii
2020-01-22,23,22,0.0,11.0,6,11,05:29 AM,04:34 PM,07:11 AM,06:14 PM,16,25,25,23,6,0,68,0.0,1018,23,10,109,4,United%20States%2C%20Hawaii
2020-01-23,24,22,0.0,11.0,6,3,06:22 AM,05:29 PM,07:11 AM,06:15 PM,16,25,25,23,8,9,64,0.0,1017,24,10,194,6,United%20States%2C%20Hawaii
2020-01-24,24,22,0.0,11.1,6,0,07:12 AM,06:24 PM,07:10 AM,06:16 PM,17,25,25,23,12,10,69,0.0,1018,24,10,42,9,United%20States%2C%20Hawaii
2020-01-25,24,23,0.0,7.0,5,0,07:58 AM,07:18 PM,07:10 AM,06:16 PM,19,25,25,23,27,47,76,0.8,1019,24,10,62,19,United%20States%2C%20Hawaii
2020-01-26,24,23,0.0,10.1,5,4,08:39 AM,08:10 PM,07:10 AM,06:17 PM,19,25,25,23,29,52,77,0.4,1019,24,10,76,22,United%20States%2C%20Hawaii
2020-01-27,24,23,0.0,10.1,5,11,09:17 AM,09:01 PM,07:10 AM,06:17 PM,19,25,25,23,22,53,74,0.5,1020,24,10,106,16,United%20States%2C%20Hawaii
2020-01-28,24,22,0.0,11.1,6,18,09:52 AM,09:50 PM,07:09 AM,06:18 PM,18,25,25,23,11,6,71,0.0,1019,24,10,176,8,United%20States%2C%20Hawaii
2020-01-29,24,23,0.0,10.1,5,26,10:25 AM,10:39 PM,07:09 AM,06:19 PM,17,25,25,23,7,51,69,0.2,1017,24,10,118,5,United%20States%2C%20Hawaii
2020-01-30,24,22,0.0,10.1,5,33,10:59 AM,11:27 PM,07:09 AM,06:19 PM,18,25,25,23,13,44,71,0.1,1017,24,10,146,10,United%20States%2C%20Hawaii
2020-01-31,25,23,0.0,10.1,5,37,11:32 AM,No moonset,07:09 AM,06:20 PM,19,26,26,24,23,54,73,0.5,1017,25,10,63,17,United%20States%2C%20Hawaii
2020-02-01,24,20,0.0,5.6,5,49,12:07 PM,12:16 AM,07:08 AM,06:21 PM,19,25,25,23,36,72,76,8.0,1017,24,9,64,25,United%20States%2C%20Hawaii
2020-02-02,24,22,0.0,5.6,5,57,12:45 PM,01:07 AM,07:08 AM,06:21 PM,18,25,25,23,26,74,74,4.5,1016,24,9,89,19,United%20States%2C%20Hawaii
2020-02-03,24,19,0.0,8.6,5,64,01:26 PM,02:00 AM,07:08 AM,06:22 PM,18,25,25,23,27,60,74,0.8,1016,24,10,89,19,United%20States%2C%20Hawaii
2020-02-04,24,23,0.0,11.2,5,72,02:13 PM,02:56 AM,07:07 AM,06:22 PM,18,25,25,23,14,42,74,1.0,1016,24,10,161,10,United%20States%2C%20Hawaii
2020-02-05,23,18,0.0,7.1,5,79,03:06 PM,03:54 AM,07:07 AM,06:23 PM,18,23,23,22,18,50,78,13.8,1015,23,9,254,12,United%20States%2C%20Hawaii
2020-02-06,22,21,0.0,7.1,5,87,04:04 PM,04:53 AM,07:06 AM,06:24 PM,17,21,23,21,40,62,75,5.5,1014,22,9,121,31,United%20States%2C%20Hawaii
2020-02-07,21,20,0.0,8.6,5,95,05:07 PM,05:51 AM,07:06 AM,06:24 PM,14,20,21,20,35,48,68,1.4,1012,21,10,233,27,United%20States%2C%20Hawaii
2020-02-08,22,19,0.0,8.6,5,100,06:12 PM,06:47 AM,07:05 AM,06:25 PM,14,20,21,20,30,67,69,1.2,1012,22,10,338,22,United%20States%2C%20Hawaii
2020-02-09,22,20,0.0,8.6,5,100,07:18 PM,07:39 AM,07:05 AM,06:25 PM,15,21,22,21,33,49,69,0.6,1015,22,10,338,25,United%20States%2C%20Hawaii
2020-02-10,22,19,0.0,5.6,5,83,08:22 PM,08:27 AM,07:04 AM,06:26 PM,14,20,21,20,40,79,67,2.6,1011,22,9,323,30,United%20States%2C%20Hawaii
2020-02-11,23,21,0.0,5.6,5,75,09:26 PM,09:12 AM,07:04 AM,06:26 PM,17,21,23,21,39,75,74,8.8,1008,23,9,206,26,United%20States%2C%20Hawaii
2020-02-12,24,22,0.0,5.6,5,68,10:27 PM,09:55 AM,07:03 AM,06:27 PM,18,25,25,23,33,79,72,8.5,1010,24,9,90,23,United%20States%2C%20Hawaii
2020-02-13,25,23,0.0,11.2,5,60,11:28 PM,10:36 AM,07:03 AM,06:27 PM,19,26,26,24,24,40,76,1.4,1014,25,10,103,17,United%20States%2C%20Hawaii
2020-02-14,24,23,0.0,5.6,5,53,No moonrise,11:19 AM,07:02 AM,06:28 PM,20,26,26,24,37,72,80,1.1,1015,24,10,87,27,United%20States%2C%20Hawaii
2020-02-15,24,23,0.0,8.6,5,45,12:28 AM,12:03 PM,07:01 AM,06:29 PM,18,25,25,23,42,61,74,0.5,1016,24,10,84,32,United%20States%2C%20Hawaii
2020-02-16,24,23,0.0,5.6,5,38,01:28 AM,12:49 PM,07:01 AM,06:29 PM,18,25,25,23,48,71,72,1.2,1016,24,10,75,36,United%20States%2C%20Hawaii
2020-02-17,23,19,0.0,5.7,5,30,02:27 AM,01:39 PM,07:00 AM,06:30 PM,18,25,25,22,51,67,75,2.8,1017,23,10,66,38,United%20States%2C%20Hawaii
2020-02-18,23,22,0.0,8.6,5,22,03:24 AM,02:30 PM,07:00 AM,06:30 PM,18,25,25,23,59,68,74,2.7,1018,23,10,65,43,United%20States%2C%20Hawaii
2020-02-19,23,22,0.0,5.9,5,15,04:18 AM,03:24 PM,06:59 AM,06:30 PM,18,25,25,23,60,79,76,2.8,1020,23,10,66,45,United%20States%2C%20Hawaii
2020-02-20,23,18,0.0,10.2,5,7,05:09 AM,04:17 PM,06:58 AM,06:31 PM,18,24,24,22,61,61,74,0.9,1021,23,10,70,47,United%20States%2C%20Hawaii
2020-02-21,24,23,0.0,11.6,5,0,05:55 AM,05:12 PM,06:57 AM,06:31 PM,17,25,25,23,48,36,70,0.3,1020,24,10,80,37,United%20States%2C%20Hawaii
2020-02-22,24,19,0.0,5.9,5,0,06:37 AM,06:04 PM,06:57 AM,06:32 PM,18,25,25,23,25,74,75,4.0,1019,24,10,109,18,United%20States%2C%20Hawaii
2020-02-23,24,22,0.0,11.6,6,0,07:16 AM,06:55 PM,06:56 AM,06:32 PM,16,25,25,23,11,19,67,0.1,1019,24,10,276,8,United%20States%2C%20Hawaii
2020-02-24,24,22,0.0,11.6,5,0,07:52 AM,07:45 PM,06:55 AM,06:33 PM,18,25,25,23,26,33,75,0.2,1020,24,10,95,19,United%20States%2C%20Hawaii
2020-02-25,23,19,0.0,8.7,5,8,08:25 AM,08:33 PM,06:55 AM,06:33 PM,18,25,25,22,50,60,73,1.2,1021,23,10,71,38,United%20States%2C%20Hawaii
2020-02-26,23,22,0.0,5.9,5,15,08:59 AM,09:22 PM,06:54 AM,06:34 PM,18,25,25,23,53,74,74,1.1,1020,23,10,66,40,United%20States%2C%20Hawaii
2020-02-27,23,22,0.0,5.9,5,23,09:32 AM,10:10 PM,06:53 AM,06:34 PM,17,25,25,22,49,74,74,2.9,1020,23,9,62,37,United%20States%2C%20Hawaii
2020-02-28,23,20,0.0,11.6,5,30,10:06 AM,11:00 PM,06:52 AM,06:34 PM,16,24,24,22,58,38,68,1.2,1021,23,10,64,44,United%20States%2C%20Hawaii
2020-02-29,23,21,0.0,5.9,5,38,10:41 AM,11:52 PM,06:51 AM,06:35 PM,16,25,25,22,56,78,70,2.2,1021,23,9,63,43,United%20States%2C%20Hawaii
2020-03-01,23,20,0.0,5.9,5,44,11:21 AM,No moonset,06:51 AM,06:35 PM,17,25,25,22,61,68,72,5.7,1020,23,10,70,44,United%20States%2C%20Hawaii
2020-03-02,23,19,0.0,7.3,5,51,12:04 PM,12:45 AM,06:50 AM,06:36 PM,18,24,24,22,55,68,76,5.0,1019,23,10,67,41,United%20States%2C%20Hawaii
2020-03-03,24,18,0.0,5.9,5,58,12:52 PM,01:40 AM,06:49 AM,06:36 PM,19,25,25,22,27,75,80,6.4,1017,24,9,84,19,United%20States%2C%20Hawaii
2020-03-04,24,23,0.0,5.9,5,65,01:46 PM,02:37 AM,06:48 AM,06:36 PM,20,25,25,23,30,74,82,4.8,1017,24,10,86,21,United%20States%2C%20Hawaii
2020-03-05,23,22,0.0,10.2,5,73,02:45 PM,03:35 AM,06:47 AM,06:37 PM,19,25,25,23,34,58,79,2.7,1018,23,10,72,26,United%20States%2C%20Hawaii
2020-03-06,23,22,0.0,8.8,5,80,03:49 PM,04:30 AM,06:46 AM,06:37 PM,18,25,25,23,58,64,76,1.9,1021,23,10,70,44,United%20States%2C%20Hawaii
2020-03-07,22,20,0.0,6.0,5,87,04:54 PM,05:24 AM,06:46 AM,06:38 PM,17,22,24,22,63,69,72,0.8,1022,22,10,68,49,United%20States%2C%20Hawaii
2020-03-08,21,19,0.0,8.8,5,95,06:00 PM,06:13 AM,06:45 AM,06:38 PM,16,21,22,21,51,54,72,0.8,1021,21,10,61,40,United%20States%2C%20Hawaii
2020-03-09,22,17,0.0,6.0,5,100,07:05 PM,07:00 AM,06:44 AM,06:38 PM,16,21,23,21,42,78,74,3.8,1018,22,10,63,31,United%20States%2C%20Hawaii
2020-03-10,23,21,0.0,10.2,5,100,08:09 PM,07:45 AM,06:43 AM,06:39 PM,17,25,25,22,23,58,73,1.7,1017,23,9,80,17,United%20States%2C%20Hawaii
2020-03-11,23,22,0.0,8.8,5,84,09:13 PM,08:28 AM,06:42 AM,06:39 PM,17,25,25,22,12,47,71,1.5,1016,23,10,235,9,United%20States%2C%20Hawaii
2020-03-12,23,21,0.0,8.8,5,76,10:16 PM,09:12 AM,06:41 AM,06:39 PM,17,25,25,22,9,58,71,2.6,1014,23,10,251,6,United%20States%2C%20Hawaii
2020-03-13,24,23,0.0,7.4,5,69,11:19 PM,09:57 AM,06:40 AM,06:40 PM,18,25,25,23,10,64,74,9.3,1015,24,10,191,7,United%20States%2C%20Hawaii
2020-03-14,24,22,0.0,7.4,5,62,No moonrise,10:44 AM,06:39 AM,06:40 PM,19,25,25,23,19,63,79,3.8,1016,24,10,49,14,United%20States%2C%20Hawaii
2020-03-15,24,19,0.0,6.0,5,55,12:20 AM,11:34 AM,06:39 AM,06:40 PM,20,25,25,23,22,70,79,13.9,1017,24,9,121,14,United%20States%2C%20Hawaii
2020-03-16,24,21,0.0,6.0,5,47,01:19 AM,12:26 PM,06:38 AM,06:41 PM,20,25,25,23,34,85,81,26.0,1015,24,8,152,21,United%20States%2C%20Hawaii
2020-03-17,24,19,0.0,8.8,5,40,02:15 AM,01:20 PM,06:37 AM,06:41 PM,19,24,24,22,25,64,82,28.9,1016,24,9,137,18,United%20States%2C%20Hawaii
2020-03-18,24,21,0.0,6.0,5,33,03:07 AM,02:13 PM,06:36 AM,06:41 PM,20,25,25,23,25,78,85,38.8,1017,24,7,123,15,United%20States%2C%20Hawaii
2020-03-19,24,20,0.0,7.4,5,25,03:54 AM,03:07 PM,06:35 AM,06:42 PM,20,25,25,23,26,70,82,18.0,1017,24,9,178,17,United%20States%2C%20Hawaii
2020-03-20,25,19,0.0,10.2,5,18,04:37 AM,04:00 PM,06:34 AM,06:42 PM,20,25,25,23,17,60,82,1.3,1018,25,10,130,12,United%20States%2C%20Hawaii
2020-03-21,24,23,0.0,11.6,5,11,05:17 AM,04:51 PM,06:33 AM,06:42 PM,20,25,25,23,21,61,80,2.1,1019,24,10,80,15,United%20States%2C%20Hawaii
2020-03-22,23,22,0.0,7.4,5,4,05:53 AM,05:41 PM,06:32 AM,06:43 PM,19,25,25,23,43,62,78,0.8,1019,23,10,73,32,United%20States%2C%20Hawaii
2020-03-23,23,22,0.0,10.2,5,0,06:27 AM,06:30 PM,06:31 AM,06:43 PM,18,25,25,22,55,59,74,1.0,1021,23,10,71,42,United%20States%2C%20Hawaii
2020-03-24,23,22,0.0,10.2,5,0,07:00 AM,07:19 PM,06:30 AM,06:43 PM,17,25,25,23,59,54,70,1.0,1023,23,10,73,44,United%20States%2C%20Hawaii
2020-03-25,23,22,0.0,7.5,5,3,07:33 AM,08:07 PM,06:29 AM,06:44 PM,18,25,25,22,62,68,74,1.9,1022,23,10,71,47,United%20States%2C%20Hawaii
2020-03-26,23,22,0.0,6.1,5,11,08:06 AM,08:56 PM,06:28 AM,06:44 PM,17,25,25,22,57,78,71,2.5,1020,23,10,77,43,United%20States%2C%20Hawaii
2020-03-27,23,22,0.0,6.1,5,18,08:41 AM,09:47 PM,06:28 AM,06:44 PM,18,25,25,22,51,68,76,11.8,1017,23,9,78,36,United%20States%2C%20Hawaii
2020-03-28,23,22,0.0,6.1,5,25,09:19 AM,10:39 PM,06:27 AM,06:45 PM,18,25,25,23,36,73,78,18.5,1016,23,9,93,24,United%20States%2C%20Hawaii
2020-03-29,23,22,0.0,6.1,5,32,10:00 AM,11:33 PM,06:26 AM,06:45 PM,19,25,25,23,32,75,80,7.7,1016,23,9,61,23,United%20States%2C%20Hawaii
2020-03-30,23,22,0.0,6.1,5,40,10:46 AM,No moonset,06:25 AM,06:45 PM,19,25,25,23,34,72,79,1.0,1017,23,10,66,25,United%20States%2C%20Hawaii
2020-03-31,23,21,0.0,6.1,5,44,11:36 AM,12:28 AM,06:24 AM,06:45 PM,19,25,25,23,29,69,82,2.3,1017,23,10,68,22,United%20States%2C%20Hawaii
2020-04-01,24,20,0.0,10.2,5,56,12:31 PM,01:24 AM,06:23 AM,06:46 PM,19,25,25,23,22,60,76,3.0,1015,24,10,54,16,United%20States%2C%20Hawaii
2020-04-02,24,22,0.0,8.9,5,64,01:32 PM,02:18 AM,06:22 AM,06:46 PM,18,25,25,23,16,60,75,2.7,1014,24,10,93,12,United%20States%2C%20Hawaii
2020-04-03,24,23,0.0,10.2,5,71,02:34 PM,03:11 AM,06:21 AM,06:46 PM,19,25,25,23,11,61,75,3.2,1014,24,10,129,8,United%20States%2C%20Hawaii
2020-04-04,25,23,0.0,6.1,5,79,03:38 PM,04:01 AM,06:20 AM,06:47 PM,20,26,26,24,12,83,77,8.7,1015,25,9,120,8,United%20States%2C%20Hawaii
2020-04-05,25,23,0.0,6.1,5,87,04:42 PM,04:48 AM,06:19 AM,06:47 PM,19,26,26,24,12,76,76,11.8,1014,25,9,136,8,United%20States%2C%20Hawaii
2020-04-06,24,23,0.0,6.1,5,94,05:47 PM,05:33 AM,06:19 AM,06:47 PM,20,25,25,23,20,81,80,13.7,1014,24,9,162,14,United%20States%2C%20Hawaii
2020-04-07,25,23,0.0,6.2,5,100,06:51 PM,06:16 AM,06:18 AM,06:48 PM,19,26,26,24,15,69,77,10.7,1015,25,10,211,11,United%20States%2C%20Hawaii
2020-04-08,24,23,0.0,8.9,5,100,07:55 PM,07:01 AM,06:17 AM,06:48 PM,18,25,25,24,7,70,71,1.6,1015,24,9,255,6,United%20States%2C%20Hawaii
2020-04-09,24,23,0.0,8.9,5,83,09:00 PM,07:46 AM,06:16 AM,06:48 PM,18,25,25,24,10,67,72,2.6,1015,24,10,244,8,United%20States%2C%20Hawaii
2020-04-10,25,23,0.0,10.2,5,76,10:04 PM,08:33 AM,06:15 AM,06:49 PM,18,26,26,24,20,53,69,0.3,1015,25,10,240,15,United%20States%2C%20Hawaii
2020-04-11,25,23,0.0,7.5,5,68,11:07 PM,09:24 AM,06:14 AM,06:49 PM,19,26,26,24,15,66,73,3.6,1017,25,10,261,11,United%20States%2C%20Hawaii
2020-04-12,23,22,0.0,6.2,5,61,No moonrise,10:16 AM,06:13 AM,06:49 PM,18,25,25,22,26,74,78,2.7,1019,23,10,33,20,United%20States%2C%20Hawaii
2020-04-13,24,22,0.0,6.2,5,53,12:07 AM,11:12 AM,06:13 AM,06:50 PM,19,25,25,23,25,73,78,8.9,1019,24,9,71,18,United%20States%2C%20Hawaii
2020-04-14,25,24,0.0,7.5,5,46,01:02 AM,12:07 PM,06:12 AM,06:50 PM,20,26,26,24,13,62,75,3.6,1019,25,10,95,9,United%20States%2C%20Hawaii
2020-04-15,25,24,0.0,11.6,5,38,01:52 AM,01:02 PM,06:11 AM,06:50 PM,20,26,26,24,27,44,78,0.6,1020,25,10,76,20,United%20States%2C%20Hawaii
2020-04-16,24,23,0.0,8.9,5,30,02:37 AM,01:56 PM,06:10 AM,06:51 PM,19,25,25,23,42,67,76,0.3,1020,24,10,73,32,United%20States%2C%20Hawaii
2020-04-17,24,23,0.0,11.6,6,23,03:18 AM,02:47 PM,06:09 AM,06:51 PM,19,25,25,23,33,36,76,0.2,1020,24,10,68,26,United%20States%2C%20Hawaii
2020-04-18,23,23,0.0,11.6,5,15,03:54 AM,03:38 PM,06:09 AM,06:51 PM,18,25,25,23,28,49,76,0.5,1020,23,10,68,22,United%20States%2C%20Hawaii
2020-04-19,23,21,0.0,11.6,6,8,04:29 AM,04:26 PM,06:08 AM,06:52 PM,18,25,25,23,17,35,73,0.0,1018,23,10,80,13,United%20States%2C%20Hawaii
2020-04-20,24,23,0.0,8.9,5,0,05:02 AM,05:15 PM,06:07 AM,06:52 PM,19,25,25,23,14,61,75,0.8,1017,24,10,116,11,United%20States%2C%20Hawaii
2020-04-21,24,18,0.0,6.2,5,0,05:35 AM,06:04 PM,06:06 AM,06:53 PM,19,24,24,22,9,74,76,4.9,1017,24,10,161,7,United%20States%2C%20Hawaii
2020-04-22,24,23,0.0,6.2,5,0,06:08 AM,06:53 PM,06:06 AM,06:53 PM,19,26,26,24,18,61,75,1.1,1019,24,10,84,13,United%20States%2C%20Hawaii
2020-04-23,25,24,0.0,7.6,5,0,06:42 AM,07:44 PM,06:05 AM,06:53 PM,20,26,26,24,31,70,76,2.3,1019,25,10,77,24,United%20States%2C%20Hawaii
2020-04-24,24,24,0.0,8.9,5,7,07:19 AM,08:35 PM,06:04 AM,06:54 PM,19,26,26,24,43,61,76,0.6,1019,24,10,68,33,United%20States%2C%20Hawaii
2020-04-25,24,23,0.0,11.6,6,15,07:59 AM,09:30 PM,06:03 AM,06:54 PM,18,25,25,23,41,40,73,0.1,1018,24,10,63,32,United%20States%2C%20Hawaii
2020-04-26,24,22,0.0,7.6,5,22,08:43 AM,10:24 PM,06:03 AM,06:54 PM,18,25,25,23,40,64,74,0.7,1017,24,10,66,31,United%20States%2C%20Hawaii
2020-04-27,25,24,0.0,7.6,5,30,09:32 AM,11:20 PM,06:02 AM,06:55 PM,19,26,26,24,36,72,75,2.4,1018,25,9,64,27,United%20States%2C%20Hawaii
2020-04-28,24,23,0.0,7.6,5,37,10:25 AM,No moonset,06:01 AM,06:55 PM,19,25,25,24,44,66,74,0.6,1019,24,10,63,34,United%20States%2C%20Hawaii
2020-04-29,24,22,0.0,11.6,5,45,11:23 AM,12:13 AM,06:01 AM,06:56 PM,18,25,25,23,46,56,73,0.2,1019,24,10,56,36,United%20States%2C%20Hawaii
2020-04-30,24,23,0.0,12.6,5,52,12:22 PM,01:05 AM,06:00 AM,06:56 PM,19,25,25,24,52,41,73,0.3,1019,24,10,63,39,United%20States%2C%20Hawaii
2020-05-01,24,23,0.0,12.6,5,58,01:24 PM,01:55 AM,06:00 AM,06:56 PM,19,25,25,23,50,45,74,0.1,1019,24,10,64,39,United%20States%2C%20Hawaii
2020-05-02,24,23,0.0,8.1,5,65,02:25 PM,02:40 AM,05:59 AM,06:57 PM,19,25,25,23,50,73,78,1.5,1021,24,10,62,38,United%20States%2C%20Hawaii
2020-05-03,24,23,0.0,8.1,5,72,03:28 PM,03:25 AM,05:58 AM,06:57 PM,20,25,25,23,48,77,80,3.4,1021,24,10,60,37,United%20States%2C%20Hawaii
2020-05-04,24,23,0.0,8.1,5,80,04:30 PM,04:07 AM,05:58 AM,06:58 PM,19,25,25,23,46,65,78,2.7,1019,24,10,59,35,United%20States%2C%20Hawaii
2020-05-05,24,23,0.0,9.4,5,87,05:34 PM,04:50 AM,05:57 AM,06:58 PM,19,25,25,24,43,66,75,1.4,1018,24,9,64,33,United%20States%2C%20Hawaii
2020-05-06,24,23,0.0,10.7,5,94,06:38 PM,05:34 AM,05:57 AM,06:58 PM,19,26,26,24,30,66,74,0.8,1017,24,10,63,24,United%20States%2C%20Hawaii
2020-05-07,24,22,0.0,12.0,5,100,07:43 PM,06:19 AM,05:56 AM,06:59 PM,19,25,25,23,36,60,77,2.5,1018,24,10,37,28,United%20States%2C%20Hawaii
2020-05-08,24,22,0.0,13.0,5,100,08:48 PM,07:09 AM,05:56 AM,06:59 PM,18,25,25,23,29,46,74,1.7,1018,24,10,38,23,United%20States%2C%20Hawaii
2020-05-09,24,22,0.0,13.5,6,84,09:51 PM,08:02 AM,05:55 AM,07:00 PM,17,25,25,23,27,36,72,0.0,1018,24,10,52,21,United%20States%2C%20Hawaii
2020-05-10,24,23,0.0,13.5,6,77,10:51 PM,08:58 AM,05:55 AM,07:00 PM,18,25,25,23,31,18,74,0.0,1018,24,10,66,24,United%20States%2C%20Hawaii
2020-05-11,25,23,0.0,12.1,5,70,11:45 PM,09:55 AM,05:54 AM,07:01 PM,19,26,26,24,34,54,76,3.2,1019,25,10,76,26,United%20States%2C%20Hawaii
2020-05-12,24,23,0.0,13.3,5,62,No moonrise,10:52 AM,05:54 AM,07:01 PM,19,25,25,23,26,36,75,2.2,1019,24,10,55,20,United%20States%2C%20Hawaii
2020-05-13,25,22,0.0,8.4,5,55,12:33 AM,11:48 AM,05:53 AM,07:01 PM,20,26,26,23,19,74,80,4.9,1017,25,10,64,15,United%20States%2C%20Hawaii
2020-05-14,25,23,0.0,12.1,5,48,01:16 AM,12:41 PM,05:53 AM,07:02 PM,20,26,26,24,12,52,77,0.7,1017,25,10,59,9,United%20States%2C%20Hawaii
2020-05-15,25,18,0.0,13.5,5,40,01:55 AM,01:33 PM,05:53 AM,07:02 PM,20,25,25,23,22,46,78,0.2,1018,25,10,69,17,United%20States%2C%20Hawaii
