date_time,China_maxtempC,China_mintempC,China_totalSnow_cm,China_sunHour,China_uvIndex,China_moon_illumination,China_moonrise,China_moonset,China_sunrise,China_sunset,China_DewPointC,China_FeelsLikeC,China_HeatIndexC,China_WindChillC,China_WindGustKmph,China_cloudcover,China_humidity,China_precipMM,China_pressure,China_tempC,China_visibility,China_winddirDegree,China_windspeedKmph,China_location
2020-05-10,26,19,0.0,14.1,5,77,10:38 PM,07:12 AM,05:04 AM,07:18 PM,-4,22,22,22,26,21,19,0.0,1010,26,10,321,20,China
2020-05-11,29,18,0.0,14.2,6,70,11:37 PM,08:05 AM,05:03 AM,07:19 PM,-5,23,23,24,27,11,16,0.0,1007,29,10,296,22,China
2020-05-12,30,21,0.0,14.2,7,62,No moonrise,09:04 AM,05:02 AM,07:20 PM,-8,24,24,25,16,2,11,0.0,1007,30,10,310,14,China
2020-05-13,31,24,0.0,14.2,6,55,12:26 AM,10:05 AM,05:01 AM,07:21 PM,-1,26,26,27,16,21,15,0.0,1008,31,10,223,12,China
2020-05-14,29,23,0.0,14.2,7,48,01:07 AM,11:07 AM,05:00 AM,07:22 PM,7,25,25,26,24,21,32,0.0,1005,29,10,184,18,China
2020-05-15,29,18,0.0,13.4,5,40,01:42 AM,12:07 PM,04:59 AM,07:23 PM,12,23,23,23,11,38,53,0.5,1003,29,10,148,9,China
2020-05-16,30,17,0.0,12.4,5,33,02:11 AM,01:07 PM,04:58 AM,07:24 PM,6,23,23,23,15,43,44,0.4,1000,30,10,176,12,China
2020-05-17,25,20,0.0,14.5,6,26,02:37 AM,02:06 PM,04:58 AM,07:25 PM,-5,22,22,23,19,8,16,0.0,999,25,10,302,16,China
2020-05-18,27,17,0.0,14.5,6,19,03:02 AM,03:03 PM,04:57 AM,07:26 PM,-1,23,23,23,17,6,21,0.0,1003,27,10,322,15,China
2020-05-19,31,22,0.0,14.5,6,11,03:26 AM,04:01 PM,04:56 AM,07:27 PM,2,25,25,26,9,19,22,0.1,1005,31,10,151,8,China
2020-05-20,32,21,0.0,12.4,6,4,03:50 AM,05:00 PM,04:55 AM,07:28 PM,9,26,26,26,6,53,38,3.2,1006,32,10,116,5,China
2020-05-21,26,21,0.0,11.3,5,0,04:15 AM,05:59 PM,04:54 AM,07:29 PM,12,25,25,23,9,67,53,18.0,1006,26,9,122,8,China
2020-05-22,32,15,0.0,14.5,7,0,04:43 AM,07:00 PM,04:54 AM,07:29 PM,7,26,26,26,17,9,34,0.0,1003,32,10,245,14,China
2020-05-23,29,20,0.0,14.5,5,3,05:15 AM,08:02 PM,04:53 AM,07:30 PM,7,24,24,24,18,37,35,0.0,1005,29,10,177,15,China
2020-05-24,31,22,0.0,14.5,7,10,05:52 AM,09:03 PM,04:52 AM,07:31 PM,6,26,26,26,11,12,29,0.0,1010,31,10,247,9,China
2020-05-25,26,18,0.0,10.3,5,17,06:36 AM,10:01 PM,04:52 AM,07:32 PM,7,24,24,23,10,56,34,1.5,1010,26,9,148,8,China
2020-05-26,30,19,0.0,12.4,6,25,07:29 AM,10:55 PM,04:51 AM,07:33 PM,6,25,25,25,13,51,35,13.1,1009,30,9,284,11,China
2020-05-27,31,22,0.0,12.4,6,32,08:27 AM,11:43 PM,04:50 AM,07:34 PM,3,25,25,26,14,43,25,0.3,1007,31,10,276,11,China
2020-05-28,35,22,0.0,14.5,7,39,09:33 AM,No moonset,04:50 AM,07:34 PM,5,28,28,29,10,21,25,0.0,1005,35,10,136,8,China
2020-05-29,40,23,0.0,12.4,7,47,10:41 AM,12:24 AM,04:49 AM,07:35 PM,9,32,32,31,12,41,31,0.7,1006,40,10,117,10,China
2020-05-30,31,25,0.0,13.5,6,54,11:51 AM,01:01 AM,04:49 AM,07:36 PM,11,28,28,28,25,42,39,1.7,1010,31,10,171,20,China
2020-05-31,29,21,0.0,12.4,6,58,01:02 PM,01:34 AM,04:48 AM,07:37 PM,6,26,26,25,20,37,35,4.2,1008,29,10,250,15,China
2020-06-01,31,22,0.0,13.5,6,71,02:13 PM,02:04 AM,04:48 AM,07:37 PM,3,26,26,26,15,24,25,3.1,1005,31,10,191,13,China
2020-06-02,38,22,0.0,14.5,8,79,03:26 PM,02:34 AM,04:47 AM,07:38 PM,9,31,31,31,11,15,35,1.9,1000,38,10,152,9,China
2020-06-03,35,27,0.0,14.5,8,86,04:40 PM,03:05 AM,04:47 AM,07:39 PM,-3,29,29,31,21,6,12,0.0,1000,35,10,228,18,China
2020-06-04,34,24,0.0,13.5,6,94,05:54 PM,03:38 AM,04:47 AM,07:39 PM,2,28,28,29,12,33,19,0.3,1004,34,10,105,10,China
2020-06-05,32,23,0.0,14.5,7,100,07:08 PM,04:16 AM,04:46 AM,07:40 PM,7,27,27,28,13,19,30,0.1,1008,32,10,100,11,China
2020-06-06,37,25,0.0,14.5,8,100,08:18 PM,05:00 AM,04:46 AM,07:41 PM,11,30,30,31,8,2,31,0.0,1007,37,10,139,7,China
2020-06-07,38,25,0.0,14.5,7,84,09:22 PM,05:50 AM,04:46 AM,07:41 PM,10,31,31,32,11,16,28,0.0,1005,38,10,135,9,China
2020-06-08,39,31,0.0,14.5,9,76,10:17 PM,06:47 AM,04:46 AM,07:42 PM,7,33,33,35,15,10,18,0.0,1007,39,10,222,12,China
2020-06-09,33,28,0.0,14.5,8,69,11:03 PM,07:48 AM,04:45 AM,07:42 PM,11,29,29,30,11,43,31,0.0,1010,33,10,171,9,China
2020-06-10,38,24,0.0,13.5,7,61,11:41 PM,08:51 AM,04:45 AM,07:43 PM,10,31,31,31,11,23,32,1.4,1007,38,10,201,9,China
2020-06-11,31,24,0.0,12.4,6,54,No moonrise,09:54 AM,04:45 AM,07:43 PM,12,29,29,28,11,37,38,5.4,1006,31,10,130,9,China
