date_time,Palestine_maxtempC,Palestine_mintempC,Palestine_totalSnow_cm,Palestine_sunHour,Palestine_uvIndex,Palestine_moon_illumination,Palestine_moonrise,Palestine_moonset,Palestine_sunrise,Palestine_sunset,Palestine_DewPointC,Palestine_FeelsLikeC,Palestine_HeatIndexC,Palestine_WindChillC,Palestine_WindGustKmph,Palestine_cloudcover,Palestine_humidity,Palestine_precipMM,Palestine_pressure,Palestine_tempC,Palestine_visibility,Palestine_winddirDegree,Palestine_windspeedKmph,Palestine_location
2020-01-13,10,4,0.0,5.4,2,76,07:55 PM,08:49 AM,06:40 AM,04:55 PM,7,7,9,7,21,56,89,0.5,1023,10,10,267,12,Palestine
2020-01-14,12,8,0.0,8.7,4,69,09:03 PM,09:31 AM,06:40 AM,04:56 PM,6,9,10,9,21,16,77,0.0,1024,12,10,167,13,Palestine
2020-01-15,15,10,0.0,8.7,4,61,10:09 PM,10:09 AM,06:40 AM,04:57 PM,3,12,13,12,19,19,55,0.0,1020,15,10,73,10,Palestine
2020-01-16,15,12,0.0,8.7,4,54,11:15 PM,10:45 AM,06:40 AM,04:58 PM,3,12,13,12,15,35,54,0.0,1015,15,10,168,8,Palestine
2020-01-17,11,8,0.0,8.7,3,47,No moonrise,11:20 AM,06:39 AM,04:59 PM,5,9,11,9,17,41,70,0.2,1014,11,10,243,11,Palestine
2020-01-18,11,9,0.0,7.1,3,40,12:19 AM,11:56 AM,06:39 AM,05:00 PM,8,8,10,8,20,59,87,4.3,1016,11,9,259,13,Palestine
2020-01-19,9,5,0.0,7.1,2,32,01:23 AM,12:34 PM,06:39 AM,05:01 PM,7,5,8,5,41,61,88,3.8,1020,9,9,250,26,Palestine
2020-01-20,9,8,0.0,4.0,2,25,02:27 AM,01:15 PM,06:39 AM,05:02 PM,6,5,8,5,40,61,88,2.6,1023,9,10,265,24,Palestine
2020-01-21,7,4,0.0,5.6,2,18,03:30 AM,02:00 PM,06:38 AM,05:03 PM,3,1,6,1,46,57,83,1.6,1020,7,10,296,29,Palestine
2020-01-22,8,-1,0.0,4.0,2,11,04:30 AM,02:50 PM,06:38 AM,05:03 PM,4,4,6,4,20,78,83,3.2,1021,8,9,319,12,Palestine
2020-01-23,9,6,0.0,5.6,2,3,05:27 AM,03:44 PM,06:38 AM,05:04 PM,4,4,7,4,36,58,80,0.8,1021,9,10,258,23,Palestine
2020-01-24,7,4,0.0,7.1,2,0,06:18 AM,04:40 PM,06:37 AM,05:05 PM,3,2,6,2,57,43,78,3.7,1020,7,9,300,36,Palestine
2020-01-25,9,1,0.0,8.7,3,0,07:04 AM,05:38 PM,06:37 AM,05:06 PM,1,6,7,6,11,1,67,0.0,1029,9,10,252,8,Palestine
2020-01-26,9,7,0.0,8.7,3,4,07:44 AM,06:34 PM,06:36 AM,05:07 PM,2,8,8,8,6,6,65,0.0,1029,9,10,270,4,Palestine
2020-01-27,12,4,0.0,8.7,3,11,08:19 AM,07:30 PM,06:36 AM,05:08 PM,4,9,9,9,5,27,72,0.0,1025,12,10,95,3,Palestine
2020-01-28,12,9,0.0,8.7,4,18,08:52 AM,08:24 PM,06:35 AM,05:09 PM,4,10,10,10,9,40,67,0.0,1019,12,10,217,6,Palestine
2020-01-29,11,8,0.0,8.7,2,26,09:22 AM,09:18 PM,06:35 AM,05:10 PM,7,7,9,7,27,51,87,0.9,1021,11,10,271,17,Palestine
2020-01-30,12,7,0.0,7.1,3,33,09:50 AM,10:11 PM,06:34 AM,05:11 PM,7,9,10,9,11,24,82,0.1,1022,12,10,252,7,Palestine
2020-01-31,10,7,0.0,7.1,2,37,10:19 AM,11:04 PM,06:33 AM,05:12 PM,4,5,8,5,49,31,75,0.4,1018,10,10,266,30,Palestine
2020-02-01,10,6,0.0,8.7,2,49,10:48 AM,11:59 PM,06:33 AM,05:13 PM,4,4,8,4,40,26,76,0.2,1021,10,10,275,24,Palestine
2020-02-02,12,8,0.0,5.6,3,57,11:20 AM,No moonset,06:32 AM,05:14 PM,8,9,10,9,17,70,85,0.9,1022,12,10,217,10,Palestine
2020-02-03,13,7,0.0,8.7,3,64,11:55 AM,12:55 AM,06:32 AM,05:15 PM,7,10,10,10,9,26,80,0.0,1021,13,10,208,6,Palestine
2020-02-04,12,9,0.0,7.2,3,72,12:35 PM,01:53 AM,06:31 AM,05:16 PM,8,10,10,10,9,38,84,0.2,1019,12,10,283,6,Palestine
2020-02-05,16,6,0.0,8.7,4,79,01:22 PM,02:53 AM,06:30 AM,05:16 PM,8,13,13,13,6,0,73,0.0,1015,16,10,182,5,Palestine
2020-02-06,16,12,0.0,8.7,4,87,02:16 PM,03:54 AM,06:29 AM,05:17 PM,5,13,14,13,25,6,56,0.0,1014,16,10,223,15,Palestine
2020-02-07,10,5,0.0,4.1,2,95,03:17 PM,04:53 AM,06:29 AM,05:18 PM,4,4,8,4,52,53,75,1.3,1017,10,10,265,33,Palestine
2020-02-08,7,5,0.0,4.1,2,100,04:24 PM,05:48 AM,06:28 AM,05:19 PM,3,1,6,1,76,81,82,6.2,1019,7,8,273,47,Palestine
2020-02-09,5,3,0.3,4.1,1,100,05:34 PM,06:39 AM,06:27 AM,05:20 PM,2,0,4,0,33,81,83,1.5,1025,5,8,311,20,Palestine
2020-02-10,5,0,0.6,4.1,1,83,06:45 PM,07:24 AM,06:26 AM,05:21 PM,-0,-1,2,-1,21,69,82,0.9,1027,5,8,327,14,Palestine
2020-02-11,8,2,0.0,4.1,2,75,07:55 PM,08:05 AM,06:25 AM,05:22 PM,1,4,5,4,10,63,76,0.1,1025,8,10,220,7,Palestine
2020-02-12,13,4,0.0,7.2,3,68,09:03 PM,08:43 AM,06:24 AM,05:23 PM,6,9,10,9,15,49,76,0.0,1023,13,10,208,10,Palestine
2020-02-13,16,6,0.0,8.7,4,60,10:10 PM,09:20 AM,06:24 AM,05:24 PM,7,12,13,12,11,4,66,0.0,1022,16,10,208,7,Palestine
2020-02-14,15,11,0.0,8.7,4,53,11:16 PM,09:56 AM,06:23 AM,05:24 PM,6,12,13,12,25,23,65,0.0,1021,15,10,88,15,Palestine
2020-02-15,20,11,0.0,8.7,5,45,No moonrise,10:34 AM,06:22 AM,05:25 PM,7,14,15,14,13,15,59,0.0,1015,20,10,136,7,Palestine
2020-02-16,14,9,0.0,5.7,3,38,12:21 AM,11:15 AM,06:21 AM,05:26 PM,8,10,12,10,26,49,78,2.4,1014,14,10,254,17,Palestine
2020-02-17,12,8,0.0,7.2,3,30,01:24 AM,11:59 AM,06:20 AM,05:27 PM,8,10,11,10,7,36,80,0.4,1017,12,10,197,5,Palestine
2020-02-18,15,7,0.0,8.7,3,22,02:25 AM,12:47 PM,06:19 AM,05:28 PM,6,10,12,10,22,38,66,0.1,1016,15,10,140,14,Palestine
2020-02-19,12,8,0.0,7.2,3,15,03:23 AM,01:39 PM,06:18 AM,05:29 PM,7,9,11,9,19,52,80,1.6,1014,12,10,243,13,Palestine
2020-02-20,12,4,0.0,4.2,3,7,04:14 AM,02:33 PM,06:17 AM,05:30 PM,8,7,10,7,31,60,84,1.2,1017,12,10,289,21,Palestine
2020-02-21,14,7,0.0,8.7,4,0,05:01 AM,03:30 PM,06:16 AM,05:30 PM,5,9,11,9,28,12,67,0.1,1016,14,10,229,18,Palestine
2020-02-22,11,8,0.0,5.7,2,0,05:43 AM,04:26 PM,06:15 AM,05:31 PM,6,6,9,6,42,48,81,1.4,1017,11,10,257,29,Palestine
2020-02-23,12,8,0.0,5.7,3,0,06:19 AM,05:23 PM,06:14 AM,05:32 PM,5,9,10,9,13,49,74,0.3,1018,12,10,213,8,Palestine
2020-02-24,13,9,0.0,8.7,3,0,06:52 AM,06:17 PM,06:13 AM,05:33 PM,6,9,10,9,18,40,74,0.6,1015,13,10,320,11,Palestine
2020-02-25,13,10,0.0,5.7,3,8,07:23 AM,07:11 PM,06:12 AM,05:34 PM,8,9,11,9,26,66,80,2.8,1013,13,10,300,17,Palestine
2020-02-26,12,7,0.0,7.2,3,15,07:52 AM,08:04 PM,06:11 AM,05:34 PM,8,8,10,8,35,39,86,0.5,1018,12,10,277,24,Palestine
2020-02-27,17,8,0.0,7.2,3,23,08:20 AM,08:57 PM,06:09 AM,05:35 PM,6,13,13,13,6,23,60,0.0,1019,17,10,229,4,Palestine
2020-02-28,16,10,0.0,8.7,3,30,08:49 AM,09:51 PM,06:08 AM,05:36 PM,6,12,13,12,26,24,64,0.1,1016,16,10,255,18,Palestine
2020-02-29,11,9,0.0,5.7,3,38,09:19 AM,10:46 PM,06:07 AM,05:37 PM,7,8,11,8,48,45,75,0.5,1014,11,10,260,30,Palestine
2020-03-01,11,6,0.0,5.7,2,44,09:52 AM,11:42 PM,06:06 AM,05:38 PM,7,5,9,5,63,66,84,3.1,1017,11,9,276,41,Palestine
2020-03-02,12,5,0.0,8.7,4,51,10:29 AM,No moonset,06:05 AM,05:38 PM,7,7,9,7,18,23,79,0.0,1021,12,10,280,12,Palestine
2020-03-03,19,6,0.0,8.7,5,58,11:12 AM,12:40 AM,06:04 AM,05:39 PM,6,14,14,14,5,0,58,0.0,1020,19,10,95,4,Palestine
2020-03-04,24,14,0.0,8.7,5,65,12:01 PM,01:39 AM,06:03 AM,05:40 PM,5,18,18,18,14,1,44,0.0,1014,24,10,136,8,Palestine
2020-03-05,23,16,0.0,5.8,4,73,12:57 PM,02:37 AM,06:01 AM,05:41 PM,4,19,19,19,10,32,40,0.0,1011,23,10,120,6,Palestine
2020-03-06,13,10,0.0,5.7,3,80,02:00 PM,03:33 AM,06:00 AM,05:41 PM,6,10,12,10,32,65,70,22.0,1010,13,9,254,22,Palestine
2020-03-07,14,9,0.0,8.8,3,87,03:08 PM,04:25 AM,05:59 AM,05:42 PM,8,9,11,9,27,46,82,0.6,1018,14,10,287,18,Palestine
2020-03-08,22,7,0.0,11.6,5,95,04:19 PM,05:12 AM,05:58 AM,05:43 PM,9,16,17,16,8,2,63,0.0,1019,22,10,73,5,Palestine
2020-03-09,24,15,0.0,11.6,6,100,05:30 PM,05:55 AM,05:57 AM,05:43 PM,6,19,19,19,14,14,44,0.0,1013,24,10,122,8,Palestine
2020-03-10,18,13,0.0,10.2,4,100,06:41 PM,06:35 AM,05:55 AM,05:44 PM,10,15,15,15,15,40,72,0.0,1015,18,10,188,9,Palestine
2020-03-11,24,10,0.0,11.6,6,84,07:51 PM,07:13 AM,05:54 AM,05:45 PM,9,18,19,18,11,20,54,0.0,1013,24,10,160,6,Palestine
2020-03-12,26,19,0.0,11.6,5,76,09:00 PM,07:51 AM,05:53 AM,05:46 PM,8,23,23,22,23,43,42,0.6,1005,26,9,136,14,Palestine
2020-03-13,12,5,0.0,6.0,3,69,10:08 PM,08:29 AM,05:52 AM,05:46 PM,8,9,11,9,39,88,79,30.8,999,12,8,166,25,Palestine
2020-03-14,13,4,0.0,8.8,3,62,11:15 PM,09:11 AM,05:51 AM,05:47 PM,10,7,11,7,53,68,91,6.1,1008,13,10,289,34,Palestine
2020-03-15,16,9,0.0,8.8,3,55,No moonrise,09:55 AM,05:49 AM,05:48 PM,11,13,14,13,8,55,84,0.2,1016,16,9,218,6,Palestine
2020-03-16,19,15,0.0,11.6,5,47,12:19 AM,10:42 AM,05:48 AM,05:48 PM,10,16,16,16,11,7,70,0.0,1014,19,10,247,8,Palestine
2020-03-17,12,8,0.0,8.8,3,40,01:19 AM,11:34 AM,05:47 AM,05:49 PM,8,9,12,9,40,52,81,1.3,1011,12,10,254,27,Palestine
2020-03-18,9,7,0.0,7.4,2,33,02:12 AM,12:28 PM,05:46 AM,05:50 PM,5,3,8,3,66,48,82,1.7,1012,9,10,267,42,Palestine
2020-03-19,11,8,0.0,7.4,2,25,03:01 AM,01:25 PM,05:44 AM,05:50 PM,5,5,9,5,50,64,80,0.5,1016,11,10,255,32,Palestine
2020-03-20,7,2,0.0,6.0,2,18,03:44 AM,02:21 PM,05:43 AM,05:51 PM,4,3,6,3,28,67,81,2.8,1015,7,7,257,19,Palestine
2020-03-21,9,3,0.0,6.1,2,11,04:21 AM,03:17 PM,05:42 AM,05:52 PM,3,5,7,5,23,82,76,6.8,1013,9,10,289,16,Palestine
2020-03-22,13,6,0.0,11.6,4,4,04:55 AM,04:12 PM,05:40 AM,05:52 PM,5,8,10,8,18,16,72,0.1,1017,13,10,301,12,Palestine
2020-03-23,18,7,0.0,11.6,4,0,05:26 AM,05:06 PM,05:39 AM,05:53 PM,6,14,14,14,7,25,58,0.7,1014,18,10,143,5,Palestine
2020-03-24,18,12,0.0,11.6,4,0,05:55 AM,05:59 PM,05:38 AM,05:54 PM,6,14,15,14,32,30,57,0.2,1008,18,10,223,20,Palestine
2020-03-25,16,11,0.0,11.6,3,3,06:23 AM,06:52 PM,05:37 AM,05:54 PM,8,12,13,12,14,22,72,0.0,1012,16,10,291,10,Palestine
2020-03-26,20,12,0.0,10.2,5,11,06:51 AM,07:46 PM,05:35 AM,05:55 PM,5,15,16,15,15,44,53,0.0,1009,20,10,146,10,Palestine
2020-03-27,18,12,0.0,11.6,5,18,07:21 AM,08:40 PM,05:34 AM,05:56 PM,7,15,15,15,18,6,59,0.0,1009,18,10,301,12,Palestine
2020-03-28,15,11,0.0,11.6,3,25,07:53 AM,09:36 PM,05:33 AM,05:56 PM,9,12,13,12,24,31,77,0.2,1014,15,10,295,17,Palestine
2020-03-29,15,9,0.0,11.6,4,32,08:28 AM,10:33 PM,05:31 AM,05:57 PM,5,9,12,9,33,19,66,0.0,1015,15,10,266,23,Palestine
2020-03-30,21,12,0.0,11.6,5,40,09:08 AM,11:31 PM,05:30 AM,05:58 PM,4,16,17,16,14,10,45,0.0,1014,21,10,222,9,Palestine
2020-03-31,22,15,0.0,8.9,4,44,09:53 AM,No moonset,05:29 AM,05:58 PM,6,18,18,18,30,28,47,0.2,1009,22,10,187,20,Palestine
2020-04-01,14,11,0.0,8.9,3,56,10:45 AM,12:27 AM,05:28 AM,05:59 PM,9,10,13,10,44,59,81,0.8,1012,14,10,264,30,Palestine
2020-04-02,16,11,0.0,12.7,4,64,11:43 AM,01:23 AM,05:26 AM,06:00 PM,8,12,13,12,16,24,73,0.0,1015,16,8,268,11,Palestine
2020-04-03,19,9,0.0,12.8,5,71,12:47 PM,02:14 AM,05:25 AM,06:00 PM,4,15,15,15,16,9,49,0.0,1017,19,10,244,11,Palestine
2020-04-04,24,15,0.0,12.8,6,79,01:55 PM,03:02 AM,05:24 AM,06:01 PM,6,20,20,20,13,10,41,0.0,1016,24,10,102,9,Palestine
2020-04-05,27,15,0.0,12.8,5,87,03:04 PM,03:46 AM,05:23 AM,06:02 PM,6,21,21,21,28,34,40,0.0,1012,27,10,170,16,Palestine
2020-04-06,18,11,0.0,12.8,5,94,04:14 PM,04:26 AM,05:21 AM,06:02 PM,9,14,15,14,15,11,70,0.0,1016,18,10,278,11,Palestine
2020-04-07,18,8,0.0,12.8,4,100,05:25 PM,05:05 AM,05:20 AM,06:03 PM,6,12,13,12,16,6,61,0.0,1015,18,10,274,12,Palestine
2020-04-08,16,9,0.0,12.9,3,100,06:35 PM,05:42 AM,05:19 AM,06:04 PM,6,11,12,11,15,34,69,0.0,1015,16,10,316,11,Palestine
2020-04-09,16,9,0.0,12.9,4,83,07:46 PM,06:20 AM,05:18 AM,06:04 PM,6,13,13,13,18,15,62,0.0,1014,16,10,266,14,Palestine
2020-04-10,14,9,0.0,12.9,3,76,08:56 PM,07:01 AM,05:16 AM,06:05 PM,8,9,12,9,33,47,78,0.6,1013,14,10,272,24,Palestine
2020-04-11,14,9,0.0,11.9,3,68,10:04 PM,07:45 AM,05:15 AM,06:06 PM,8,10,12,10,29,44,79,0.7,1015,14,10,276,21,Palestine
2020-04-12,17,10,0.0,12.9,5,61,11:08 PM,08:33 AM,05:14 AM,06:06 PM,8,14,14,14,11,2,66,0.0,1017,17,10,277,8,Palestine
2020-04-13,18,10,0.0,12.9,5,53,No moonrise,09:26 AM,05:13 AM,06:07 PM,5,14,15,14,15,7,55,0.0,1017,18,10,250,11,Palestine
2020-04-14,22,13,0.0,13.0,5,46,12:07 AM,10:20 AM,05:12 AM,06:08 PM,6,17,17,17,18,4,50,0.0,1015,22,10,244,11,Palestine
2020-04-15,22,16,0.0,13.0,5,38,12:58 AM,11:18 AM,05:10 AM,06:08 PM,8,19,19,19,12,7,50,0.0,1017,22,10,256,8,Palestine
2020-04-16,24,14,0.0,12.0,4,30,01:44 AM,12:15 PM,05:09 AM,06:09 PM,7,18,18,18,26,38,50,0.5,1011,24,10,231,19,Palestine
2020-04-17,16,11,0.0,12.0,3,23,02:23 AM,01:12 PM,05:08 AM,06:10 PM,10,13,14,13,19,42,77,0.7,1011,16,10,299,13,Palestine
2020-04-18,22,13,0.0,13.0,5,15,02:58 AM,02:07 PM,05:07 AM,06:10 PM,10,18,18,18,14,5,63,0.0,1013,22,10,167,10,Palestine
2020-04-19,25,17,0.0,13.1,5,8,03:29 AM,03:01 PM,05:06 AM,06:11 PM,10,22,22,21,11,24,49,0.4,1011,25,10,265,7,Palestine
2020-04-20,26,20,0.0,13.1,6,0,03:58 AM,03:55 PM,05:05 AM,06:12 PM,9,23,23,22,12,5,45,0.0,1010,26,10,235,8,Palestine
2020-04-21,26,18,0.0,13.1,6,0,04:26 AM,04:47 PM,05:04 AM,06:13 PM,11,23,23,22,8,6,47,0.0,1011,26,10,256,5,Palestine
2020-04-22,29,19,0.0,13.1,7,0,04:54 AM,05:41 PM,05:02 AM,06:13 PM,8,25,25,25,21,5,36,0.0,1008,29,10,228,16,Palestine
2020-04-23,20,14,0.0,13.1,5,0,05:24 AM,06:35 PM,05:01 AM,06:14 PM,9,16,17,16,50,34,63,0.1,1011,20,10,268,33,Palestine
2020-04-24,27,15,0.0,13.2,5,7,05:55 AM,07:31 PM,05:00 AM,06:15 PM,6,21,21,21,21,37,45,0.2,1005,27,10,179,13,Palestine
2020-04-25,14,11,0.0,10.9,3,15,06:28 AM,08:28 PM,04:59 AM,06:15 PM,9,11,14,11,51,58,78,0.8,1009,14,10,282,36,Palestine
2020-04-26,17,10,0.0,13.6,4,22,07:07 AM,09:26 PM,04:58 AM,06:16 PM,7,12,14,12,28,24,64,0.3,1013,17,10,277,20,Palestine
2020-04-27,20,10,0.0,12.1,4,30,07:50 AM,10:23 PM,04:57 AM,06:17 PM,6,16,16,16,17,38,49,0.2,1013,20,10,246,13,Palestine
2020-04-28,23,13,0.0,13.6,6,37,08:39 AM,11:18 PM,04:56 AM,06:17 PM,5,18,19,18,13,2,42,0.0,1010,23,10,262,9,Palestine
2020-04-29,19,12,0.0,13.6,5,45,09:35 AM,No moonset,04:55 AM,06:18 PM,8,14,15,14,21,3,63,0.0,1013,19,10,295,15,Palestine
2020-04-30,21,12,0.0,13.7,5,52,10:35 AM,12:10 AM,04:54 AM,06:19 PM,8,16,16,16,16,15,63,0.0,1014,21,10,268,11,Palestine
2020-05-01,22,11,0.0,13.7,5,58,11:40 AM,12:58 AM,04:53 AM,06:20 PM,6,18,18,18,14,5,46,0.0,1013,22,10,254,11,Palestine
2020-05-02,22,16,0.0,13.3,4,65,12:46 PM,01:41 AM,04:52 AM,06:20 PM,4,18,19,18,21,16,38,0.0,1011,22,10,267,15,Palestine
2020-05-03,24,15,0.0,13.7,6,72,01:54 PM,02:21 AM,04:51 AM,06:21 PM,1,19,19,19,15,7,30,0.0,1011,24,10,248,11,Palestine
2020-05-04,25,14,0.0,13.7,6,80,03:02 PM,02:59 AM,04:50 AM,06:22 PM,4,20,20,20,16,2,34,0.0,1011,25,10,278,11,Palestine
2020-05-05,21,13,0.0,13.3,4,87,04:11 PM,03:36 AM,04:50 AM,06:22 PM,8,16,18,16,27,26,55,1.3,1009,21,10,272,20,Palestine
2020-05-06,17,11,0.0,13.7,4,94,05:21 PM,04:12 AM,04:49 AM,06:23 PM,10,13,14,13,44,35,77,0.7,1013,17,10,275,31,Palestine
2020-05-07,23,10,0.0,13.8,5,100,06:31 PM,04:51 AM,04:48 AM,06:24 PM,9,17,18,17,8,1,57,0.0,1014,23,10,256,6,Palestine
2020-05-08,28,15,0.0,13.8,7,100,07:42 PM,05:34 AM,04:47 AM,06:24 PM,4,23,23,23,14,2,28,0.0,1011,28,10,263,10,Palestine
2020-05-09,18,15,0.0,13.3,4,84,08:50 PM,06:20 AM,04:46 AM,06:25 PM,8,17,18,17,42,26,55,0.1,1009,18,10,260,30,Palestine
2020-05-10,21,14,0.0,13.8,5,77,09:53 PM,07:12 AM,04:45 AM,06:26 PM,10,17,18,17,19,5,64,0.0,1015,21,10,281,13,Palestine
2020-05-11,25,14,0.0,13.8,6,70,10:50 PM,08:07 AM,04:45 AM,06:27 PM,5,20,20,20,11,0,37,0.0,1017,25,10,260,7,Palestine
2020-05-12,30,20,0.0,13.8,7,62,11:39 PM,09:05 AM,04:44 AM,06:27 PM,3,24,24,25,13,1,25,0.0,1016,30,10,196,9,Palestine
2020-05-13,33,24,0.0,13.3,7,55,No moonrise,10:04 AM,04:43 AM,06:28 PM,4,27,27,28,15,34,22,0.0,1014,33,10,162,10,Palestine
2020-05-14,34,24,0.0,12.2,7,48,12:21 AM,11:03 AM,04:42 AM,06:29 PM,4,28,28,29,13,39,21,0.0,1011,34,10,266,9,Palestine
2020-05-15,36,25,0.0,13.9,8,40,12:59 AM,11:59 AM,04:42 AM,06:29 PM,2,28,28,30,17,19,17,0.0,1009,36,10,142,12,Palestine
2020-05-16,37,26,0.0,13.9,8,33,01:32 AM,12:54 PM,04:41 AM,06:30 PM,1,31,31,32,27,0,14,0.0,1010,37,10,103,17,Palestine
2020-05-17,39,29,0.0,13.9,9,26,02:01 AM,01:48 PM,04:40 AM,06:31 PM,2,34,34,34,28,0,14,0.0,1010,39,10,104,19,Palestine
2020-05-18,38,29,0.0,13.9,8,19,02:29 AM,02:41 PM,04:40 AM,06:31 PM,2,31,31,33,26,0,14,0.0,1010,38,10,60,17,Palestine
2020-05-19,38,30,0.0,13.9,9,11,02:57 AM,03:35 PM,04:39 AM,06:32 PM,2,33,33,34,32,0,14,0.0,1010,38,10,101,23,Palestine
2020-05-20,37,29,0.0,13.9,8,4,03:26 AM,04:29 PM,04:39 AM,06:33 PM,3,31,31,33,24,0,16,0.0,1009,37,10,169,16,Palestine
2020-05-21,37,28,0.0,14.0,8,0,03:56 AM,05:25 PM,04:38 AM,06:33 PM,1,30,30,32,16,0,14,0.0,1007,37,10,236,12,Palestine
2020-05-22,30,19,0.0,14.0,7,0,04:29 AM,06:21 PM,04:38 AM,06:34 PM,9,25,25,25,23,7,37,0.0,1012,30,10,295,16,Palestine
2020-05-23,23,16,0.0,14.0,4,3,05:06 AM,07:20 PM,04:37 AM,06:35 PM,13,19,19,19,34,33,71,0.1,1014,23,10,272,24,Palestine
2020-05-24,19,14,0.0,9.9,4,10,05:48 AM,08:18 PM,04:37 AM,06:35 PM,8,15,16,15,50,54,62,0.5,1013,19,10,276,37,Palestine
2020-05-25,21,13,0.0,13.4,4,17,06:36 AM,09:15 PM,04:36 AM,06:36 PM,8,17,18,17,31,20,58,0.4,1016,21,10,285,21,Palestine
2020-05-26,28,13,0.0,14.0,6,25,07:30 AM,10:08 PM,04:36 AM,06:37 PM,5,21,21,21,11,5,36,0.0,1015,28,10,201,7,Palestine
2020-05-27,26,17,0.0,14.0,6,32,08:29 AM,10:57 PM,04:35 AM,06:37 PM,7,21,21,21,22,0,42,0.0,1014,26,10,307,15,Palestine
2020-05-28,23,14,0.0,14.0,5,39,09:32 AM,11:41 PM,04:35 AM,06:38 PM,10,18,18,18,25,7,62,0.0,1016,23,10,291,18,Palestine
2020-05-29,21,13,0.0,14.0,5,47,10:36 AM,No moonset,04:35 AM,06:38 PM,8,15,16,15,29,6,65,0.0,1017,21,10,300,21,Palestine
2020-05-30,22,13,0.0,14.1,5,54,11:42 AM,12:21 AM,04:34 AM,06:39 PM,8,17,17,17,20,14,62,0.0,1017,22,10,247,14,Palestine
2020-05-31,24,13,0.0,14.1,6,58,12:48 PM,12:58 AM,04:34 AM,06:40 PM,8,18,18,18,18,0,55,0.0,1015,24,10,238,12,Palestine
2020-06-01,26,14,0.0,14.1,6,71,01:54 PM,01:34 AM,04:34 AM,06:40 PM,8,21,21,21,15,1,47,0.0,1013,26,10,239,10,Palestine
2020-06-02,28,17,0.0,14.1,6,79,03:01 PM,02:09 AM,04:34 AM,06:41 PM,6,24,24,23,33,4,37,0.0,1008,28,10,215,23,Palestine
2020-06-03,24,15,0.0,14.1,6,86,04:10 PM,02:45 AM,04:33 AM,06:41 PM,8,19,20,19,21,9,53,0.0,1012,24,10,263,15,Palestine
2020-06-04,29,20,0.0,14.1,7,94,05:19 PM,03:25 AM,04:33 AM,06:42 PM,6,24,24,24,12,5,33,0.0,1012,29,10,223,8,Palestine
2020-06-05,30,20,0.0,14.1,6,100,06:28 PM,04:08 AM,04:33 AM,06:42 PM,6,24,24,24,18,14,31,0.1,1013,30,10,221,12,Palestine
2020-06-06,32,21,0.0,14.1,7,100,07:35 PM,04:57 AM,04:33 AM,06:43 PM,6,26,26,27,13,0,26,0.0,1011,32,10,244,9,Palestine
