date_time,Solomon%20Islands_maxtempC,Solomon%20Islands_mintempC,Solomon%20Islands_totalSnow_cm,Solomon%20Islands_sunHour,Solomon%20Islands_uvIndex,Solomon%20Islands_moon_illumination,Solomon%20Islands_moonrise,Solomon%20Islands_moonset,Solomon%20Islands_sunrise,Solomon%20Islands_sunset,Solomon%20Islands_DewPointC,Solomon%20Islands_FeelsLikeC,Solomon%20Islands_HeatIndexC,Solomon%20Islands_WindChillC,Solomon%20Islands_WindGustKmph,Solomon%20Islands_cloudcover,Solomon%20Islands_humidity,Solomon%20Islands_precipMM,Solomon%20Islands_pressure,Solomon%20Islands_tempC,Solomon%20Islands_visibility,Solomon%20Islands_winddirDegree,Solomon%20Islands_windspeedKmph,Solomon%20Islands_location
2020-01-11,26,19,0.0,6.2,6,100,07:16 PM,06:11 AM,06:09 AM,06:47 PM,24,28,28,25,9,71,90,38.4,1003,26,7,124,6,Solomon%20Islands
2020-01-12,28,26,0.0,6.2,6,83,08:13 PM,07:12 AM,06:09 AM,06:47 PM,25,31,31,27,29,84,88,39.0,1002,28,7,304,16,Solomon%20Islands
2020-01-13,28,23,0.0,6.2,6,76,09:07 PM,08:13 AM,06:10 AM,06:47 PM,25,31,31,27,31,72,86,42.0,1002,28,8,258,21,Solomon%20Islands
2020-01-14,31,26,0.0,10.2,6,69,09:58 PM,09:13 AM,06:10 AM,06:47 PM,24,32,32,28,22,38,77,0.2,1003,31,10,250,17,Solomon%20Islands
2020-01-15,30,26,0.0,7.5,6,61,10:46 PM,10:10 AM,06:11 AM,06:48 PM,24,32,32,28,29,67,81,10.4,1003,30,9,267,21,Solomon%20Islands
2020-01-16,30,25,0.0,6.2,6,54,11:33 PM,11:05 AM,06:11 AM,06:48 PM,24,31,31,27,23,81,84,137.0,1003,30,7,247,16,Solomon%20Islands
2020-01-17,30,26,0.0,8.9,6,47,No moonrise,11:59 AM,06:12 AM,06:48 PM,23,31,31,28,20,64,78,1.5,1003,30,10,241,15,Solomon%20Islands
2020-01-18,31,25,0.0,8.9,6,40,12:18 AM,12:52 PM,06:12 AM,06:48 PM,23,31,31,27,13,39,78,2.1,1004,31,10,239,9,Solomon%20Islands
2020-01-19,30,25,0.0,8.9,6,32,01:05 AM,01:47 PM,06:12 AM,06:48 PM,23,31,31,27,10,49,78,4.4,1006,30,9,241,7,Solomon%20Islands
2020-01-20,30,25,0.0,8.9,6,25,01:53 AM,02:41 PM,06:13 AM,06:49 PM,23,31,31,27,14,67,79,7.2,1008,30,9,244,9,Solomon%20Islands
2020-01-21,30,25,0.0,8.9,6,18,02:42 AM,03:37 PM,06:13 AM,06:49 PM,23,31,31,27,10,69,80,14.2,1009,30,9,198,6,Solomon%20Islands
2020-01-22,29,26,0.0,6.2,6,11,03:34 AM,04:32 PM,06:14 AM,06:49 PM,24,31,31,27,12,79,82,19.3,1009,29,8,217,7,Solomon%20Islands
2020-01-23,30,25,0.0,8.9,6,3,04:27 AM,05:27 PM,06:14 AM,06:49 PM,23,31,31,27,11,48,76,1.4,1009,30,10,259,8,Solomon%20Islands
2020-01-24,29,25,0.0,7.5,6,0,05:22 AM,06:20 PM,06:15 AM,06:49 PM,24,31,31,27,14,52,80,4.9,1008,29,10,263,10,Solomon%20Islands
2020-01-25,31,26,0.0,8.9,6,0,06:15 AM,07:09 PM,06:15 AM,06:49 PM,24,32,32,28,12,61,81,12.1,1006,31,9,244,8,Solomon%20Islands
2020-01-26,30,25,0.0,8.9,6,4,07:07 AM,07:55 PM,06:16 AM,06:49 PM,24,31,31,28,9,41,80,2.8,1006,30,10,256,7,Solomon%20Islands
2020-01-27,30,26,0.0,6.2,6,11,07:56 AM,08:38 PM,06:16 AM,06:49 PM,24,32,32,28,9,80,81,7.4,1006,30,9,236,6,Solomon%20Islands
2020-01-28,30,26,0.0,11.6,7,18,08:43 AM,09:19 PM,06:16 AM,06:49 PM,23,31,31,28,8,12,76,1.3,1007,30,10,277,6,Solomon%20Islands
2020-01-29,30,26,0.0,6.2,6,26,09:29 AM,09:57 PM,06:17 AM,06:49 PM,24,32,32,28,9,64,78,12.1,1008,30,9,245,6,Solomon%20Islands
2020-01-30,30,26,0.0,8.9,6,33,10:13 AM,10:34 PM,06:17 AM,06:49 PM,23,31,31,28,8,65,79,6.8,1006,30,9,160,6,Solomon%20Islands
2020-01-31,31,26,0.0,6.2,6,37,10:57 AM,11:12 PM,06:18 AM,06:49 PM,24,32,32,28,9,72,79,12.8,1007,31,9,173,6,Solomon%20Islands
2020-02-01,29,26,0.0,6.2,6,49,11:42 AM,11:50 PM,06:18 AM,06:49 PM,24,31,31,27,10,73,82,32.0,1008,29,7,91,6,Solomon%20Islands
2020-02-02,29,23,0.0,6.2,6,57,12:27 PM,No moonset,06:18 AM,06:49 PM,24,31,31,27,14,74,85,35.7,1008,29,7,245,8,Solomon%20Islands
2020-02-03,30,26,0.0,6.2,6,64,01:16 PM,12:31 AM,06:19 AM,06:49 PM,24,32,32,28,16,80,82,17.8,1008,30,9,275,10,Solomon%20Islands
2020-02-04,30,27,0.0,6.2,6,72,02:06 PM,01:15 AM,06:19 AM,06:49 PM,25,33,33,28,17,76,82,5.6,1007,30,9,280,13,Solomon%20Islands
2020-02-05,31,27,0.0,6.2,6,79,03:01 PM,02:02 AM,06:19 AM,06:49 PM,25,33,33,28,23,83,81,7.0,1006,31,9,270,17,Solomon%20Islands
2020-02-06,31,27,0.0,6.1,6,87,03:58 PM,02:55 AM,06:20 AM,06:48 PM,25,33,33,28,23,76,81,8.4,1006,31,9,273,17,Solomon%20Islands
2020-02-07,30,27,0.0,8.9,6,95,04:57 PM,03:52 AM,06:20 AM,06:48 PM,25,33,33,28,23,64,82,3.6,1006,30,10,270,19,Solomon%20Islands
2020-02-08,30,27,0.0,8.9,6,100,05:56 PM,04:53 AM,06:20 AM,06:48 PM,24,32,32,28,28,67,81,5.1,1004,30,10,271,22,Solomon%20Islands
2020-02-09,30,27,0.0,7.5,6,100,06:53 PM,05:55 AM,06:20 AM,06:48 PM,24,32,32,28,26,71,82,10.5,1004,30,10,267,19,Solomon%20Islands
2020-02-10,30,27,0.0,8.9,6,83,07:47 PM,06:56 AM,06:21 AM,06:48 PM,25,32,32,28,28,62,83,12.2,1005,30,9,271,20,Solomon%20Islands
2020-02-11,28,27,0.0,7.5,6,75,08:38 PM,07:57 AM,06:21 AM,06:47 PM,25,32,32,27,25,61,86,7.3,1006,28,10,275,19,Solomon%20Islands
2020-02-12,31,23,0.0,10.2,6,68,09:27 PM,08:55 AM,06:21 AM,06:47 PM,24,32,32,28,20,48,79,1.0,1007,31,10,273,16,Solomon%20Islands
2020-02-13,30,27,0.0,10.2,6,60,10:14 PM,09:51 AM,06:21 AM,06:47 PM,24,32,32,28,19,65,82,8.1,1007,30,10,265,13,Solomon%20Islands
2020-02-14,30,26,0.0,8.9,6,53,11:02 PM,10:47 AM,06:22 AM,06:47 PM,24,32,32,28,20,64,80,4.8,1007,30,10,265,15,Solomon%20Islands
2020-02-15,26,25,0.0,7.5,6,45,11:50 PM,11:42 AM,06:22 AM,06:46 PM,24,29,29,26,29,72,89,82.3,1006,26,7,247,19,Solomon%20Islands
2020-02-16,27,25,0.0,6.1,6,38,No moonrise,12:37 PM,06:22 AM,06:46 PM,23,29,29,26,25,83,85,9.2,1005,27,10,251,19,Solomon%20Islands
2020-02-17,27,26,0.0,6.1,6,30,12:40 AM,01:33 PM,06:22 AM,06:46 PM,24,30,30,26,22,77,87,27.5,1005,27,8,248,16,Solomon%20Islands
2020-02-18,26,20,0.0,6.1,6,22,01:31 AM,02:28 PM,06:22 AM,06:45 PM,24,28,28,25,19,75,88,34.5,1004,26,7,255,13,Solomon%20Islands
2020-02-19,30,26,0.0,7.5,6,15,02:23 AM,03:23 PM,06:23 AM,06:45 PM,23,31,31,27,18,61,79,7.9,1004,30,9,253,12,Solomon%20Islands
2020-02-20,30,26,0.0,6.1,6,7,03:17 AM,04:15 PM,06:23 AM,06:45 PM,24,32,32,28,21,68,81,6.6,1006,30,9,260,16,Solomon%20Islands
2020-02-21,30,26,0.0,6.1,6,0,04:09 AM,05:05 PM,06:23 AM,06:44 PM,24,32,32,27,16,71,83,26.6,1007,30,8,249,10,Solomon%20Islands
2020-02-22,30,26,0.0,10.2,6,0,05:01 AM,05:52 PM,06:23 AM,06:44 PM,24,31,31,27,7,43,80,10.9,1008,30,9,192,5,Solomon%20Islands
2020-02-23,30,26,0.0,8.9,6,0,05:51 AM,06:35 PM,06:23 AM,06:44 PM,24,32,32,28,6,63,82,18.2,1008,30,9,222,4,Solomon%20Islands
2020-02-24,29,26,0.0,6.1,6,0,06:39 AM,07:16 PM,06:23 AM,06:43 PM,24,32,32,28,7,77,82,11.6,1008,29,9,109,5,Solomon%20Islands
2020-02-25,29,26,0.0,6.1,6,8,07:25 AM,07:55 PM,06:23 AM,06:43 PM,24,32,32,27,5,79,82,18.6,1008,29,8,182,4,Solomon%20Islands
2020-02-26,30,26,0.0,8.8,6,15,08:09 AM,08:32 PM,06:24 AM,06:42 PM,24,31,31,27,7,64,81,3.9,1007,30,9,207,5,Solomon%20Islands
2020-02-27,30,26,0.0,8.8,6,23,08:53 AM,09:10 PM,06:24 AM,06:42 PM,24,31,31,27,7,53,81,4.1,1007,30,10,226,6,Solomon%20Islands
2020-02-28,30,26,0.0,8.8,6,30,09:38 AM,09:48 PM,06:24 AM,06:42 PM,24,31,31,27,6,60,81,1.6,1007,30,10,107,5,Solomon%20Islands
2020-02-29,29,26,0.0,8.8,6,38,10:22 AM,10:27 PM,06:24 AM,06:41 PM,24,32,32,28,6,50,81,2.0,1007,29,10,106,5,Solomon%20Islands
2020-03-01,31,26,0.0,11.6,6,44,11:09 AM,11:09 PM,06:24 AM,06:41 PM,23,32,32,28,10,36,77,0.6,1008,31,10,112,8,Solomon%20Islands
2020-03-02,31,26,0.0,11.6,6,51,11:58 AM,11:54 PM,06:24 AM,06:40 PM,24,32,32,28,8,27,76,0.8,1008,31,10,142,6,Solomon%20Islands
2020-03-03,31,26,0.0,8.8,6,58,12:49 PM,No moonset,06:24 AM,06:40 PM,24,33,33,28,8,38,79,14.1,1008,31,9,251,5,Solomon%20Islands
2020-03-04,31,27,0.0,6.1,6,65,01:44 PM,12:43 AM,06:24 AM,06:39 PM,24,33,33,28,7,73,80,11.8,1007,31,9,108,5,Solomon%20Islands
2020-03-05,30,27,0.0,7.5,6,73,02:40 PM,01:36 AM,06:24 AM,06:39 PM,25,33,33,28,7,73,82,21.9,1007,30,8,191,5,Solomon%20Islands
2020-03-06,30,26,0.0,6.1,6,80,03:38 PM,02:33 AM,06:24 AM,06:38 PM,24,32,32,28,8,78,81,17.7,1007,30,8,143,5,Solomon%20Islands
2020-03-07,30,26,0.0,8.8,6,87,04:34 PM,03:34 AM,06:24 AM,06:38 PM,24,32,32,28,8,54,80,3.2,1006,30,10,144,6,Solomon%20Islands
2020-03-08,30,26,0.0,8.8,6,95,05:30 PM,04:35 AM,06:24 AM,06:37 PM,24,32,32,28,10,65,80,12.9,1007,30,9,121,7,Solomon%20Islands
2020-03-09,30,26,0.0,7.4,6,100,06:23 PM,05:37 AM,06:24 AM,06:37 PM,24,32,32,28,8,57,81,11.4,1007,30,9,122,5,Solomon%20Islands
2020-03-10,28,26,0.0,6.1,6,100,07:14 PM,06:36 AM,06:24 AM,06:36 PM,24,31,31,27,15,75,87,29.5,1007,28,7,192,9,Solomon%20Islands
2020-03-11,27,24,0.0,6.1,6,84,08:03 PM,07:35 AM,06:24 AM,06:36 PM,24,29,29,26,12,78,89,36.2,1008,27,7,225,7,Solomon%20Islands
2020-03-12,27,23,0.0,6.1,6,76,08:53 PM,08:33 AM,06:24 AM,06:35 PM,24,30,30,26,20,95,91,52.5,1009,27,6,253,10,Solomon%20Islands
2020-03-13,28,25,0.0,10.2,6,69,09:43 PM,09:31 AM,06:24 AM,06:35 PM,23,29,29,26,18,65,86,59.6,1008,28,8,254,13,Solomon%20Islands
2020-03-14,29,23,0.0,6.1,6,62,10:33 PM,10:28 AM,06:24 AM,06:34 PM,24,31,31,27,15,74,84,18.2,1006,29,9,273,9,Solomon%20Islands
2020-03-15,30,26,0.0,11.6,6,55,11:26 PM,11:26 AM,06:24 AM,06:33 PM,24,31,31,27,13,65,81,7.5,1008,30,10,288,9,Solomon%20Islands
2020-03-16,29,26,0.0,7.4,6,47,No moonrise,12:23 PM,06:24 AM,06:33 PM,24,31,31,27,11,71,83,17.8,1010,29,9,282,7,Solomon%20Islands
2020-03-17,30,26,0.0,6.0,6,40,12:19 AM,01:19 PM,06:24 AM,06:32 PM,24,31,31,27,10,74,82,10.5,1011,30,9,260,7,Solomon%20Islands
2020-03-18,29,26,0.0,8.8,6,33,01:13 AM,02:12 PM,06:24 AM,06:32 PM,24,31,31,27,9,59,84,20.1,1010,29,9,207,6,Solomon%20Islands
2020-03-19,30,26,0.0,6.0,6,25,02:06 AM,03:03 PM,06:24 AM,06:31 PM,24,31,31,27,8,69,82,7.4,1010,30,9,112,6,Solomon%20Islands
2020-03-20,30,26,0.0,8.8,6,18,02:58 AM,03:51 PM,06:24 AM,06:31 PM,24,31,31,27,7,63,80,6.5,1010,30,9,201,5,Solomon%20Islands
2020-03-21,30,26,0.0,6.0,6,11,03:48 AM,04:34 PM,06:24 AM,06:30 PM,24,31,31,27,6,75,80,23.2,1010,30,8,200,4,Solomon%20Islands
2020-03-22,30,26,0.0,8.8,6,4,04:36 AM,05:16 PM,06:24 AM,06:30 PM,24,32,32,28,9,65,81,16.6,1009,30,8,117,6,Solomon%20Islands
2020-03-23,30,26,0.0,6.0,6,0,05:23 AM,05:55 PM,06:24 AM,06:29 PM,24,31,31,27,9,61,81,16.7,1007,30,9,136,6,Solomon%20Islands
2020-03-24,30,26,0.0,6.0,6,0,06:07 AM,06:32 PM,06:24 AM,06:28 PM,23,31,31,28,6,71,77,11.5,1007,30,9,130,4,Solomon%20Islands
2020-03-25,30,26,0.0,8.8,6,3,06:51 AM,07:10 PM,06:24 AM,06:28 PM,23,31,31,28,7,62,76,8.1,1008,30,10,113,5,Solomon%20Islands
2020-03-26,31,26,0.0,7.4,6,11,07:35 AM,07:48 PM,06:24 AM,06:27 PM,23,31,31,28,7,66,77,8.3,1009,31,9,152,5,Solomon%20Islands
2020-03-27,31,26,0.0,6.0,6,18,08:20 AM,08:26 PM,06:24 AM,06:27 PM,23,31,31,28,10,63,77,30.7,1008,31,8,201,6,Solomon%20Islands
2020-03-28,30,26,0.0,6.0,6,25,09:06 AM,09:07 PM,06:24 AM,06:26 PM,24,31,31,27,8,69,81,38.8,1007,30,7,198,5,Solomon%20Islands
2020-03-29,27,23,0.0,8.8,6,32,09:53 AM,09:50 PM,06:24 AM,06:26 PM,24,29,29,26,12,74,90,51.5,1007,27,7,141,6,Solomon%20Islands
2020-03-30,29,26,0.0,6.0,6,40,10:43 AM,10:37 PM,06:24 AM,06:25 PM,24,31,31,27,9,77,81,28.0,1007,29,8,179,5,Solomon%20Islands
2020-03-31,29,21,0.0,6.0,6,44,11:36 AM,11:28 PM,06:24 AM,06:25 PM,24,30,30,26,7,74,85,23.6,1007,29,8,271,4,Solomon%20Islands
2020-04-01,30,26,0.0,7.4,6,56,12:30 PM,No moonset,06:24 AM,06:24 PM,24,31,31,27,12,69,81,27.4,1007,30,8,203,7,Solomon%20Islands
2020-04-02,26,24,0.0,6.0,6,64,01:26 PM,12:21 AM,06:24 AM,06:23 PM,24,29,29,25,19,99,92,84.3,1006,26,5,224,10,Solomon%20Islands
2020-04-03,27,23,0.0,6.0,6,71,02:21 PM,01:19 AM,06:23 AM,06:23 PM,25,30,30,26,47,94,92,121.2,1003,27,5,274,25,Solomon%20Islands
2020-04-04,30,23,0.0,8.8,6,79,03:15 PM,02:18 AM,06:23 AM,06:22 PM,23,30,30,27,22,45,78,1.3,1006,30,10,260,17,Solomon%20Islands
2020-04-05,29,25,0.0,7.4,6,87,04:08 PM,03:18 AM,06:23 AM,06:22 PM,23,30,30,27,23,56,80,2.3,1007,29,10,273,18,Solomon%20Islands
2020-04-06,27,26,0.0,6.0,6,94,04:59 PM,04:16 AM,06:23 AM,06:21 PM,24,30,30,27,22,73,88,45.9,1007,27,7,267,12,Solomon%20Islands
2020-04-07,28,25,0.0,7.4,6,100,05:49 PM,05:15 AM,06:23 AM,06:21 PM,24,29,29,26,8,70,88,43.5,1007,28,8,229,5,Solomon%20Islands
2020-04-08,30,25,0.0,10.2,6,100,06:38 PM,06:13 AM,06:23 AM,06:20 PM,23,30,30,27,8,30,78,3.7,1008,30,10,197,6,Solomon%20Islands
2020-04-09,29,26,0.0,8.8,6,83,07:29 PM,07:12 AM,06:23 AM,06:20 PM,24,31,31,27,7,33,81,3.7,1010,29,10,120,5,Solomon%20Islands
2020-04-10,29,26,0.0,7.4,6,76,08:20 PM,08:11 AM,06:23 AM,06:19 PM,24,31,31,27,8,73,83,13.5,1011,29,9,122,6,Solomon%20Islands
2020-04-11,29,25,0.0,6.0,6,68,09:14 PM,09:11 AM,06:23 AM,06:19 PM,23,31,31,27,9,77,81,11.9,1011,29,9,93,6,Solomon%20Islands
2020-04-12,30,25,0.0,8.8,6,61,10:09 PM,10:11 AM,06:23 AM,06:18 PM,23,31,31,27,10,43,79,5.2,1010,30,9,95,7,Solomon%20Islands
2020-04-13,30,25,0.0,7.4,6,53,11:05 PM,11:10 AM,06:23 AM,06:18 PM,24,31,31,27,10,70,81,9.5,1011,30,9,111,7,Solomon%20Islands
2020-04-14,31,26,0.0,8.8,6,46,12:00 AM,12:06 PM,06:23 AM,06:17 PM,24,32,32,28,18,62,80,17.2,1012,31,9,115,12,Solomon%20Islands
2020-04-15,30,26,0.0,7.4,6,38,No moonrise,12:59 PM,06:23 AM,06:17 PM,24,32,32,28,11,51,82,15.3,1011,30,9,119,7,Solomon%20Islands
2020-04-16,30,25,0.0,7.4,6,30,12:53 AM,01:48 PM,06:23 AM,06:16 PM,23,31,31,27,11,67,79,13.4,1010,30,9,114,8,Solomon%20Islands
2020-04-17,28,26,0.0,8.8,6,23,01:45 AM,02:33 PM,06:23 AM,06:16 PM,23,30,30,26,12,71,82,15.6,1011,28,9,144,8,Solomon%20Islands
2020-04-18,29,25,0.0,7.4,6,15,02:33 AM,03:16 PM,06:23 AM,06:15 PM,23,30,30,27,7,68,82,16.6,1010,29,9,147,5,Solomon%20Islands
2020-04-19,29,25,0.0,6.0,6,8,03:21 AM,03:55 PM,06:23 AM,06:15 PM,24,31,31,27,8,70,81,16.4,1010,29,9,100,5,Solomon%20Islands
2020-04-20,30,26,0.0,7.4,6,0,04:05 AM,04:33 PM,06:23 AM,06:14 PM,23,31,31,27,8,74,81,25.5,1010,30,7,204,5,Solomon%20Islands
2020-04-21,29,25,0.0,8.8,6,0,04:49 AM,05:11 PM,06:23 AM,06:14 PM,23,30,30,27,8,64,82,10.6,1010,29,9,113,5,Solomon%20Islands
2020-04-22,30,26,0.0,6.0,6,0,05:34 AM,05:48 PM,06:23 AM,06:14 PM,24,31,31,27,9,84,80,8.3,1009,30,9,111,6,Solomon%20Islands
2020-04-23,30,26,0.0,6.0,6,0,06:18 AM,06:26 PM,06:23 AM,06:13 PM,24,31,31,28,15,72,80,13.1,1009,30,9,117,10,Solomon%20Islands
2020-04-24,28,25,0.0,6.0,6,7,07:03 AM,07:06 PM,06:23 AM,06:13 PM,23,30,30,26,9,75,83,29.3,1009,28,8,177,5,Solomon%20Islands
2020-04-25,29,25,0.0,8.8,6,15,07:51 AM,07:49 PM,06:23 AM,06:12 PM,23,30,30,27,10,52,81,0.8,1009,29,10,98,7,Solomon%20Islands
2020-04-26,30,25,0.0,5.9,6,22,08:40 AM,08:34 PM,06:24 AM,06:12 PM,24,31,31,27,11,81,82,12.3,1009,30,9,118,7,Solomon%20Islands
2020-04-27,30,26,0.0,5.9,6,30,09:32 AM,09:24 PM,06:24 AM,06:12 PM,24,31,31,27,8,77,81,23.1,1008,30,7,235,5,Solomon%20Islands
2020-04-28,30,25,0.0,8.8,6,37,10:25 AM,10:16 PM,06:24 AM,06:11 PM,24,31,31,27,7,47,81,3.5,1008,30,10,104,5,Solomon%20Islands
2020-04-29,30,26,0.0,8.8,6,45,11:20 AM,11:12 PM,06:24 AM,06:11 PM,24,32,32,27,12,56,83,7.5,1008,30,9,114,9,Solomon%20Islands
2020-04-30,30,25,0.0,8.8,6,52,12:14 PM,No moonset,06:24 AM,06:11 PM,24,32,32,28,11,43,80,4.3,1009,30,10,120,8,Solomon%20Islands
2020-05-01,30,26,0.0,5.9,6,58,01:07 PM,12:08 AM,06:24 AM,06:10 PM,24,32,32,28,14,70,81,5.9,1008,30,9,111,10,Solomon%20Islands
2020-05-02,30,26,0.0,7.3,6,65,01:59 PM,01:06 AM,06:24 AM,06:10 PM,24,32,32,28,16,63,81,6.2,1008,30,9,109,12,Solomon%20Islands
2020-05-03,30,26,0.0,5.9,6,72,02:48 PM,02:03 AM,06:24 AM,06:10 PM,24,32,32,28,14,79,82,8.3,1009,30,9,109,9,Solomon%20Islands
2020-05-04,30,26,0.0,7.3,6,80,03:37 PM,03:00 AM,06:24 AM,06:09 PM,24,31,31,27,9,74,81,7.1,1010,30,9,116,7,Solomon%20Islands
2020-05-05,30,26,0.0,8.8,6,87,04:25 PM,03:57 AM,06:24 AM,06:09 PM,23,31,31,27,6,56,78,2.3,1009,30,10,165,5,Solomon%20Islands
2020-05-06,30,25,0.0,10.2,6,94,05:14 PM,04:53 AM,06:24 AM,06:09 PM,23,30,30,27,7,52,77,4.4,1009,30,9,225,5,Solomon%20Islands
2020-05-07,30,25,0.0,8.8,6,100,06:04 PM,05:52 AM,06:25 AM,06:09 PM,23,30,30,27,9,34,77,0.7,1010,30,10,118,7,Solomon%20Islands
2020-05-08,29,26,0.0,5.9,6,100,06:57 PM,06:51 AM,06:25 AM,06:08 PM,24,31,31,27,9,72,85,9.6,1010,29,9,124,7,Solomon%20Islands
2020-05-09,30,26,0.0,5.9,6,84,07:53 PM,07:52 AM,06:25 AM,06:08 PM,24,31,31,27,13,74,83,6.5,1011,30,9,118,9,Solomon%20Islands
2020-05-10,31,26,0.0,5.9,6,77,08:50 PM,08:53 AM,06:25 AM,06:08 PM,25,32,32,28,15,74,82,12.9,1010,31,9,115,10,Solomon%20Islands
2020-05-11,30,26,0.0,5.9,6,70,09:48 PM,09:53 AM,06:25 AM,06:08 PM,24,32,32,28,12,72,82,12.3,1009,30,9,124,8,Solomon%20Islands
2020-05-12,30,26,0.0,8.8,6,62,10:44 PM,10:49 AM,06:25 AM,06:07 PM,24,32,32,27,15,64,84,18.2,1010,30,8,129,9,Solomon%20Islands
2020-05-13,30,25,0.0,8.8,6,55,11:38 PM,11:42 AM,06:25 AM,06:07 PM,24,31,31,27,15,62,83,19.6,1010,30,8,125,10,Solomon%20Islands
2020-05-14,30,26,0.0,5.9,6,48,No moonrise,12:29 PM,06:26 AM,06:07 PM,24,31,31,27,17,70,84,17.9,1010,30,8,120,11,Solomon%20Islands
2020-05-15,28,26,0.0,5.9,6,40,12:28 AM,01:14 PM,06:26 AM,06:07 PM,23,30,30,27,8,71,82,8.3,1010,28,9,155,6,Solomon%20Islands
2020-05-16,28,25,0.0,5.9,6,33,01:17 AM,01:54 PM,06:26 AM,06:07 PM,24,31,31,27,12,84,85,11.8,1010,28,9,123,8,Solomon%20Islands
2020-05-17,30,25,0.0,10.2,6,26,02:02 AM,02:33 PM,06:26 AM,06:07 PM,24,31,31,27,11,51,81,1.0,1010,30,10,114,8,Solomon%20Islands
2020-05-18,30,26,0.0,8.8,6,19,02:47 AM,03:10 PM,06:26 AM,06:07 PM,24,32,32,28,16,61,81,5.0,1010,30,10,112,12,Solomon%20Islands
2020-05-19,30,26,0.0,11.6,7,11,03:31 AM,03:47 PM,06:27 AM,06:06 PM,24,32,32,28,18,14,80,0.1,1010,30,10,109,14,Solomon%20Islands
2020-05-20,30,26,0.0,8.7,6,4,04:15 AM,04:25 PM,06:27 AM,06:06 PM,24,32,32,27,20,38,83,4.8,1009,30,9,113,14,Solomon%20Islands
2020-05-21,30,26,0.0,8.7,6,0,05:00 AM,05:05 PM,06:27 AM,06:06 PM,24,32,32,27,21,45,84,4.5,1009,30,10,113,15,Solomon%20Islands
2020-05-22,30,26,0.0,8.7,6,0,05:47 AM,05:47 PM,06:27 AM,06:06 PM,24,32,32,27,19,46,83,2.4,1009,30,10,109,14,Solomon%20Islands
2020-05-23,30,26,0.0,5.9,6,3,06:36 AM,06:31 PM,06:27 AM,06:06 PM,24,32,32,27,19,75,82,5.7,1009,30,9,110,14,Solomon%20Islands
2020-05-24,30,26,0.0,8.7,6,10,07:28 AM,07:20 PM,06:28 AM,06:06 PM,24,31,31,27,6,62,82,4.9,1011,30,9,184,4,Solomon%20Islands
2020-05-25,30,26,0.0,5.9,6,17,08:21 AM,08:12 PM,06:28 AM,06:06 PM,24,31,31,27,9,74,82,13.8,1012,30,9,141,6,Solomon%20Islands
2020-05-26,30,26,0.0,11.6,7,25,09:16 AM,09:07 PM,06:28 AM,06:06 PM,24,31,31,27,21,17,81,2.3,1013,30,10,110,16,Solomon%20Islands
