date_time,Paraguay_maxtempC,Paraguay_mintempC,Paraguay_totalSnow_cm,Paraguay_sunHour,Paraguay_uvIndex,Paraguay_moon_illumination,Paraguay_moonrise,Paraguay_moonset,Paraguay_sunrise,Paraguay_sunset,Paraguay_DewPointC,Paraguay_FeelsLikeC,Paraguay_HeatIndexC,Paraguay_WindChillC,Paraguay_WindGustKmph,Paraguay_cloudcover,Paraguay_humidity,Paraguay_precipMM,Paraguay_pressure,Paraguay_tempC,Paraguay_visibility,Paraguay_winddirDegree,Paraguay_windspeedKmph,Paraguay_location
2020-01-11,41,27,0.0,11.6,8,100,08:49 PM,06:48 AM,06:10 AM,07:46 PM,22,38,38,34,17,48,56,2.2,1005,41,10,80,11,Paraguay
2020-01-12,40,26,0.0,11.6,8,83,09:40 PM,07:53 AM,06:11 AM,07:46 PM,23,37,37,33,17,52,66,5.7,1006,40,9,170,11,Paraguay
2020-01-13,34,26,0.0,9.1,7,76,10:26 PM,08:59 AM,06:12 AM,07:46 PM,24,34,34,30,12,64,77,4.6,1007,34,10,97,8,Paraguay
2020-01-14,36,25,0.0,9.1,7,69,11:08 PM,10:04 AM,06:13 AM,07:46 PM,23,34,34,30,18,60,69,0.5,1007,36,10,68,13,Paraguay
2020-01-15,40,25,0.0,11.6,8,61,11:48 PM,11:07 AM,06:13 AM,07:46 PM,22,36,36,33,20,26,60,0.9,1005,40,10,151,14,Paraguay
2020-01-16,37,28,0.0,9.1,7,54,No moonrise,12:09 PM,06:14 AM,07:46 PM,22,36,36,32,17,52,59,6.3,1009,37,9,128,11,Paraguay
2020-01-17,37,25,0.0,11.6,8,47,12:26 AM,01:10 PM,06:15 AM,07:46 PM,21,34,34,31,14,34,62,0.0,1012,37,10,136,10,Paraguay
2020-01-18,37,26,0.0,10.4,7,40,01:06 AM,02:10 PM,06:16 AM,07:46 PM,21,36,36,32,14,36,54,0.0,1010,37,10,65,10,Paraguay
2020-01-19,40,26,0.0,11.6,8,32,01:46 AM,03:11 PM,06:17 AM,07:46 PM,22,36,36,32,15,32,59,1.6,1008,40,10,36,11,Paraguay
2020-01-20,42,28,0.0,11.6,9,25,02:29 AM,04:11 PM,06:17 AM,07:46 PM,19,38,38,35,15,16,47,0.0,1006,42,10,37,11,Paraguay
2020-01-21,31,24,0.0,9.1,6,18,03:16 AM,05:11 PM,06:18 AM,07:45 PM,22,31,31,28,20,56,71,8.1,1005,31,9,116,14,Paraguay
2020-01-22,33,25,0.0,6.6,6,11,04:06 AM,06:08 PM,06:19 AM,07:45 PM,23,31,31,28,14,76,76,18.0,1005,33,8,139,8,Paraguay
2020-01-23,30,21,0.0,6.6,6,3,04:59 AM,07:01 PM,06:20 AM,07:45 PM,20,28,28,26,15,78,72,0.2,1007,30,8,148,11,Paraguay
2020-01-24,36,22,0.0,11.6,8,0,05:54 AM,07:49 PM,06:20 AM,07:45 PM,15,31,31,29,15,8,49,0.0,1008,36,10,149,10,Paraguay
2020-01-25,40,23,0.0,11.6,8,0,06:50 AM,08:32 PM,06:21 AM,07:44 PM,13,34,34,32,13,2,36,0.0,1007,40,10,168,9,Paraguay
2020-01-26,42,26,0.0,11.6,9,4,07:45 AM,09:12 PM,06:22 AM,07:44 PM,12,36,36,35,12,3,31,0.0,1006,42,10,173,8,Paraguay
2020-01-27,40,25,0.0,11.6,8,11,08:38 AM,09:48 PM,06:23 AM,07:44 PM,14,34,34,33,14,12,36,0.0,1007,40,10,111,9,Paraguay
2020-01-28,40,26,0.0,11.6,9,18,09:30 AM,10:20 PM,06:23 AM,07:43 PM,15,34,34,33,12,28,36,0.0,1005,40,10,45,8,Paraguay
2020-01-29,40,28,0.0,10.3,7,26,10:20 AM,10:52 PM,06:24 AM,07:43 PM,20,35,35,33,20,59,56,14.7,1005,40,9,143,14,Paraguay
2020-01-30,25,21,0.0,6.6,5,33,11:11 AM,11:24 PM,06:25 AM,07:43 PM,22,25,25,23,15,83,94,150.2,1009,25,7,207,9,Paraguay
2020-01-31,32,22,0.0,9.1,6,37,12:01 PM,11:56 PM,06:26 AM,07:42 PM,21,30,30,27,8,51,74,0.7,1010,32,9,234,5,Paraguay
2020-02-01,37,24,0.0,11.6,8,49,12:52 PM,No moonset,06:26 AM,07:42 PM,20,33,33,31,6,8,57,0.0,1009,37,10,146,4,Paraguay
2020-02-02,37,25,0.0,11.6,8,57,01:45 PM,12:29 AM,06:27 AM,07:41 PM,21,35,35,31,10,12,59,0.0,1009,37,10,64,7,Paraguay
2020-02-03,37,26,0.0,11.6,8,64,02:40 PM,01:07 AM,06:28 AM,07:41 PM,22,36,36,32,11,19,60,0.0,1008,37,10,62,8,Paraguay
2020-02-04,37,27,0.0,11.6,7,72,03:38 PM,01:48 AM,06:29 AM,07:40 PM,22,35,35,32,18,17,60,0.0,1006,37,10,42,13,Paraguay
2020-02-05,37,26,0.0,11.6,7,79,04:36 PM,02:34 AM,06:29 AM,07:40 PM,22,35,35,31,22,26,62,0.5,1006,37,10,48,15,Paraguay
2020-02-06,37,25,0.0,11.6,7,87,05:36 PM,03:28 AM,06:30 AM,07:39 PM,23,35,35,31,19,49,69,9.7,1007,37,9,132,12,Paraguay
2020-02-07,37,27,0.0,10.3,7,95,06:33 PM,04:27 AM,06:31 AM,07:38 PM,23,34,34,30,13,58,68,2.6,1007,37,10,83,8,Paraguay
2020-02-08,37,26,0.0,11.6,8,100,07:27 PM,05:32 AM,06:31 AM,07:38 PM,22,35,35,32,10,17,60,0.0,1006,37,10,62,7,Paraguay
2020-02-09,37,26,0.0,11.6,7,100,08:16 PM,06:39 AM,06:32 AM,07:37 PM,22,35,35,31,14,42,64,0.9,1007,37,10,80,10,Paraguay
2020-02-10,36,25,0.0,11.6,8,83,09:02 PM,07:47 AM,06:33 AM,07:37 PM,17,31,31,30,17,30,53,0.0,1011,36,10,143,12,Paraguay
2020-02-11,37,25,0.0,11.6,8,75,09:44 PM,08:53 AM,06:34 AM,07:36 PM,13,32,32,31,17,5,35,0.0,1011,37,10,136,11,Paraguay
2020-02-12,37,26,0.0,11.6,8,68,10:24 PM,09:58 AM,06:34 AM,07:35 PM,18,33,33,31,13,12,49,0.0,1009,37,10,67,9,Paraguay
2020-02-13,38,26,0.0,11.6,8,60,11:05 PM,11:01 AM,06:35 AM,07:35 PM,20,34,34,31,19,12,54,0.0,1007,38,10,55,13,Paraguay
2020-02-14,38,26,0.0,11.6,8,53,11:46 PM,12:03 PM,06:36 AM,07:34 PM,21,35,35,32,20,18,56,0.1,1008,38,10,79,14,Paraguay
2020-02-15,35,27,0.0,10.3,7,45,No moonrise,01:05 PM,06:36 AM,07:33 PM,23,35,35,31,18,51,63,1.0,1007,35,10,52,12,Paraguay
2020-02-16,38,25,0.0,11.6,7,38,12:28 AM,02:06 PM,06:37 AM,07:32 PM,23,36,36,31,20,50,67,2.3,1005,38,9,131,13,Paraguay
2020-02-17,39,28,0.0,11.6,9,30,01:14 AM,03:06 PM,06:37 AM,07:32 PM,23,38,38,33,22,17,56,0.0,1003,39,10,74,15,Paraguay
2020-02-18,33,23,0.0,7.7,6,22,02:03 AM,04:03 PM,06:38 AM,07:31 PM,22,32,32,28,27,50,73,12.1,1007,33,9,146,17,Paraguay
2020-02-19,38,25,0.0,10.3,7,15,02:54 AM,04:57 PM,06:39 AM,07:30 PM,24,35,35,31,11,53,73,3.6,1007,38,10,110,7,Paraguay
2020-02-20,34,25,0.0,7.7,6,7,03:49 AM,05:46 PM,06:39 AM,07:29 PM,21,31,31,29,20,59,66,12.6,1008,34,9,166,12,Paraguay
2020-02-21,30,23,0.0,11.6,7,0,04:43 AM,06:30 PM,06:40 AM,07:28 PM,12,26,26,26,28,12,43,0.0,1014,30,10,172,19,Paraguay
2020-02-22,29,18,0.0,11.6,6,0,05:38 AM,07:10 PM,06:41 AM,07:28 PM,7,23,23,23,23,0,38,0.0,1017,29,10,165,16,Paraguay
2020-02-23,35,16,0.0,11.6,7,0,06:31 AM,07:47 PM,06:41 AM,07:27 PM,8,27,27,26,11,9,38,0.0,1014,35,10,116,6,Paraguay
2020-02-24,36,21,0.0,11.6,8,0,07:24 AM,08:21 PM,06:42 AM,07:26 PM,13,30,30,29,10,15,42,0.0,1008,36,10,133,7,Paraguay
2020-02-25,35,24,0.0,6.4,7,8,08:15 AM,08:53 PM,06:42 AM,07:25 PM,22,33,33,29,15,66,73,19.1,1006,35,9,141,8,Paraguay
2020-02-26,32,23,0.0,11.6,7,15,09:05 AM,09:24 PM,06:43 AM,07:24 PM,16,28,28,27,19,21,59,6.0,1009,32,9,179,13,Paraguay
2020-02-27,34,22,0.0,11.6,8,23,09:55 AM,09:56 PM,06:43 AM,07:23 PM,12,29,29,28,15,2,40,0.0,1010,34,10,146,10,Paraguay
2020-02-28,36,22,0.0,11.6,8,30,10:45 AM,10:28 PM,06:44 AM,07:22 PM,12,30,30,30,15,3,38,0.0,1010,36,10,111,9,Paraguay
2020-02-29,37,22,0.0,11.6,8,38,11:37 AM,11:03 PM,06:45 AM,07:21 PM,12,32,32,30,12,6,37,0.0,1013,37,10,125,8,Paraguay
2020-03-01,38,23,0.0,11.6,8,44,12:30 PM,11:42 PM,06:45 AM,07:20 PM,12,32,32,30,12,6,37,0.0,1013,38,10,111,8,Paraguay
2020-03-02,36,23,0.0,11.6,8,51,01:26 PM,No moonset,06:46 AM,07:19 PM,14,31,31,30,12,10,44,0.0,1013,36,10,84,8,Paraguay
2020-03-03,38,23,0.0,11.6,8,58,02:22 PM,12:25 AM,06:46 AM,07:18 PM,14,32,32,31,12,8,42,0.0,1012,38,10,85,8,Paraguay
2020-03-04,39,24,0.0,11.6,8,65,03:20 PM,01:14 AM,06:47 AM,07:17 PM,14,32,32,31,8,15,40,0.0,1011,39,10,114,5,Paraguay
2020-03-05,39,24,0.0,11.6,8,73,04:16 PM,02:09 AM,06:47 AM,07:16 PM,12,33,33,32,9,10,35,0.0,1011,39,10,119,6,Paraguay
2020-03-06,40,25,0.0,11.6,8,80,05:11 PM,03:10 AM,06:48 AM,07:15 PM,10,33,33,33,11,4,28,0.0,1010,40,10,153,7,Paraguay
2020-03-07,36,23,0.0,9.0,7,87,06:02 PM,04:15 AM,06:48 AM,07:14 PM,15,32,32,30,17,34,45,1.0,1008,36,10,75,10,Paraguay
2020-03-08,37,23,0.0,11.6,8,95,06:50 PM,05:22 AM,06:49 AM,07:13 PM,16,32,32,30,20,14,48,0.0,1007,37,10,127,14,Paraguay
2020-03-09,40,24,0.0,11.6,8,100,07:34 PM,06:29 AM,06:49 AM,07:12 PM,14,33,33,32,16,21,39,0.0,1010,40,10,63,10,Paraguay
2020-03-10,40,25,0.0,11.6,8,100,08:16 PM,07:37 AM,06:50 AM,07:11 PM,14,35,35,33,18,10,37,0.0,1010,40,10,57,11,Paraguay
2020-03-11,40,25,0.0,11.6,8,84,08:57 PM,08:43 AM,06:50 AM,07:10 PM,14,33,33,32,20,3,37,0.0,1008,40,10,46,13,Paraguay
2020-03-12,39,26,0.0,11.6,8,76,09:40 PM,09:49 AM,06:51 AM,07:09 PM,18,34,34,32,17,9,47,0.0,1008,39,10,50,12,Paraguay
2020-03-13,39,27,0.0,11.6,9,69,10:23 PM,10:53 AM,06:51 AM,07:08 PM,18,36,36,34,18,20,44,0.0,1009,39,10,38,12,Paraguay
2020-03-14,41,27,0.0,11.6,9,62,11:09 PM,11:57 AM,06:52 AM,07:07 PM,16,35,35,34,19,8,38,0.0,1009,41,10,46,13,Paraguay
2020-03-15,42,27,0.0,11.6,9,55,11:58 PM,12:59 PM,06:52 AM,07:06 PM,14,36,36,34,17,15,34,0.0,1009,42,10,63,11,Paraguay
2020-03-16,41,27,0.0,11.6,9,47,No moonrise,01:59 PM,06:53 AM,07:05 PM,16,36,36,34,15,30,36,0.0,1007,41,10,108,10,Paraguay
2020-03-17,39,27,0.0,11.6,8,40,12:50 AM,02:54 PM,06:53 AM,07:04 PM,18,35,35,33,18,37,46,0.1,1006,39,10,171,13,Paraguay
2020-03-18,26,24,0.0,7.6,6,33,01:44 AM,03:45 PM,06:54 AM,07:03 PM,23,28,28,25,7,68,86,7.7,1009,26,8,133,5,Paraguay
2020-03-19,30,23,0.0,6.2,6,25,02:39 AM,04:30 PM,06:54 AM,07:02 PM,23,30,30,26,11,68,86,17.5,1009,30,7,183,6,Paraguay
2020-03-20,32,22,0.0,11.6,7,18,03:34 AM,05:11 PM,06:55 AM,07:01 PM,11,28,28,27,18,0,40,0.0,1010,32,10,174,13,Paraguay
2020-03-21,37,21,0.0,11.6,8,11,04:27 AM,05:48 PM,06:55 AM,07:00 PM,11,30,30,30,9,0,38,0.0,1009,37,10,124,6,Paraguay
2020-03-22,38,23,0.0,11.6,8,4,05:19 AM,06:22 PM,06:55 AM,06:59 PM,11,32,32,31,12,0,34,0.0,1011,38,10,88,8,Paraguay
2020-03-23,36,24,0.0,11.6,8,0,06:10 AM,06:55 PM,06:56 AM,06:58 PM,15,31,31,30,18,3,45,0.0,1012,36,10,57,13,Paraguay
2020-03-24,36,22,0.0,11.6,8,0,07:01 AM,07:26 PM,06:56 AM,06:57 PM,13,30,30,29,19,3,43,0.0,1012,36,10,51,13,Paraguay
2020-03-25,36,22,0.0,11.6,8,3,07:51 AM,07:57 PM,06:57 AM,06:56 PM,14,30,30,29,18,4,45,0.0,1010,36,10,59,12,Paraguay
2020-03-26,36,23,0.0,11.6,8,11,08:41 AM,08:29 PM,06:57 AM,06:55 PM,14,30,30,29,17,4,44,0.0,1010,36,10,60,12,Paraguay
2020-03-27,32,22,0.0,11.6,6,18,09:33 AM,09:03 PM,06:58 AM,06:54 PM,15,27,27,26,12,29,57,2.8,1010,32,10,108,7,Paraguay
2020-03-28,30,22,0.0,6.0,6,25,10:25 AM,09:41 PM,06:58 AM,06:53 PM,20,28,28,25,14,71,75,14.0,1010,30,9,71,8,Paraguay
2020-03-29,36,22,0.0,8.8,7,32,11:19 AM,10:21 PM,06:59 AM,06:52 PM,22,32,32,29,10,68,73,6.4,1012,36,9,66,6,Paraguay
2020-03-30,38,25,0.0,11.6,8,40,12:14 PM,11:07 PM,06:59 AM,06:51 PM,20,34,34,31,11,26,58,0.1,1011,38,10,79,7,Paraguay
2020-03-31,37,25,0.0,10.2,7,44,01:11 PM,11:58 PM,06:59 AM,06:49 PM,22,34,34,30,12,57,67,2.3,1010,37,10,119,8,Paraguay
2020-04-01,38,26,0.0,11.5,8,56,02:06 PM,No moonset,07:00 AM,06:48 PM,19,34,34,32,15,19,48,0.0,1009,38,10,45,10,Paraguay
2020-04-02,26,23,0.0,5.7,6,64,03:00 PM,12:54 AM,07:00 AM,06:47 PM,20,28,28,26,14,71,72,4.3,1012,26,10,142,9,Paraguay
2020-04-03,28,17,0.0,11.5,6,71,03:51 PM,01:56 AM,07:01 AM,06:46 PM,10,23,23,22,17,0,52,0.0,1015,28,10,175,12,Paraguay
2020-04-04,32,18,0.0,11.4,7,79,04:38 PM,03:00 AM,07:01 AM,06:45 PM,9,25,25,25,10,3,44,0.0,1011,32,10,88,8,Paraguay
2020-04-05,36,19,0.0,11.4,6,87,05:23 PM,04:06 AM,07:02 AM,06:44 PM,12,28,28,27,15,33,39,0.0,1009,36,10,66,10,Paraguay
2020-04-06,25,21,0.0,7.2,5,94,06:05 PM,05:13 AM,07:02 AM,06:43 PM,19,25,25,23,16,69,81,32.3,1012,25,9,141,10,Paraguay
2020-04-07,29,20,0.0,11.4,7,100,06:47 PM,06:19 AM,07:02 AM,06:42 PM,15,24,24,24,17,7,64,0.0,1017,29,9,155,12,Paraguay
2020-04-08,25,14,0.0,11.4,6,100,07:29 PM,07:26 AM,07:03 AM,06:41 PM,7,19,19,19,20,19,46,0.0,1018,25,10,163,14,Paraguay
2020-04-09,26,15,0.0,11.4,6,83,08:12 PM,08:32 AM,07:03 AM,06:40 PM,8,20,20,20,17,5,49,0.0,1016,26,10,175,12,Paraguay
2020-04-10,27,14,0.0,11.4,6,76,08:59 PM,09:39 AM,07:04 AM,06:39 PM,10,21,21,20,16,6,55,0.0,1015,27,10,167,11,Paraguay
2020-04-11,32,17,0.0,11.3,7,68,09:49 PM,10:44 AM,07:04 AM,06:38 PM,11,24,24,24,10,0,50,0.0,1014,32,10,143,7,Paraguay
2020-04-12,35,19,0.0,11.3,7,61,10:41 PM,11:48 AM,07:05 AM,06:37 PM,10,27,27,27,11,1,38,0.0,1012,35,10,77,7,Paraguay
2020-04-13,33,20,0.0,10.1,6,53,11:37 PM,12:47 PM,07:05 AM,06:36 PM,15,27,27,26,15,23,54,0.1,1011,33,10,125,10,Paraguay
2020-04-14,26,17,0.0,11.3,6,46,No moonrise,01:41 PM,07:06 AM,06:36 PM,11,21,21,21,19,3,56,0.0,1015,26,10,180,14,Paraguay
2020-04-15,26,14,0.0,11.3,6,38,12:32 AM,02:29 PM,07:06 AM,06:35 PM,7,20,21,20,13,3,45,0.0,1018,26,10,168,9,Paraguay
2020-04-16,28,17,0.0,11.3,6,30,01:28 AM,03:12 PM,07:07 AM,06:34 PM,8,22,22,22,11,0,43,0.0,1021,28,10,147,8,Paraguay
2020-04-17,28,15,0.0,11.3,6,23,02:22 AM,03:50 PM,07:07 AM,06:33 PM,7,22,22,22,13,4,44,0.0,1021,28,10,162,9,Paraguay
2020-04-18,33,17,0.0,11.3,7,15,03:15 AM,04:24 PM,07:07 AM,06:32 PM,12,25,25,25,8,0,49,0.0,1018,33,10,118,6,Paraguay
2020-04-19,34,19,0.0,11.2,7,8,04:06 AM,04:57 PM,07:08 AM,06:31 PM,14,27,27,26,11,0,53,0.0,1015,34,10,66,8,Paraguay
2020-04-20,35,21,0.0,11.2,7,0,04:57 AM,05:29 PM,07:08 AM,06:30 PM,16,29,29,28,12,1,56,0.0,1015,35,10,69,8,Paraguay
2020-04-21,34,22,0.0,11.2,7,0,05:47 AM,06:00 PM,07:09 AM,06:29 PM,15,28,28,27,12,1,50,0.0,1014,34,10,73,8,Paraguay
2020-04-22,34,22,0.0,11.2,7,0,06:37 AM,06:31 PM,07:09 AM,06:28 PM,14,29,29,28,11,2,48,0.0,1013,34,10,73,7,Paraguay
2020-04-23,34,21,0.0,11.2,7,0,07:29 AM,07:05 PM,07:10 AM,06:28 PM,12,29,29,28,14,2,43,0.0,1011,34,10,59,9,Paraguay
2020-04-24,33,21,0.0,11.2,7,7,08:21 AM,07:41 PM,07:10 AM,06:27 PM,12,28,28,27,23,0,44,0.0,1010,33,10,49,15,Paraguay
2020-04-25,34,22,0.0,11.2,7,15,09:15 AM,08:20 PM,07:11 AM,06:26 PM,17,30,30,28,22,21,53,0.0,1012,34,10,54,14,Paraguay
2020-04-26,36,26,0.0,11.1,8,22,10:10 AM,09:04 PM,07:11 AM,06:25 PM,19,32,32,30,17,20,56,0.0,1014,36,10,52,11,Paraguay
2020-04-27,34,25,0.0,11.1,8,30,11:06 AM,09:53 PM,07:12 AM,06:24 PM,16,29,29,29,24,8,48,0.0,1014,34,10,45,17,Paraguay
2020-04-28,34,23,0.0,11.1,7,37,12:02 PM,10:47 PM,07:12 AM,06:24 PM,15,29,29,28,23,4,47,0.0,1013,34,10,38,15,Paraguay
2020-04-29,34,23,0.0,11.1,7,45,12:55 PM,11:46 PM,07:13 AM,06:23 PM,16,29,29,28,16,21,51,0.0,1015,34,10,85,10,Paraguay
2020-04-30,35,23,0.0,11.1,8,52,01:46 PM,No moonset,07:13 AM,06:22 PM,16,29,29,28,13,20,50,0.0,1014,35,10,85,9,Paraguay
2020-05-01,31,21,0.0,7.1,6,58,02:32 PM,12:47 AM,07:14 AM,06:21 PM,18,27,27,26,13,66,65,3.4,1016,31,10,178,9,Paraguay
2020-05-02,30,18,0.0,11.1,7,65,03:16 PM,01:50 AM,07:14 AM,06:21 PM,10,24,24,24,16,38,45,0.0,1017,30,10,142,11,Paraguay
2020-05-03,28,18,0.0,10.1,5,72,03:58 PM,02:54 AM,07:15 AM,06:20 PM,9,23,23,22,14,40,43,0.0,1014,28,10,103,9,Paraguay
2020-05-04,32,21,0.0,10.1,6,80,04:38 PM,03:59 AM,07:15 AM,06:19 PM,13,27,27,26,20,51,46,0.1,1009,32,10,61,13,Paraguay
2020-05-05,31,20,0.0,8.6,6,87,05:19 PM,05:03 AM,07:16 AM,06:19 PM,16,26,26,25,19,63,62,3.1,1010,31,10,147,12,Paraguay
2020-05-06,20,14,0.0,11.0,5,94,06:01 PM,06:09 AM,07:16 AM,06:18 PM,8,16,17,16,26,20,60,2.4,1022,20,10,178,19,Paraguay
2020-05-07,23,11,0.0,11.0,5,100,06:46 PM,07:16 AM,07:17 AM,06:17 PM,6,16,17,16,11,0,57,0.0,1024,23,10,167,8,Paraguay
2020-05-08,27,11,0.0,11.0,6,100,07:35 PM,08:22 AM,07:17 AM,06:17 PM,5,18,18,18,10,0,48,0.0,1021,27,10,83,7,Paraguay
2020-05-09,28,13,0.0,11.0,6,84,08:27 PM,09:29 AM,07:18 AM,06:16 PM,8,20,20,20,18,0,48,0.0,1017,28,10,43,12,Paraguay
2020-05-10,31,16,0.0,11.0,7,77,09:23 PM,10:32 AM,07:18 AM,06:16 PM,13,24,24,24,25,6,54,0.0,1011,31,10,37,16,Paraguay
2020-05-11,25,22,0.0,7.0,5,70,10:20 PM,11:31 AM,07:19 AM,06:15 PM,18,25,25,23,21,63,74,34.8,1011,25,8,68,13,Paraguay
2020-05-12,25,21,0.0,5.5,5,62,11:18 PM,12:22 PM,07:19 AM,06:15 PM,22,25,25,22,20,83,94,24.8,1009,25,8,161,13,Paraguay
2020-05-13,22,19,0.0,5.5,5,55,No moonrise,01:09 PM,07:20 AM,06:14 PM,19,21,22,21,20,87,88,6.0,1014,22,10,210,14,Paraguay
2020-05-14,21,14,0.0,10.9,5,48,12:14 AM,01:49 PM,07:20 AM,06:14 PM,10,17,17,17,17,1,66,0.0,1020,21,10,172,13,Paraguay
2020-05-15,22,12,0.0,10.9,5,40,01:09 AM,02:25 PM,07:21 AM,06:13 PM,10,16,17,16,11,0,66,0.0,1021,22,10,168,9,Paraguay
2020-05-16,25,13,0.0,10.9,6,33,02:01 AM,02:59 PM,07:21 AM,06:13 PM,10,18,19,18,5,0,61,0.0,1020,25,10,103,4,Paraguay
2020-05-17,27,14,0.0,10.9,6,26,02:52 AM,03:31 PM,07:22 AM,06:12 PM,13,19,20,19,12,0,65,0.0,1017,27,10,62,8,Paraguay
2020-05-18,28,16,0.0,10.9,6,19,03:42 AM,04:02 PM,07:22 AM,06:12 PM,14,22,22,21,14,0,65,0.0,1017,28,10,64,9,Paraguay
2020-05-19,27,17,0.0,10.9,6,11,04:32 AM,04:33 PM,07:23 AM,06:11 PM,15,23,23,22,22,4,67,0.0,1014,27,10,51,14,Paraguay
2020-05-20,30,20,0.0,10.9,7,4,05:23 AM,05:05 PM,07:23 AM,06:11 PM,17,26,26,25,26,37,64,0.0,1011,30,10,44,16,Paraguay
2020-05-21,27,21,0.0,5.4,5,0,06:15 AM,05:41 PM,07:24 AM,06:11 PM,21,26,26,24,30,77,82,29.4,1010,27,8,155,17,Paraguay
2020-05-22,21,14,0.0,5.4,4,0,07:09 AM,06:19 PM,07:24 AM,06:10 PM,17,18,19,18,26,95,93,39.9,1014,21,7,239,16,Paraguay
2020-05-23,16,12,0.0,8.5,3,3,08:05 AM,07:02 PM,07:25 AM,06:10 PM,9,13,14,13,17,65,72,0.2,1023,16,10,224,12,Paraguay
2020-05-24,21,6,0.0,10.9,5,10,09:01 AM,07:50 PM,07:25 AM,06:10 PM,9,14,15,14,6,3,73,0.0,1021,21,9,206,4,Paraguay
2020-05-25,23,11,0.0,10.8,5,17,09:58 AM,08:43 PM,07:26 AM,06:09 PM,10,17,17,17,9,1,67,0.0,1018,23,10,155,6,Paraguay
2020-05-26,24,13,0.0,10.8,5,25,10:52 AM,09:41 PM,07:26 AM,06:09 PM,12,18,18,18,8,0,71,0.0,1019,24,10,145,6,Paraguay
2020-05-27,23,13,0.0,10.8,5,32,11:44 AM,10:40 PM,07:27 AM,06:09 PM,12,18,18,18,10,0,74,0.0,1017,23,10,75,7,Paraguay
2020-05-28,24,14,0.0,10.8,5,39,12:31 PM,11:43 PM,07:27 AM,06:09 PM,13,18,19,18,15,0,72,0.0,1014,24,10,54,11,Paraguay
2020-05-29,26,15,0.0,10.8,6,47,01:15 PM,No moonset,07:28 AM,06:09 PM,15,19,20,19,17,0,76,0.0,1014,26,10,51,11,Paraguay
2020-05-30,28,16,0.0,10.8,6,54,01:56 PM,12:44 AM,07:28 AM,06:08 PM,16,22,22,21,16,2,75,0.0,1013,28,10,61,10,Paraguay
2020-05-31,19,12,0.0,5.4,4,58,02:35 PM,01:47 AM,07:29 AM,06:08 PM,15,17,17,17,17,87,85,2.0,1017,19,7,152,12,Paraguay
2020-06-01,13,9,0.0,5.4,3,71,03:14 PM,02:49 AM,07:29 AM,06:08 PM,7,10,12,10,17,80,71,0.4,1021,13,9,178,12,Paraguay
2020-06-02,19,9,0.0,10.8,4,79,03:54 PM,03:52 AM,07:30 AM,06:08 PM,7,13,13,13,12,11,67,0.0,1020,19,10,164,8,Paraguay
2020-06-03,20,11,0.0,8.5,4,86,04:36 PM,04:56 AM,07:30 AM,06:08 PM,10,15,16,15,11,37,70,1.6,1017,20,10,96,8,Paraguay
2020-06-04,20,12,0.0,5.4,4,94,05:22 PM,06:02 AM,07:30 AM,06:08 PM,18,18,18,18,13,99,98,37.0,1016,20,7,180,9,Paraguay
