date_time,Slovak%20Republic_maxtempC,Slovak%20Republic_mintempC,Slovak%20Republic_totalSnow_cm,Slovak%20Republic_sunHour,Slovak%20Republic_uvIndex,Slovak%20Republic_moon_illumination,Slovak%20Republic_moonrise,Slovak%20Republic_moonset,Slovak%20Republic_sunrise,Slovak%20Republic_sunset,Slovak%20Republic_DewPointC,Slovak%20Republic_FeelsLikeC,Slovak%20Republic_HeatIndexC,Slovak%20Republic_WindChillC,Slovak%20Republic_WindGustKmph,Slovak%20Republic_cloudcover,Slovak%20Republic_humidity,Slovak%20Republic_precipMM,Slovak%20Republic_pressure,Slovak%20Republic_tempC,Slovak%20Republic_visibility,Slovak%20Republic_winddirDegree,Slovak%20Republic_windspeedKmph,Slovak%20Republic_location
2020-01-11,15,8,0.0,3.8,3,100,06:23 PM,08:03 AM,07:14 AM,05:15 PM,11,12,14,12,41,88,86,15.6,1007,15,9,220,27,Slovak%20Republic
2020-01-12,10,1,0.0,8.7,3,83,07:33 PM,08:52 AM,07:14 AM,05:16 PM,2,3,5,3,15,6,80,0.0,1022,10,10,189,10,Slovak%20Republic
2020-01-13,13,5,0.0,3.8,2,76,08:43 PM,09:36 AM,07:14 AM,05:17 PM,6,7,9,7,13,87,84,0.0,1024,13,10,149,8,Slovak%20Republic
2020-01-14,18,9,0.0,5.4,3,69,09:52 PM,10:15 AM,07:14 AM,05:18 PM,12,13,14,13,9,82,90,0.0,1020,18,8,173,5,Slovak%20Republic
2020-01-15,20,16,0.0,3.8,4,61,10:59 PM,10:50 AM,07:13 AM,05:19 PM,17,18,18,18,24,99,93,4.0,1018,20,6,187,15,Slovak%20Republic
2020-01-16,8,6,0.0,8.7,3,54,No moonrise,11:25 AM,07:13 AM,05:20 PM,3,5,8,5,35,57,68,0.4,1032,8,10,40,25,Slovak%20Republic
2020-01-17,8,1,0.0,7.1,2,47,12:06 AM,11:58 AM,07:13 AM,05:21 PM,1,2,6,2,27,79,69,1.3,1030,8,8,92,18,Slovak%20Republic
2020-01-18,16,9,0.0,7.1,3,40,01:12 AM,12:32 PM,07:12 AM,05:22 PM,9,12,14,12,36,62,78,3.8,1022,16,10,260,23,Slovak%20Republic
2020-01-19,7,0,0.0,8.7,2,32,02:17 AM,01:10 PM,07:12 AM,05:23 PM,-4,1,4,1,18,14,59,0.0,1031,7,10,154,12,Slovak%20Republic
2020-01-20,4,-2,0.0,8.7,2,25,03:22 AM,01:52 PM,07:12 AM,05:24 PM,-8,-4,0,-4,17,5,54,0.0,1034,4,10,66,11,Slovak%20Republic
2020-01-21,4,-2,0.0,8.7,2,18,04:25 AM,02:37 PM,07:11 AM,05:25 PM,-6,-3,0,-3,15,23,64,0.0,1034,4,10,69,10,Slovak%20Republic
2020-01-22,6,-1,0.0,7.1,1,11,05:25 AM,03:29 PM,07:11 AM,05:26 PM,-4,-1,2,-1,17,76,63,0.2,1027,6,10,143,12,Slovak%20Republic
2020-01-23,7,3,0.0,3.8,1,3,06:20 AM,04:23 PM,07:10 AM,05:27 PM,4,2,5,2,21,97,96,15.8,1017,7,7,165,14,Slovak%20Republic
2020-01-24,9,3,0.0,8.7,3,0,07:09 AM,05:21 PM,07:10 AM,05:28 PM,2,2,6,2,27,4,80,0.0,1017,9,10,272,16,Slovak%20Republic
2020-01-25,9,0,0.0,8.7,2,0,07:52 AM,06:19 PM,07:09 AM,05:29 PM,0,2,4,2,14,25,76,0.0,1021,9,10,255,9,Slovak%20Republic
2020-01-26,10,6,0.0,3.8,2,4,08:29 AM,07:17 PM,07:09 AM,05:30 PM,7,6,8,6,18,93,92,11.3,1017,10,7,188,11,Slovak%20Republic
2020-01-27,14,7,0.0,8.7,3,11,09:02 AM,08:13 PM,07:08 AM,05:31 PM,6,8,9,8,11,31,82,0.0,1016,14,6,177,6,Slovak%20Republic
2020-01-28,10,6,0.0,5.5,2,18,09:32 AM,09:09 PM,07:08 AM,05:32 PM,6,6,8,6,20,68,89,9.1,1016,10,9,97,12,Slovak%20Republic
2020-01-29,10,8,0.0,3.8,2,26,10:00 AM,10:03 PM,07:07 AM,05:33 PM,7,7,9,7,17,96,91,1.0,1015,10,8,108,11,Slovak%20Republic
2020-01-30,6,2,0.0,3.9,2,33,10:27 AM,10:58 PM,07:06 AM,05:34 PM,3,2,5,2,20,93,88,0.0,1021,6,10,40,14,Slovak%20Republic
2020-01-31,10,6,0.0,3.9,2,37,10:55 AM,11:53 PM,07:06 AM,05:35 PM,5,6,7,6,11,79,87,0.2,1020,10,7,209,8,Slovak%20Republic
2020-02-01,10,6,0.0,8.7,2,49,11:24 AM,No moonset,07:05 AM,05:36 PM,3,6,8,6,17,26,74,0.0,1020,10,10,285,11,Slovak%20Republic
2020-02-02,18,6,0.0,8.7,4,57,11:55 AM,12:49 AM,07:04 AM,05:37 PM,5,9,11,9,28,3,70,0.0,1018,18,10,231,16,Slovak%20Republic
2020-02-03,15,10,0.0,7.1,3,64,12:30 PM,01:48 AM,07:03 AM,05:38 PM,10,11,12,11,39,72,81,4.5,1012,15,9,196,23,Slovak%20Republic
2020-02-04,20,14,0.0,3.9,4,72,01:12 PM,02:47 AM,07:03 AM,05:39 PM,16,17,17,17,34,88,91,7.3,1008,20,9,219,22,Slovak%20Republic
2020-02-05,10,7,0.0,3.9,2,79,02:00 PM,03:49 AM,07:02 AM,05:40 PM,8,7,10,7,25,99,91,7.1,1005,10,8,127,18,Slovak%20Republic
2020-02-06,5,2,0.3,3.9,1,87,02:56 PM,04:49 AM,07:01 AM,05:41 PM,2,1,4,1,20,84,84,1.1,1004,5,7,304,14,Slovak%20Republic
2020-02-07,8,-2,0.1,8.7,1,95,04:00 PM,05:47 AM,07:00 AM,05:42 PM,-2,0,3,0,19,41,72,0.1,1011,8,10,232,12,Slovak%20Republic
2020-02-08,10,1,0.0,8.7,3,100,05:10 PM,06:40 AM,06:59 AM,05:43 PM,-0,3,5,3,16,13,69,0.0,1023,10,10,203,9,Slovak%20Republic
2020-02-09,15,5,0.0,4.1,3,100,06:22 PM,07:28 AM,06:58 AM,05:44 PM,7,8,10,8,36,65,78,0.5,1020,15,10,159,22,Slovak%20Republic
2020-02-10,15,8,0.0,4.1,2,83,07:34 PM,08:09 AM,06:57 AM,05:45 PM,9,9,11,9,28,96,90,14.3,1017,15,7,98,18,Slovak%20Republic
2020-02-11,8,6,0.0,4.1,2,75,08:45 PM,08:48 AM,06:56 AM,05:45 PM,4,4,7,4,24,87,81,2.8,1020,8,6,26,17,Slovak%20Republic
2020-02-12,8,3,0.0,4.1,2,68,09:54 PM,09:24 AM,06:55 AM,05:46 PM,6,4,7,4,22,99,97,46.9,1011,8,6,112,14,Slovak%20Republic
2020-02-13,6,1,0.0,8.7,1,60,11:03 PM,09:58 AM,06:54 AM,05:47 PM,0,0,4,0,25,30,75,0.0,1021,6,9,216,17,Slovak%20Republic
2020-02-14,4,-4,0.0,8.7,2,53,No moonrise,10:33 AM,06:53 AM,05:48 PM,-10,-5,-1,-5,21,2,50,0.0,1033,4,10,39,15,Slovak%20Republic
2020-02-15,11,-1,0.0,8.7,2,45,12:10 AM,11:11 AM,06:52 AM,05:49 PM,-3,1,4,1,21,26,62,0.0,1027,11,10,154,13,Slovak%20Republic
2020-02-16,15,6,0.0,4.1,3,38,01:16 AM,11:51 AM,06:51 AM,05:50 PM,8,9,10,9,13,79,87,0.1,1019,15,10,175,7,Slovak%20Republic
2020-02-17,16,12,0.0,4.1,3,30,02:19 AM,12:35 PM,06:50 AM,05:51 PM,13,13,14,13,28,92,95,0.7,1013,16,9,163,18,Slovak%20Republic
2020-02-18,16,8,0.0,4.1,3,22,03:20 AM,01:25 PM,06:49 AM,05:52 PM,11,11,13,11,30,100,90,10.9,1017,16,8,138,19,Slovak%20Republic
2020-02-19,9,3,0.0,8.7,3,15,04:16 AM,02:17 PM,06:48 AM,05:53 PM,2,2,6,2,29,40,76,0.4,1029,9,9,35,21,Slovak%20Republic
2020-02-20,7,3,0.0,5.7,1,7,05:06 AM,03:14 PM,06:47 AM,05:54 PM,1,0,5,0,34,65,76,4.1,1032,7,8,30,23,Slovak%20Republic
2020-02-21,6,-3,0.0,8.7,2,0,05:50 AM,04:11 PM,06:46 AM,05:55 PM,-9,-3,1,-3,19,0,48,0.0,1037,6,10,35,13,Slovak%20Republic
2020-02-22,10,-1,0.0,8.7,3,0,06:28 AM,05:09 PM,06:44 AM,05:56 PM,-4,2,4,2,14,13,55,0.0,1031,10,10,178,9,Slovak%20Republic
2020-02-23,12,4,0.0,7.2,2,0,07:03 AM,06:05 PM,06:43 AM,05:57 PM,5,5,8,5,26,62,79,1.1,1021,12,10,182,16,Slovak%20Republic
2020-02-24,19,9,0.0,4.2,4,0,07:34 AM,07:01 PM,06:42 AM,05:58 PM,11,12,14,12,37,89,86,6.3,1007,19,9,203,23,Slovak%20Republic
2020-02-25,14,7,0.0,8.7,4,8,08:02 AM,07:56 PM,06:41 AM,05:58 PM,5,8,10,8,23,30,72,0.1,1011,14,10,295,14,Slovak%20Republic
2020-02-26,7,3,0.0,5.7,1,15,08:29 AM,08:50 PM,06:40 AM,05:59 PM,-1,1,5,1,32,42,65,0.4,1020,7,9,303,22,Slovak%20Republic
2020-02-27,9,-1,0.0,11.6,2,23,08:56 AM,09:45 PM,06:38 AM,06:00 PM,-5,1,4,1,20,15,55,0.0,1026,9,10,250,12,Slovak%20Republic
2020-02-28,10,1,0.0,11.6,3,30,09:24 AM,10:40 PM,06:37 AM,06:01 PM,-1,3,5,3,20,19,63,0.1,1027,10,10,251,12,Slovak%20Republic
2020-02-29,15,4,0.0,11.6,4,38,09:54 AM,11:37 PM,06:36 AM,06:02 PM,3,8,9,8,16,10,67,0.0,1025,15,10,226,9,Slovak%20Republic
2020-03-01,15,10,0.0,5.8,3,44,10:27 AM,No moonset,06:35 AM,06:03 PM,9,10,12,10,42,81,78,0.3,1016,15,10,190,25,Slovak%20Republic
2020-03-02,21,15,0.0,5.9,4,51,11:05 AM,12:35 AM,06:33 AM,06:04 PM,15,17,18,17,36,90,87,13.3,1009,21,9,202,22,Slovak%20Republic
2020-03-03,17,12,0.0,11.6,3,58,11:49 AM,01:35 AM,06:32 AM,06:04 PM,10,14,14,14,18,57,76,1.5,1011,17,10,255,11,Slovak%20Republic
2020-03-04,13,11,0.0,5.9,3,65,12:39 PM,02:33 AM,06:31 AM,06:05 PM,9,12,13,12,9,70,78,8.4,1017,13,9,88,5,Slovak%20Republic
2020-03-05,18,9,0.0,11.6,3,73,01:39 PM,03:32 AM,06:29 AM,06:06 PM,8,12,13,12,20,40,74,16.3,1020,18,9,160,13,Slovak%20Republic
2020-03-06,13,6,0.0,11.6,3,80,02:44 PM,04:25 AM,06:28 AM,06:07 PM,1,7,9,7,24,0,54,0.0,1030,13,10,157,15,Slovak%20Republic
2020-03-07,13,4,0.0,7.3,2,87,03:55 PM,05:15 AM,06:27 AM,06:08 PM,-0,7,8,7,14,37,56,0.0,1033,13,10,113,8,Slovak%20Republic
2020-03-08,16,6,0.0,11.6,3,95,05:07 PM,05:59 AM,06:25 AM,06:09 PM,4,9,10,9,24,17,66,0.0,1029,16,10,167,15,Slovak%20Republic
2020-03-09,16,11,0.0,5.9,3,100,06:20 PM,06:39 AM,06:24 AM,06:09 PM,12,13,14,13,38,82,87,1.6,1024,16,8,186,24,Slovak%20Republic
2020-03-10,18,13,0.0,10.2,4,100,07:33 PM,07:17 AM,06:23 AM,06:10 PM,12,15,16,15,21,47,79,2.1,1023,18,10,249,14,Slovak%20Republic
2020-03-11,21,12,0.0,6.0,4,84,08:44 PM,07:53 AM,06:21 AM,06:11 PM,15,17,17,17,26,70,87,2.2,1016,21,10,205,15,Slovak%20Republic
2020-03-12,21,17,0.0,6.0,4,76,09:55 PM,08:29 AM,06:20 AM,06:12 PM,18,19,19,19,24,88,91,8.4,1010,21,8,211,14,Slovak%20Republic
2020-03-13,13,5,0.0,6.0,3,69,11:04 PM,09:07 AM,06:19 AM,06:13 PM,8,9,11,9,33,78,80,18.3,1021,13,5,49,21,Slovak%20Republic
2020-03-14,12,7,0.0,6.0,3,62,No moonrise,09:47 AM,06:17 AM,06:14 PM,8,8,10,8,22,100,87,3.4,1024,12,8,72,15,Slovak%20Republic
2020-03-15,13,7,0.0,6.0,2,55,12:11 AM,10:31 AM,06:16 AM,06:14 PM,8,7,10,7,28,94,88,31.3,1028,13,8,40,20,Slovak%20Republic
2020-03-16,9,5,0.0,6.0,2,47,01:15 AM,11:20 AM,06:15 AM,06:15 PM,7,6,8,6,13,93,92,8.0,1026,9,9,43,9,Slovak%20Republic
2020-03-17,19,8,0.0,7.4,3,40,02:13 AM,12:13 PM,06:13 AM,06:16 PM,11,13,13,13,12,81,88,0.0,1023,19,7,59,8,Slovak%20Republic
2020-03-18,24,13,0.0,6.0,5,33,03:05 AM,01:08 PM,06:12 AM,06:17 PM,16,18,19,18,25,86,89,2.6,1018,24,6,157,16,Slovak%20Republic
2020-03-19,23,19,0.0,7.4,5,25,03:51 AM,02:05 PM,06:10 AM,06:17 PM,19,21,22,21,37,75,89,10.3,1015,23,10,197,22,Slovak%20Republic
2020-03-20,20,12,0.0,10.2,4,18,04:30 AM,03:03 PM,06:09 AM,06:18 PM,15,18,18,18,29,56,82,13.2,1020,20,9,214,18,Slovak%20Republic
2020-03-21,14,6,0.0,11.6,3,11,05:05 AM,04:00 PM,06:08 AM,06:19 PM,5,7,10,7,24,35,75,0.0,1029,14,10,35,17,Slovak%20Republic
2020-03-22,10,6,0.0,6.1,2,4,05:37 AM,04:55 PM,06:06 AM,06:20 PM,8,7,9,7,15,79,88,5.5,1023,10,7,86,10,Slovak%20Republic
2020-03-23,21,8,0.0,6.1,4,0,06:05 AM,05:51 PM,06:05 AM,06:21 PM,15,16,17,16,10,91,91,2.3,1018,21,6,123,6,Slovak%20Republic
2020-03-24,22,16,0.0,6.1,5,0,06:32 AM,06:45 PM,06:04 AM,06:21 PM,17,19,20,19,32,79,86,3.5,1010,22,10,191,19,Slovak%20Republic
2020-03-25,19,10,0.0,10.2,4,3,06:59 AM,07:40 PM,06:02 AM,06:22 PM,11,13,14,13,17,45,80,0.1,1013,19,10,89,12,Slovak%20Republic
2020-03-26,28,14,0.0,11.6,5,11,07:27 AM,08:35 PM,06:01 AM,06:23 PM,16,19,21,19,29,16,82,0.0,1010,28,8,182,17,Slovak%20Republic
2020-03-27,25,18,0.0,11.8,5,18,07:56 AM,09:31 PM,06:00 AM,06:24 PM,18,23,23,22,33,37,81,0.0,1009,25,10,193,20,Slovak%20Republic
2020-03-28,23,17,0.0,7.9,5,25,08:27 AM,10:28 PM,05:58 AM,06:25 PM,18,21,22,21,40,66,85,3.9,1008,23,10,205,24,Slovak%20Republic
2020-03-29,21,11,0.0,11.9,4,32,09:03 AM,11:27 PM,05:57 AM,06:25 PM,8,15,16,15,20,56,61,0.1,1017,21,10,272,12,Slovak%20Republic
2020-03-30,19,13,0.0,12.7,4,40,09:43 AM,No moonset,05:55 AM,06:26 PM,9,15,16,15,19,37,66,2.6,1019,19,10,96,12,Slovak%20Republic
2020-03-31,14,11,0.0,9.3,3,44,10:30 AM,12:25 AM,05:54 AM,06:27 PM,10,10,12,10,27,74,87,35.3,1013,14,9,89,19,Slovak%20Republic
2020-04-01,17,7,0.0,12.8,4,56,11:25 AM,01:22 AM,05:53 AM,06:28 PM,7,11,12,11,13,20,74,0.0,1018,17,10,90,8,Slovak%20Republic
2020-04-02,20,10,0.0,12.8,5,64,12:25 PM,02:15 AM,05:51 AM,06:28 PM,10,14,15,14,22,23,74,0.0,1017,20,10,137,13,Slovak%20Republic
2020-04-03,21,12,0.0,10.6,4,71,01:32 PM,03:05 AM,05:50 AM,06:29 PM,13,16,17,16,21,59,81,2.8,1016,21,10,154,13,Slovak%20Republic
2020-04-04,18,14,0.0,8.0,4,79,02:41 PM,03:50 AM,05:49 AM,06:30 PM,14,16,16,16,13,86,88,3.3,1015,18,10,81,9,Slovak%20Republic
2020-04-05,23,12,0.0,11.9,4,87,03:53 PM,04:31 AM,05:47 AM,06:31 PM,14,17,18,17,11,56,80,0.8,1018,23,8,69,7,Slovak%20Republic
2020-04-06,24,15,0.0,12.9,6,94,05:05 PM,05:09 AM,05:46 AM,06:32 PM,16,19,20,19,17,44,80,1.6,1017,24,10,160,11,Slovak%20Republic
2020-04-07,26,18,0.0,9.3,5,100,06:17 PM,05:45 AM,05:45 AM,06:32 PM,19,23,23,22,23,75,88,2.5,1012,26,10,208,14,Slovak%20Republic
2020-04-08,29,19,0.0,12.9,5,100,07:30 PM,06:21 AM,05:43 AM,06:33 PM,19,25,25,24,22,34,79,0.0,1008,29,8,234,13,Slovak%20Republic
2020-04-09,18,13,0.0,12.9,5,83,08:42 PM,06:58 AM,05:42 AM,06:34 PM,8,16,16,16,26,12,60,0.0,1013,18,10,61,17,Slovak%20Republic
2020-04-10,14,7,0.0,12.9,4,76,09:53 PM,07:39 AM,05:41 AM,06:35 PM,2,9,11,9,19,11,53,0.0,1019,14,10,46,13,Slovak%20Republic
2020-04-11,18,7,0.0,9.4,3,68,11:01 PM,08:22 AM,05:39 AM,06:36 PM,6,11,12,11,25,49,69,0.9,1014,18,10,155,16,Slovak%20Republic
2020-04-12,19,11,0.0,8.1,4,61,No moonrise,09:11 AM,05:38 AM,06:36 PM,16,15,16,15,29,89,93,38.0,1001,19,8,145,19,Slovak%20Republic
2020-04-13,13,7,0.0,13.0,4,53,12:04 AM,10:04 AM,05:37 AM,06:37 PM,6,9,11,9,27,17,70,0.9,1015,13,10,223,19,Slovak%20Republic
2020-04-14,10,5,0.0,12.0,2,46,01:00 AM,11:00 AM,05:36 AM,06:38 PM,2,5,7,5,26,39,70,0.0,1023,10,10,31,18,Slovak%20Republic
2020-04-15,15,4,0.0,13.1,4,38,01:49 AM,11:58 AM,05:34 AM,06:39 PM,3,9,9,9,10,5,65,0.0,1022,15,10,229,6,Slovak%20Republic
2020-04-16,18,6,0.0,13.1,4,30,02:31 AM,12:56 PM,05:33 AM,06:40 PM,5,11,12,11,20,2,64,0.0,1022,18,10,170,13,Slovak%20Republic
2020-04-17,20,10,0.0,9.4,4,23,03:08 AM,01:54 PM,05:32 AM,06:40 PM,10,14,15,14,26,54,78,1.3,1017,20,10,201,16,Slovak%20Republic
2020-04-18,16,6,0.0,13.1,3,15,03:40 AM,02:50 PM,05:31 AM,06:41 PM,6,10,11,10,19,50,73,2.0,1018,16,9,76,13,Slovak%20Republic
2020-04-19,22,11,0.0,8.2,4,8,04:09 AM,03:45 PM,05:29 AM,06:42 PM,13,15,16,15,18,88,85,6.4,1007,22,10,128,12,Slovak%20Republic
2020-04-20,20,12,0.0,12.0,4,0,04:36 AM,04:40 PM,05:28 AM,06:43 PM,12,15,16,15,17,60,77,16.6,1010,20,9,140,12,Slovak%20Republic
2020-04-21,24,13,0.0,13.2,5,0,05:03 AM,05:35 PM,05:27 AM,06:44 PM,11,18,18,18,18,7,68,0.0,1015,24,10,212,10,Slovak%20Republic
2020-04-22,21,14,0.0,8.2,4,0,05:30 AM,06:29 PM,05:26 AM,06:44 PM,14,16,17,16,31,72,84,25.4,1011,21,8,138,20,Slovak%20Republic
2020-04-23,23,16,0.0,12.0,4,0,05:58 AM,07:26 PM,05:25 AM,06:45 PM,15,19,20,19,39,59,75,4.6,1002,23,10,256,24,Slovak%20Republic
2020-04-24,24,15,0.0,13.2,6,7,06:29 AM,08:23 PM,05:23 AM,06:46 PM,15,19,20,19,20,36,76,2.0,1006,24,10,183,12,Slovak%20Republic
2020-04-25,22,14,0.0,13.3,5,15,07:03 AM,09:22 PM,05:22 AM,06:47 PM,12,17,18,17,36,23,74,3.3,1009,22,10,271,23,Slovak%20Republic
2020-04-26,22,10,0.0,13.3,5,22,07:42 AM,10:20 PM,05:21 AM,06:48 PM,10,15,16,15,19,8,69,0.0,1020,22,10,257,12,Slovak%20Republic
2020-04-27,23,12,0.0,13.3,5,30,08:26 AM,11:17 PM,05:20 AM,06:48 PM,12,17,18,17,26,17,74,0.0,1020,23,10,173,16,Slovak%20Republic
2020-04-28,24,16,0.0,8.3,5,37,09:18 AM,No moonset,05:19 AM,06:49 PM,16,19,20,19,32,73,80,3.0,1014,24,10,187,21,Slovak%20Republic
2020-04-29,21,15,0.0,13.3,4,45,10:15 AM,12:11 AM,05:18 AM,06:50 PM,14,18,18,18,33,47,76,15.8,1009,21,9,285,21,Slovak%20Republic
2020-04-30,21,11,0.0,13.3,5,52,11:18 AM,01:01 AM,05:17 AM,06:51 PM,9,15,16,15,27,6,66,0.0,1015,21,10,284,17,Slovak%20Republic
2020-05-01,25,13,0.0,13.4,6,58,12:24 PM,01:47 AM,05:16 AM,06:52 PM,13,19,19,19,17,11,73,0.0,1015,25,10,212,11,Slovak%20Republic
2020-05-02,27,17,0.0,13.4,5,65,01:33 PM,02:27 AM,05:15 AM,06:52 PM,16,22,22,21,28,35,75,0.0,1015,27,10,195,18,Slovak%20Republic
2020-05-03,26,18,0.0,8.4,5,72,02:42 PM,03:05 AM,05:14 AM,06:53 PM,18,23,23,22,24,72,81,0.0,1014,26,10,175,16,Slovak%20Republic
2020-05-04,28,17,0.0,10.8,5,80,03:53 PM,03:40 AM,05:13 AM,06:54 PM,19,24,24,22,19,55,81,0.0,1012,28,10,127,13,Slovak%20Republic
2020-05-05,26,20,0.0,13.4,6,87,05:04 PM,04:15 AM,05:12 AM,06:55 PM,16,23,23,22,22,23,70,0.0,1012,26,10,259,14,Slovak%20Republic
2020-05-06,20,11,0.0,13.5,5,94,06:16 PM,04:50 AM,05:11 AM,06:56 PM,10,16,16,16,16,21,70,0.0,1020,20,10,210,10,Slovak%20Republic
2020-05-07,21,10,0.0,13.3,5,100,07:29 PM,05:29 AM,05:10 AM,06:56 PM,9,15,16,15,16,21,66,0.1,1020,21,10,197,10,Slovak%20Republic
2020-05-08,19,13,0.0,10.9,4,100,08:39 PM,06:11 AM,05:09 AM,06:57 PM,11,16,17,16,37,55,72,16.0,1014,19,9,215,24,Slovak%20Republic
2020-05-09,16,7,0.0,13.5,4,84,09:47 PM,06:58 AM,05:08 AM,06:58 PM,4,10,11,10,18,3,60,0.0,1025,16,10,61,11,Slovak%20Republic
2020-05-10,22,9,0.0,13.5,5,77,10:49 PM,07:50 AM,05:07 AM,06:59 PM,7,14,15,14,17,2,63,0.0,1022,22,10,198,11,Slovak%20Republic
2020-05-11,17,9,0.0,13.9,4,70,11:43 PM,08:47 AM,05:06 AM,07:00 PM,5,12,13,12,19,24,61,0.0,1025,17,10,22,12,Slovak%20Republic
2020-05-12,20,11,0.0,9.9,4,62,No moonrise,09:46 AM,05:05 AM,07:00 PM,9,14,15,14,20,66,71,0.5,1021,20,9,88,13,Slovak%20Republic
2020-05-13,23,12,0.0,9.9,4,55,12:28 AM,10:46 AM,05:05 AM,07:01 PM,14,17,18,17,20,60,84,1.9,1019,23,8,112,13,Slovak%20Republic
2020-05-14,26,17,0.0,12.2,5,48,01:08 AM,11:45 AM,05:04 AM,07:02 PM,18,23,23,22,29,35,81,0.4,1016,26,10,175,19,Slovak%20Republic
2020-05-15,26,19,0.0,9.9,5,40,01:42 AM,12:42 PM,05:03 AM,07:03 PM,20,23,23,22,21,81,88,1.3,1014,26,10,174,14,Slovak%20Republic
2020-05-16,28,20,0.0,9.9,5,33,02:12 AM,01:38 PM,05:02 AM,07:04 PM,20,24,24,23,19,65,86,8.9,1012,28,7,181,12,Slovak%20Republic
2020-05-17,26,21,0.0,11.1,5,26,02:40 AM,02:33 PM,05:02 AM,07:04 PM,20,24,24,23,14,61,84,3.9,1013,26,10,231,8,Slovak%20Republic
2020-05-18,24,15,0.0,13.4,5,19,03:07 AM,03:28 PM,05:01 AM,07:05 PM,14,19,20,19,23,42,76,0.7,1010,24,10,245,15,Slovak%20Republic
2020-05-19,21,14,0.0,13.4,4,11,03:34 AM,04:22 PM,05:00 AM,07:06 PM,13,17,18,17,13,33,75,0.0,1011,21,10,283,9,Slovak%20Republic
2020-05-20,24,15,0.0,12.2,5,4,04:01 AM,05:19 PM,05:00 AM,07:07 PM,16,20,20,20,13,36,78,0.4,1011,24,10,221,8,Slovak%20Republic
2020-05-21,25,16,0.0,11.2,5,0,04:30 AM,06:16 PM,04:59 AM,07:07 PM,17,22,22,21,11,56,80,1.4,1013,25,10,85,7,Slovak%20Republic
2020-05-22,30,19,0.0,14.5,6,0,05:04 AM,07:15 PM,04:59 AM,07:08 PM,20,26,26,24,21,42,78,5.7,1013,30,10,148,14,Slovak%20Republic
2020-05-23,31,22,0.0,14.5,6,3,05:41 AM,08:14 PM,04:58 AM,07:09 PM,21,28,28,26,25,23,79,0.6,1013,31,10,185,15,Slovak%20Republic
2020-05-24,30,22,0.0,11.2,6,10,06:24 AM,09:13 PM,04:58 AM,07:09 PM,21,28,28,26,24,64,78,6.1,1013,30,10,181,14,Slovak%20Republic
2020-05-25,29,21,0.0,13.4,6,17,07:14 AM,10:09 PM,04:57 AM,07:10 PM,21,26,26,24,18,43,81,3.6,1012,29,10,162,12,Slovak%20Republic
