date_time,Luxembourg_maxtempC,Luxembourg_mintempC,Luxembourg_totalSnow_cm,Luxembourg_sunHour,Luxembourg_uvIndex,Luxembourg_moon_illumination,Luxembourg_moonrise,Luxembourg_moonset,Luxembourg_sunrise,Luxembourg_sunset,Luxembourg_DewPointC,Luxembourg_FeelsLikeC,Luxembourg_HeatIndexC,Luxembourg_WindChillC,Luxembourg_WindGustKmph,Luxembourg_cloudcover,Luxembourg_humidity,Luxembourg_precipMM,Luxembourg_pressure,Luxembourg_tempC,Luxembourg_visibility,Luxembourg_winddirDegree,Luxembourg_windspeedKmph,Luxembourg_location
2020-01-23,4,-1,0.0,8.7,1,3,07:29 AM,03:43 PM,08:20 AM,05:15 PM,-0,-2,1,-2,22,18,89,0.0,1031,4,8,57,12,Luxembourg
2020-01-24,4,-1,0.0,8.7,2,0,08:17 AM,04:44 PM,08:19 AM,05:17 PM,-2,0,1,0,5,17,82,0.0,1024,4,10,133,3,Luxembourg
2020-01-25,4,0,0.0,6.9,1,0,08:55 AM,05:49 PM,08:17 AM,05:18 PM,-1,2,2,2,5,32,82,0.0,1022,4,10,145,3,Luxembourg
2020-01-26,5,0,0.0,3.4,1,4,09:27 AM,06:55 PM,08:16 AM,05:20 PM,2,1,3,1,12,70,94,0.0,1018,5,5,159,7,Luxembourg
2020-01-27,6,1,0.0,3.4,2,11,09:52 AM,08:02 PM,08:15 AM,05:22 PM,4,1,4,1,31,100,95,17.4,1011,6,6,203,19,Luxembourg
2020-01-28,5,2,0.0,3.4,1,18,10:13 AM,09:07 PM,08:14 AM,05:23 PM,1,-2,4,-2,49,93,85,21.1,1000,5,4,241,33,Luxembourg
2020-01-29,3,1,0.1,3.4,1,26,10:32 AM,10:11 PM,08:13 AM,05:25 PM,-1,-3,2,-3,34,86,86,0.6,1012,3,9,257,22,Luxembourg
2020-01-30,7,-1,0.0,5.2,1,33,10:50 AM,11:16 PM,08:11 AM,05:27 PM,4,0,4,0,25,89,91,1.6,1012,7,9,215,16,Luxembourg
2020-01-31,11,6,0.0,3.4,2,37,11:08 AM,No moonset,08:10 AM,05:28 PM,8,6,9,6,33,84,91,3.5,1012,11,9,242,21,Luxembourg
2020-02-01,11,7,0.0,3.5,3,49,11:27 AM,12:20 AM,08:09 AM,05:30 PM,8,6,10,6,39,91,89,29.2,1009,11,8,237,25,Luxembourg
2020-02-02,11,6,0.0,3.5,2,57,11:48 AM,01:26 AM,08:07 AM,05:32 PM,7,6,9,6,34,91,91,8.7,1013,11,8,245,21,Luxembourg
2020-02-03,9,5,0.0,3.5,2,64,12:13 PM,02:33 AM,08:06 AM,05:34 PM,7,5,8,5,31,96,90,32.0,1014,9,7,266,21,Luxembourg
2020-02-04,4,1,2.2,3.5,1,72,12:44 PM,03:42 AM,08:04 AM,05:35 PM,1,-1,3,-1,33,84,84,23.2,1017,4,6,295,23,Luxembourg
2020-02-05,7,0,0.3,8.7,2,79,01:24 PM,04:51 AM,08:03 AM,05:37 PM,-1,1,4,1,14,29,78,1.6,1033,7,9,209,9,Luxembourg
2020-02-06,7,1,0.0,8.7,1,87,02:15 PM,05:56 AM,08:01 AM,05:39 PM,-0,3,3,3,7,23,79,0.0,1031,7,10,83,5,Luxembourg
2020-02-07,7,2,0.0,8.7,2,95,03:19 PM,06:54 AM,08:00 AM,05:40 PM,0,2,4,2,11,0,79,0.0,1026,7,10,103,8,Luxembourg
2020-02-08,7,1,0.0,5.4,1,100,04:34 PM,07:44 AM,07:58 AM,05:42 PM,1,1,4,1,14,60,82,0.1,1022,7,9,170,9,Luxembourg
2020-02-09,9,3,0.0,5.4,2,100,05:56 PM,08:23 AM,07:57 AM,05:44 PM,4,3,7,3,44,76,83,0.4,1017,9,8,206,28,Luxembourg
2020-02-10,8,5,0.0,3.7,2,83,07:20 PM,08:56 AM,07:55 AM,05:45 PM,4,1,7,1,70,93,80,25.0,1003,8,8,246,48,Luxembourg
2020-02-11,3,1,2.3,3.7,1,75,08:43 PM,09:24 AM,07:53 AM,05:47 PM,-0,-4,2,-4,49,68,83,14.5,1012,3,3,259,33,Luxembourg
2020-02-12,3,-2,0.9,3.7,1,68,10:06 PM,09:48 AM,07:52 AM,05:49 PM,-1,-4,1,-4,34,81,88,1.3,1019,3,8,251,22,Luxembourg
2020-02-13,5,0,7.2,3.8,1,60,11:27 PM,10:11 AM,07:50 AM,05:50 PM,1,-2,2,-2,29,87,93,19.6,1008,5,6,204,17,Luxembourg
2020-02-14,7,4,0.0,3.8,2,53,No moonrise,10:34 AM,07:48 AM,05:52 PM,3,2,6,2,27,82,85,0.9,1018,7,9,254,18,Luxembourg
2020-02-15,10,4,0.0,7.1,2,45,12:46 AM,11:00 AM,07:47 AM,05:54 PM,4,3,6,3,25,49,87,0.0,1022,10,7,201,16,Luxembourg
2020-02-16,13,7,0.0,7.1,3,38,02:03 AM,11:30 AM,07:45 AM,05:55 PM,5,7,10,7,47,63,71,0.0,1014,13,10,210,28,Luxembourg
2020-02-17,6,3,0.0,3.8,2,30,03:17 AM,12:04 PM,07:43 AM,05:57 PM,4,3,7,3,31,96,84,13.1,1018,6,8,241,22,Luxembourg
2020-02-18,6,-0,0.1,3.8,1,22,04:25 AM,12:47 PM,07:41 AM,05:59 PM,1,-1,4,-1,35,75,80,0.5,1025,6,10,241,23,Luxembourg
2020-02-19,5,3,1.4,6.9,1,15,05:25 AM,01:37 PM,07:39 AM,06:00 PM,1,-1,4,-1,35,76,80,7.7,1022,5,9,253,24,Luxembourg
2020-02-20,7,4,0.0,5.3,2,7,06:15 AM,02:35 PM,07:37 AM,06:02 PM,3,2,6,2,34,95,84,1.6,1019,7,8,222,23,Luxembourg
2020-02-21,5,0,0.5,6.9,1,0,06:56 AM,03:38 PM,07:36 AM,06:04 PM,-0,-1,3,-1,28,58,79,2.6,1028,5,9,251,18,Luxembourg
2020-02-22,8,1,0.0,8.5,2,0,07:29 AM,04:44 PM,07:34 AM,06:05 PM,2,1,5,1,38,43,79,0.1,1027,8,10,232,24,Luxembourg
2020-02-23,11,5,0.0,5.4,2,0,07:55 AM,05:50 PM,07:32 AM,06:07 PM,7,5,9,5,51,98,89,8.2,1022,11,7,249,32,Luxembourg
2020-02-24,10,5,0.0,5.4,2,0,08:17 AM,06:56 PM,07:30 AM,06:09 PM,6,5,8,5,29,95,88,5.5,1019,10,6,228,20,Luxembourg
2020-02-25,7,4,0.0,5.4,2,8,08:37 AM,08:01 PM,07:28 AM,06:10 PM,3,2,6,2,37,89,81,5.7,1006,7,7,253,26,Luxembourg
2020-02-26,2,0,5.4,5.4,1,15,08:55 AM,09:05 PM,07:26 AM,06:12 PM,-1,-4,1,-4,41,80,84,8.7,1002,2,4,269,28,Luxembourg
2020-02-27,1,-5,1.9,5.5,1,23,09:13 AM,10:10 PM,07:24 AM,06:14 PM,0,-5,-0,-5,40,78,93,13.9,1007,1,8,229,25,Luxembourg
2020-02-28,5,-0,0.0,5.5,1,30,09:31 AM,11:15 PM,07:22 AM,06:15 PM,2,-1,3,-1,29,88,90,6.9,1004,5,9,222,18,Luxembourg
2020-02-29,9,4,0.0,5.5,2,38,09:51 AM,No moonset,07:20 AM,06:17 PM,4,2,6,2,39,82,88,14.6,999,9,7,206,25,Luxembourg
2020-03-01,7,3,0.1,5.5,2,44,10:14 AM,12:20 AM,07:18 AM,06:18 PM,1,0,5,0,40,91,79,2.4,997,7,7,213,28,Luxembourg
2020-03-02,6,2,2.3,5.5,1,51,10:41 AM,01:28 AM,07:16 AM,06:20 PM,1,-1,4,-1,37,80,82,6.4,994,6,9,233,25,Luxembourg
2020-03-03,6,-0,0.1,5.5,1,58,11:16 AM,02:34 AM,07:14 AM,06:22 PM,-0,-2,2,-2,23,66,84,1.0,1005,6,9,248,15,Luxembourg
2020-03-04,6,-0,0.0,7.1,1,65,12:00 PM,03:40 AM,07:12 AM,06:23 PM,-0,-1,3,-1,19,52,83,0.2,1013,6,8,232,12,Luxembourg
2020-03-05,7,3,0.0,5.6,2,73,12:57 PM,04:39 AM,07:10 AM,06:25 PM,3,0,5,0,38,99,91,32.7,995,7,8,179,25,Luxembourg
2020-03-06,5,3,0.0,5.6,1,80,02:05 PM,05:32 AM,07:07 AM,06:27 PM,3,1,5,1,30,89,88,8.0,995,5,7,277,21,Luxembourg
2020-03-07,7,1,0.2,7.1,1,87,03:23 PM,06:15 AM,07:05 AM,06:28 PM,1,0,4,0,21,68,83,1.1,1016,7,9,270,14,Luxembourg
2020-03-08,7,0,0.0,5.6,2,95,04:46 PM,06:51 AM,07:03 AM,06:30 PM,4,1,5,1,31,93,89,7.7,1016,7,9,210,21,Luxembourg
2020-03-09,7,3,0.0,5.7,2,100,06:12 PM,07:21 AM,07:01 AM,06:31 PM,2,1,5,1,28,87,82,4.2,1016,7,10,255,20,Luxembourg
2020-03-10,9,1,0.0,5.9,2,100,07:38 PM,07:47 AM,06:59 AM,06:33 PM,5,2,6,2,38,88,92,10.9,1016,9,7,224,25,Luxembourg
2020-03-11,13,8,0.0,5.9,3,84,09:02 PM,08:11 AM,06:57 AM,06:35 PM,9,8,11,8,42,86,87,2.9,1016,13,9,237,27,Luxembourg
2020-03-12,9,5,0.0,7.3,2,76,10:25 PM,08:34 AM,06:55 AM,06:36 PM,6,5,8,5,36,86,85,3.5,1015,9,10,247,24,Luxembourg
2020-03-13,7,2,0.0,7.3,1,69,11:48 PM,09:00 AM,06:53 AM,06:38 PM,1,-0,4,-0,31,61,80,0.3,1020,7,10,257,20,Luxembourg
2020-03-14,9,2,0.0,10.2,2,62,No moonrise,09:29 AM,06:50 AM,06:39 PM,1,4,5,4,8,66,79,0.3,1022,9,10,143,5,Luxembourg
2020-03-15,11,3,0.0,8.8,2,55,01:06 AM,10:02 AM,06:48 AM,06:41 PM,3,4,7,4,19,71,79,0.0,1016,11,10,170,12,Luxembourg
2020-03-16,14,5,0.0,11.6,3,47,02:18 AM,10:43 AM,06:46 AM,06:43 PM,6,9,9,9,7,33,82,0.0,1019,14,8,191,4,Luxembourg
2020-03-17,13,6,0.0,8.8,3,40,03:22 AM,11:32 AM,06:44 AM,06:44 PM,7,9,10,9,8,53,84,1.1,1029,13,10,260,5,Luxembourg
2020-03-18,15,6,0.0,6.0,3,33,04:15 AM,12:28 PM,06:42 AM,06:46 PM,7,10,10,10,8,51,81,0.2,1027,15,10,217,5,Luxembourg
2020-03-19,15,10,0.0,10.2,3,25,04:58 AM,01:30 PM,06:40 AM,06:47 PM,7,12,12,12,5,52,73,0.3,1023,15,10,201,3,Luxembourg
2020-03-20,13,7,0.0,10.2,3,18,05:33 AM,02:35 PM,06:37 AM,06:49 PM,6,9,11,9,20,61,77,0.1,1022,13,10,22,14,Luxembourg
2020-03-21,5,3,0.0,6.1,1,11,06:00 AM,03:41 PM,06:35 AM,06:50 PM,2,0,5,0,36,89,81,7.7,1023,5,9,54,25,Luxembourg
2020-03-22,7,-1,0.0,11.6,2,4,06:23 AM,04:47 PM,06:33 AM,06:52 PM,-6,-3,2,-3,40,3,56,0.0,1026,7,10,74,27,Luxembourg
2020-03-23,7,-2,0.0,11.6,2,0,06:43 AM,05:52 PM,06:31 AM,06:54 PM,-9,-4,2,-4,36,0,47,0.0,1030,7,10,86,23,Luxembourg
2020-03-24,7,-2,0.0,11.6,2,0,07:02 AM,06:57 PM,06:29 AM,06:55 PM,-9,-3,2,-3,32,0,44,0.0,1029,7,10,84,20,Luxembourg
2020-03-25,7,-3,0.0,11.6,2,3,07:19 AM,08:01 PM,06:27 AM,06:57 PM,-8,-3,2,-3,29,0,50,0.0,1025,7,10,65,18,Luxembourg
2020-03-26,8,-2,0.0,11.6,2,11,07:37 AM,09:06 PM,06:24 AM,06:58 PM,-5,-2,3,-2,29,7,59,0.0,1019,8,10,57,19,Luxembourg
2020-03-27,11,0,0.0,11.6,3,18,07:56 AM,10:12 PM,06:22 AM,07:00 PM,1,3,5,3,19,19,75,0.0,1017,11,10,51,12,Luxembourg
2020-03-28,14,4,0.0,11.6,3,25,08:17 AM,11:19 PM,06:20 AM,07:01 PM,4,7,9,7,22,31,77,0.1,1019,14,9,32,14,Luxembourg
2020-03-29,5,-0,0.0,6.4,1,32,08:42 AM,No moonset,06:18 AM,07:03 PM,-3,-3,3,-3,38,55,70,0.5,1026,5,9,62,26,Luxembourg
2020-03-30,6,-3,0.0,11.6,2,40,09:14 AM,12:25 AM,06:16 AM,07:05 PM,-7,-4,1,-4,31,22,57,0.1,1028,6,10,35,21,Luxembourg
2020-03-31,7,-1,0.0,11.6,1,44,09:53 AM,01:30 AM,06:14 AM,07:06 PM,-4,-1,2,-1,24,24,67,0.0,1027,7,8,46,16,Luxembourg
2020-04-01,10,-1,0.0,11.6,3,56,10:43 AM,02:31 AM,06:12 AM,07:08 PM,-5,2,4,2,12,3,54,0.0,1022,10,10,38,8,Luxembourg
2020-04-02,8,-0,0.0,11.6,3,64,11:44 AM,03:25 AM,06:10 AM,07:09 PM,-1,2,4,2,14,30,69,0.0,1016,8,10,146,9,Luxembourg
2020-04-03,9,2,0.0,6.5,2,71,12:56 PM,04:10 AM,06:07 AM,07:11 PM,2,3,5,3,18,73,77,0.3,1016,9,9,285,12,Luxembourg
2020-04-04,13,2,0.0,11.6,3,79,02:15 PM,04:48 AM,06:05 AM,07:12 PM,1,5,7,5,15,18,71,0.0,1023,13,10,85,9,Luxembourg
2020-04-05,17,5,0.0,11.6,4,87,03:38 PM,05:19 AM,06:03 AM,07:14 PM,5,9,10,9,19,0,70,0.0,1021,17,10,129,12,Luxembourg
2020-04-06,17,7,0.0,11.6,4,94,05:03 PM,05:46 AM,06:01 AM,07:16 PM,6,11,12,11,17,4,69,0.0,1022,17,10,183,11,Luxembourg
2020-04-07,18,8,0.0,12.1,3,100,06:28 PM,06:09 AM,05:59 AM,07:17 PM,7,12,12,12,9,49,73,0.1,1029,18,10,118,6,Luxembourg
2020-04-08,21,10,0.0,13.6,5,100,07:54 PM,06:33 AM,05:57 AM,07:19 PM,7,15,15,15,8,17,64,0.0,1025,21,10,126,4,Luxembourg
2020-04-09,19,12,0.0,13.7,5,83,09:19 PM,06:58 AM,05:55 AM,07:20 PM,8,15,15,15,9,19,61,0.0,1024,19,10,232,5,Luxembourg
2020-04-10,19,10,0.0,13.3,4,76,10:42 PM,07:25 AM,05:53 AM,07:22 PM,8,13,14,13,14,32,71,0.2,1025,19,10,52,8,Luxembourg
2020-04-11,20,9,0.0,13.7,5,68,No moonrise,07:57 AM,05:51 AM,07:23 PM,6,13,14,13,9,1,61,0.0,1023,20,10,57,6,Luxembourg
2020-04-12,19,11,0.0,12.1,4,61,12:01 AM,08:36 AM,05:49 AM,07:25 PM,9,15,15,15,12,48,71,2.3,1016,19,10,175,8,Luxembourg
2020-04-13,14,5,0.0,13.3,3,53,01:12 AM,09:23 AM,05:47 AM,07:26 PM,5,9,11,9,19,25,70,0.0,1017,14,10,42,14,Luxembourg
2020-04-14,10,-0,0.0,13.8,3,46,02:11 AM,10:18 AM,05:45 AM,07:28 PM,-3,1,4,1,21,6,61,0.0,1026,10,10,43,14,Luxembourg
2020-04-15,15,2,0.0,13.9,3,38,02:59 AM,11:20 AM,05:43 AM,07:30 PM,0,6,8,6,19,4,60,0.0,1023,15,10,73,12,Luxembourg
2020-04-16,18,6,0.0,13.9,4,30,03:37 AM,12:25 PM,05:41 AM,07:31 PM,6,11,12,11,12,15,67,0.0,1018,18,10,184,8,Luxembourg
2020-04-17,20,10,0.0,12.2,4,23,04:06 AM,01:32 PM,05:39 AM,07:33 PM,10,14,14,14,8,35,76,2.6,1016,20,10,137,5,Luxembourg
2020-04-18,18,12,0.0,8.7,4,15,04:30 AM,02:38 PM,05:37 AM,07:34 PM,12,15,15,15,11,74,82,18.8,1015,18,9,239,6,Luxembourg
2020-04-19,19,11,0.0,13.4,4,8,04:50 AM,03:44 PM,05:35 AM,07:36 PM,10,14,14,14,19,28,78,0.6,1016,19,10,63,13,Luxembourg
2020-04-20,15,6,0.0,14.0,4,0,05:09 AM,04:48 PM,05:33 AM,07:37 PM,3,7,10,7,37,0,60,0.0,1015,15,10,71,25,Luxembourg
2020-04-21,16,6,0.0,14.1,4,0,05:26 AM,05:53 PM,05:31 AM,07:39 PM,2,8,11,8,40,2,57,0.0,1013,16,10,72,27,Luxembourg
2020-04-22,17,7,0.0,14.1,4,0,05:43 AM,06:58 PM,05:29 AM,07:40 PM,4,10,12,10,35,0,60,0.0,1016,17,10,69,23,Luxembourg
2020-04-23,19,7,0.0,14.2,4,0,06:01 AM,08:04 PM,05:27 AM,07:42 PM,6,11,13,11,20,0,67,0.0,1018,19,10,65,12,Luxembourg
2020-04-24,19,9,0.0,13.4,4,7,06:21 AM,09:11 PM,05:25 AM,07:43 PM,8,14,14,14,10,47,69,0.0,1013,19,10,287,6,Luxembourg
2020-04-25,18,8,0.0,14.2,4,15,06:45 AM,10:18 PM,05:23 AM,07:45 PM,6,12,13,12,15,6,66,0.0,1011,18,10,42,9,Luxembourg
2020-04-26,19,6,0.0,14.2,4,22,07:15 AM,11:24 PM,05:22 AM,07:46 PM,5,12,13,12,10,2,62,0.0,1009,19,10,128,6,Luxembourg
2020-04-27,18,8,0.0,14.3,4,30,07:51 AM,No moonset,05:20 AM,07:48 PM,7,13,13,13,7,17,66,0.0,1007,18,10,225,5,Luxembourg
2020-04-28,14,11,0.0,10.1,3,37,08:37 AM,12:26 AM,05:18 AM,07:49 PM,10,11,12,11,19,77,88,14.0,1005,14,9,201,13,Luxembourg
2020-04-29,12,8,0.0,9.0,3,45,09:33 AM,01:22 AM,05:16 AM,07:51 PM,8,8,10,8,26,84,89,3.2,1006,12,7,227,17,Luxembourg
2020-04-30,12,8,0.0,11.2,3,52,10:40 AM,02:09 AM,05:14 AM,07:52 PM,7,7,10,7,32,85,82,15.1,1005,12,9,224,23,Luxembourg
2020-05-01,13,5,0.0,9.0,3,58,11:54 AM,02:48 AM,05:13 AM,07:54 PM,7,6,10,6,35,82,82,11.3,1005,13,9,232,24,Luxembourg
2020-05-02,11,5,0.0,9.0,2,65,01:13 PM,03:20 AM,05:11 AM,07:55 PM,5,5,8,5,29,78,84,3.9,1011,11,10,264,19,Luxembourg
2020-05-03,13,3,0.0,12.3,2,72,02:34 PM,03:47 AM,05:09 AM,07:57 PM,6,7,8,7,10,46,83,0.5,1017,13,7,196,7,Luxembourg
2020-05-04,14,10,0.0,10.2,3,80,03:58 PM,04:11 AM,05:07 AM,07:58 PM,9,10,11,10,16,70,87,1.3,1018,14,9,224,11,Luxembourg
2020-05-05,15,6,0.0,11.4,3,87,05:22 PM,04:33 AM,05:06 AM,08:00 PM,5,9,10,9,22,44,74,0.0,1019,15,10,59,14,Luxembourg
2020-05-06,15,5,0.0,14.5,4,94,06:46 PM,04:56 AM,05:04 AM,08:01 PM,2,9,10,9,19,9,58,0.0,1022,15,10,62,13,Luxembourg
2020-05-07,18,6,0.0,13.5,3,100,08:11 PM,05:22 AM,05:02 AM,08:03 PM,6,12,13,12,9,22,65,0.0,1023,18,10,71,6,Luxembourg
2020-05-08,20,9,0.0,14.5,5,100,09:35 PM,05:51 AM,05:01 AM,08:04 PM,9,14,14,14,6,14,70,0.0,1018,20,10,122,4,Luxembourg
2020-05-09,19,12,0.0,10.6,4,84,10:52 PM,06:26 AM,04:59 AM,08:05 PM,12,15,15,15,7,69,86,7.8,1012,19,10,96,4,Luxembourg
2020-05-10,19,14,0.0,12.6,4,77,11:59 PM,07:10 AM,04:58 AM,08:07 PM,14,16,16,16,20,63,89,17.0,1004,19,8,181,13,Luxembourg
2020-05-11,8,2,4.6,10.7,2,70,No moonrise,08:03 AM,04:56 AM,08:08 PM,4,2,7,2,39,76,84,25.9,1008,8,8,23,27,Luxembourg
2020-05-12,12,-0,0.0,14.5,3,62,12:53 AM,09:05 AM,04:55 AM,08:10 PM,-1,4,6,4,18,6,61,0.0,1018,12,10,115,11,Luxembourg
2020-05-13,14,2,0.0,14.5,3,55,01:37 AM,10:10 AM,04:53 AM,08:11 PM,3,5,8,5,26,16,70,0.0,1013,14,10,50,17,Luxembourg
2020-05-14,13,6,0.0,10.7,2,48,02:09 AM,11:19 AM,04:52 AM,08:12 PM,4,6,9,6,28,66,75,1.9,1014,13,8,30,20,Luxembourg
2020-05-15,13,3,0.0,14.5,3,40,02:35 AM,12:26 PM,04:50 AM,08:14 PM,2,5,8,5,30,0,69,0.0,1018,13,10,24,20,Luxembourg
2020-05-16,16,3,0.0,14.5,4,33,02:57 AM,01:33 PM,04:49 AM,08:15 PM,5,9,10,9,16,3,73,0.0,1024,16,10,64,10,Luxembourg
2020-05-17,18,5,0.0,13.6,4,26,03:16 AM,02:37 PM,04:48 AM,08:17 PM,7,12,13,12,12,28,72,0.0,1022,18,10,133,8,Luxembourg
2020-05-18,19,8,0.0,14.5,4,19,03:34 AM,03:43 PM,04:47 AM,08:18 PM,10,14,14,14,11,20,75,0.0,1023,19,10,181,7,Luxembourg
2020-05-19,21,10,0.0,14.5,5,11,03:50 AM,04:47 PM,04:45 AM,08:19 PM,10,15,15,15,15,18,75,0.0,1022,21,10,261,9,Luxembourg
2020-05-20,21,11,0.0,12.6,4,4,04:08 AM,05:53 PM,04:44 AM,08:20 PM,12,15,16,15,16,37,80,0.4,1022,21,10,27,10,Luxembourg
2020-05-21,23,11,0.0,14.5,5,0,04:27 AM,07:00 PM,04:43 AM,08:22 PM,13,18,19,18,8,6,76,0.0,1022,23,10,102,5,Luxembourg
2020-05-22,21,14,0.0,13.6,4,0,04:49 AM,08:08 PM,04:42 AM,08:23 PM,15,18,18,18,15,57,85,4.7,1020,21,9,204,10,Luxembourg
2020-05-23,15,10,0.0,9.9,3,3,05:17 AM,09:16 PM,04:41 AM,08:24 PM,9,11,12,11,18,83,83,10.1,1025,15,8,282,12,Luxembourg
2020-05-24,15,6,0.0,13.6,3,10,05:51 AM,10:21 PM,04:40 AM,08:25 PM,8,9,11,9,21,55,82,0.3,1032,15,9,275,13,Luxembourg
2020-05-25,18,8,0.0,11.8,3,17,06:33 AM,11:20 PM,04:39 AM,08:27 PM,9,12,13,12,15,54,81,0.7,1033,18,10,179,10,Luxembourg
2020-05-26,18,9,0.0,14.5,4,25,07:27 AM,No moonset,04:38 AM,08:28 PM,9,13,14,13,18,15,77,0.0,1034,18,9,26,12,Luxembourg
2020-05-27,20,9,0.0,14.5,5,32,08:31 AM,12:10 AM,04:37 AM,08:29 PM,10,15,15,15,15,26,74,0.0,1032,20,10,20,9,Luxembourg
2020-05-28,18,10,0.0,14.5,5,39,09:43 AM,12:51 AM,04:36 AM,08:30 PM,9,13,14,13,26,15,74,0.0,1030,18,10,37,16,Luxembourg
2020-05-29,18,7,0.0,14.5,4,47,10:59 AM,01:24 AM,04:35 AM,08:31 PM,6,11,12,11,25,5,68,0.0,1026,18,10,50,16,Luxembourg
2020-05-30,18,7,0.0,14.5,5,54,12:17 PM,01:52 AM,04:34 AM,08:32 PM,7,12,13,12,24,13,68,0.0,1023,18,10,61,16,Luxembourg
2020-05-31,18,7,0.0,14.5,4,58,01:38 PM,02:15 AM,04:33 AM,08:33 PM,7,11,13,11,25,13,68,0.0,1022,18,10,54,16,Luxembourg
